Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Guadalajara (Mexico) - Qualification,hard,header
08.09. 00:45,Arango E.,0,4,1,,,,0,4,68%,44% (16/36),24% (4/17),14% (1/7),25% (8/32),74% (14/19),60% (3/5),5,38% (20/53),43% (22/51),40% (42/104),2,25% (2/8),33% (3/9),29% (5/17),"['1', '0', '2', '3', '3', '4']",[],[],[],[],2.07
08.09. 00:45,Shibahara E.,2,6,6,,,,3,5,63%,75% (24/32),26% (5/19),40% (2/5),56% (20/36),76% (13/17),86% (6/7),6,57% (29/51),62% (33/53),60% (62/104),5,67% (6/9),75% (6/8),71% (12/17),"['1', '1', '3', '1', '4', '2', '6', '4']","['2', '0', '5', '1']",[],[],[],1.70
CHALLENGER WOMEN - SINGLES :  Guadalajara (Mexico),hard,header
07.09. 00:15,Arango E.,0,4,2,,,,1,8,55%,32% (9/28),26% (6/23),0% (0/8),39% (12/31),64% (16/25),56% (5/9),4,29% (15/51),50% (28/56),40% (43/107),2,11% (1/9),56% (5/9),33% (6/18),"['2', '1', '3', '2', '4', '3']","['1', '2', '2', '3']",[],[],[],3.31
07.09. 00:15,Rakhimova K.,2,6,6,,,,2,5,55%,61% (19/31),36% (9/25),44% (4/9),68% (19/28),74% (17/23),100% (8/8),7,50% (28/56),71% (36/51),60% (64/107),5,44% (4/9),89% (8/9),67% (12/18),"['2', '2', '3', '3', '4', '4', '6', '4']","['2', '0', '3', '1', '4', '2', '6', '2']",[],[],[],1.31
06.09. 00:15,Arango E.,2,6,5,7,,,0,11,60%,65% (46/71),34% (16/47),59% (10/17),39% (25/64),63% (24/38),60% (9/15),8,53% (62/118),48% (50/104),50% (112/222),3,56% (9/16),53% (9/17),55% (18/33),"['1', '0', '3', '0', '4', '1', '5', '2', '6', '3']","['3', '5', '5', '5']","['4', '4', '7', '5']",[],[],3.07
06.09. 00:15,Marino R.,1,3,7,5,,,9,4,63%,61% (39/64),37% (14/38),40% (6/15),35% (25/71),66% (31/47),41% (7/17),6,52% (54/104),47% (56/118),50% (110/222),3,47% (8/17),44% (7/16),45% (15/33),"['1', '3', '2', '4', '3', '5']","['1', '0', '5', '2', '6', '5']","['2', '1']",[],[],1.35
05.09. 02:10,Arango E.,2,6,3,6,,,1,8,67%,61% (38/62),42% (13/31),58% (7/12),44% (24/55),57% (24/42),58% (7/12),7,55% (51/93),49% (48/97),52% (99/190),3,62% (8/13),50% (7/14),56% (15/27),"['1', '2', '3', '2', '4', '3']","['1', '0', '3', '4']","['3', '1', '6', '2']",[],[],2.80
05.09. 02:10,Mandlik E.,1,4,6,2,,,1,10,57%,56% (31/55),43% (18/42),42% (5/12),39% (24/62),58% (18/31),42% (5/12),5,51% (49/97),45% (42/93),48% (91/190),4,50% (7/14),38% (5/13),44% (12/27),"['2', '0', '3', '3']","['2', '2', '4', '2', '5', '3']",[],[],[],1.41
03.09. 02:25,Arango E.,2,6,6,,,,2,4,51%,86% (19/22),48% (10/21),100% (4/4),63% (12/19),70% (16/23),46% (6/13),7,67% (29/43),67% (28/42),67% (57/85),10,100% (6/6),86% (6/7),92% (12/13),"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '6', '1']",[],[],[],1.01
03.09. 02:25,Guadiana Campos A. K.,0,0,1,,,,1,7,45%,37% (7/19),30% (7/23),54% (7/13),14% (3/22),52% (11/21),0% (0/4),5,33% (14/42),33% (14/43),33% (28/85),1,14% (1/7),0% (0/6),8% (1/13),[],[],[],[],[],14.00
