Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Wuhan (China) - Qualification,hard,header
05.10. 08:35,Burel C.,2,7,4,7^8,,,3,14,50%,60% (37/62),44% (28/63),50% (8/16),35% (17/48),61% (35/57),73% (8/11),7,52% (65/125),49% (51/104),51% (116/229),3,53% (9/17),47% (8/17),50% (17/34),"['2', '1', '3', '2', '5', '2', '6', '5']","['2', '1', '4', '3']","['1', '2', '4', '5']",[],[],1.57
05.10. 08:35,Parks A.,1,5,6,6^6,,,4,16,46%,65% (31/48),39% (22/57),27% (3/11),40% (25/62),56% (35/63),50% (8/16),6,51% (53/104),48% (60/125),49% (113/229),5,53% (9/17),47% (8/17),50% (17/34),"['2', '2', '3', '5', '5', '5']","['2', '2', '4', '4', '6', '4']","['2', '0', '5', '3']",[],[],2.42
CHALLENGER WOMEN - SINGLES :  Hong Kong (Hong Kong),hard,header
01.10. 09:40,Burel C.,0,2,6^5,,,,5,8,53%,56% (19/34),33% (10/30),50% (6/12),33% (14/43),62% (13/21),57% (4/7),4,45% (29/64),42% (27/64),44% (56/128),3,40% (4/10),40% (4/10),40% (8/20),"['1', '1']","['2', '2', '4', '4', '6', '6']",[],[],[],1.39
01.10. 09:40,Hibino N.,2,6,7^7,,,,1,3,67%,67% (29/43),38% (8/21),43% (3/7),44% (15/34),67% (20/30),50% (6/12),15,58% (37/64),55% (35/64),56% (72/128),5,60% (6/10),60% (6/10),60% (12/20),"['1', '0', '2', '1', '5', '2']","['1', '0', '4', '3', '6', '5']",[],[],[],3.06
WTA - SINGLES :  Beijing (China),hard,header
27.09. 19:00,Burel C.,0,5,3,,,,1,3,63%,57% (31/54),41% (13/32),71% (12/17),30% (13/44),63% (15/24),50% (3/6),6,51% (44/86),41% (28/68),47% (72/154),3,50% (5/10),27% (3/11),38% (8/21),"['1', '0', '3', '4', '5', '4']",[],[],[],[],7.03
27.09. 19:00,Gauff C.,2,7,6,,,,1,6,65%,70% (31/44),38% (9/24),50% (3/6),43% (23/54),59% (19/32),29% (5/17),6,59% (40/68),49% (42/86),53% (82/154),4,73% (8/11),50% (5/10),62% (13/21),"['1', '1', '4', '2', '5', '5', '7', '5']","['5', '3']",[],[],[],1.10
25.09. 13:05,Burel C.,2,6,5,6,,,1,3,57%,67% (36/54),44% (18/41),64% (9/14),42% (19/45),51% (22/43),50% (7/14),7,57% (54/95),47% (41/88),52% (95/183),5,67% (10/15),47% (7/15),57% (17/30),"['2', '1', '4', '3', '6', '3']","['5', '5']","['2', '0', '3', '1', '5', '1']",[],[],0
25.09. 13:05,Korpatsch T.,1,3,7,3,,,1,4,51%,58% (26/45),49% (21/43),50% (7/14),33% (18/54),56% (23/41),36% (5/14),6,53% (47/88),43% (41/95),48% (88/183),3,53% (8/15),33% (5/15),43% (13/30),"['2', '2']","['4', '3', '6', '5']","['1', '2', '2', '5']",[],[],0
