Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.08.,Masur D.,2,,,,,,13,0,62%,74% (28/38),61% (14/23),67% (4/6),37% (14/38),54% (14/26),67% (4/6),69% (42/61),44% (28/64),56% (70/125),8,0,80% (8/10),40% (4/10),60% (12/20),"['1', '2', '4', '5']","['2', '0', '6', '2']",[],[],[],2.14
26.08.,Callejon H. S.,0,,,,,,2,0,59%,63% (24/38),46% (12/26),33% (2/6),26% (10/38),39% (9/23),33% (2/6),56% (36/64),31% (19/61),44% (55/125),2,1,60% (6/10),20% (2/10),40% (8/20),"['2', '0', '3', '1']",[],[],[],[],1.66
25.08.,Callejon H. S.,2,,,,,,1,1,62%,66% (27/41),72% (18/25),100% (5/5),36% (16/45),54% (13/24),29% (2/7),18,18,80% (4/5),68% (45/66),42% (29/69),55% (74/135),5,0,100% (10/10),22% (2/9),63% (12/19),"['2', '0']","['3', '2']",[],[],[],-
25.08.,Pichler D.,0,,,,,,6,5,65%,64% (29/45),46% (11/24),71% (5/7),34% (14/41),28% (7/25),0% (0/5),16,32,57% (4/7),58% (40/69),32% (21/66),45% (61/135),5,1,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],-
09.08.,Callejon H. S.,2,,,,,,"['6', '5']","['1', '2', '2', '5']","['1', '0', '3', '0', '6', '1']",[],[],1.61
09.08.,Lagutin P.,1,,,,,,[],"['2', '0', '3', '1', '5', '1', '6', '2']",[],[],[],19.5
08.08.,Callejon H. S.,2,,,,,,"['6', '5']","['2', '1', '4', '1', '6', '1']",[],[],[],20.5
08.08.,Pedrico Kravtsov A.,0,,,,,,[],[],[],[],[],1.61
07.08.,Callejon H. S.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '6', '5']",[],[],[],20.5
07.08.,Ghazouani Durand Y.,0,,,,,,[],"['1', '3', '5', '5']",[],[],[],1.63
06.08.,Callejon H. S.,2,,,,,,"['5', '4']","['1', '0', '3', '0', '5', '0']",[],[],[],-
06.08.,Martinez Serrano M.,0,,,,,,[],[],[],[],[],-
04.08.,Callejon H. S.,2,,,,,,"['1', '0', '3', '0', '5', '2']","['3', '4']",[],[],[],2.47
04.08.,Milavsky D.,0,,,,,,"['1', '3']","['2', '0']",[],[],[],1.49
25.07.,Ejupovic E.,2,,,,,,"['2', '2', '4', '2', '6', '2']",[],"['3', '2', '5', '2']",[],[],1.38
25.07.,Callejon H. S.,1,,,,,,"['2', '1']","['2', '1', '6', '3']",[],[],[],2.85
23.07.,Callejon H. S.,2,,,,,,"['7', '5']","['2', '0', '4', '0', '6', '2']",[],[],[],1.28
23.07.,Pinter P. L.,0,,,,,,[],"['1', '4']",[],[],[],3.40
13.07.,Parker S.,2,,,,,,3,4,51%,81% (30/37),60% (21/35),75% (3/4),24% (13/55),49% (17/35),27% (3/11),26,55,75% (9/12),71% (51/72),33% (30/90),50% (81/162),7,0,92% (12/13),21% (3/14),56% (15/27),[],"['6', '4']","['4', '2', '6', '2']",[],[],1.36
13.07.,Callejon H. S.,1,,,,,,0,0,61%,76% (42/55),51% (18/35),73% (8/11),19% (7/37),40% (14/35),25% (1/4),13,35,50% (4/8),67% (60/90),29% (21/72),50% (81/162),3,1,79% (11/14),8% (1/13),44% (12/27),"['2', '0']",[],[],[],[],2.99
24.06.,Alonso J.,1,,,,,,"['4', '2']","['1', '0', '5', '4']","['1', '0']",[],[],6.45
24.06.,Callejon H. S.,1,,,,,,"['4', '5']","['2', '2']",[],[],[],1.08
18.06.,Deschamps T.,2,,,,,,[],"['3', '1']","['2', '1', '5', '2']",[],[],1.97
18.06.,Callejon H. S.,1,,,,,,"['5', '3']",[],[],[],[],1.74
03.06.,Neuchrist M.,2,,,,,,"['4', '5', '6', '5']","['2', '1', '6', '3']",[],[],[],1.25
03.06.,Callejon H. S.,0,,,,,,"['3', '1']",[],[],[],[],3.62
26.04.,Curras Abasolo T.,2,,,,,,"['2', '0', '3', '1', '5', '1', '6', '2']","['3', '1', '4', '2', '6', '2']",[],[],[],2.69
26.04.,Callejon H. S.,0,,,,,,"['1', '2', '2', '5']","['2', '3']",[],[],[],1.42
25.04.,Callejon H. S.,1,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0']",[],[],[],1.68
25.04.,Domingues J.,0,,,,,,[],[],[],[],[],2.06
24.04.,Callejon H. S.,2,,,,,,"['1', '0', '3', '0', '4', '1']","['1', '0', '6', '5']",[],[],[],1.34
24.04.,Juan Mano A.,0,,,,,,"['1', '3', '2', '4']","['1', '1']",[],[],[],3.03
22.04.,Callejon H. S.,2,,,,,,"['1', '0']","['2', '1', '6', '3']",[],[],[],1.22
22.04.,Marques D.,0,,,,,,[],[],[],[],[],3.91
17.04.,Barroso Campos A.,1,,,,,,"['2', '0', '4', '0', '6', '0']",[],[],[],[],1.60
17.04.,Callejon H. S.,0,,,,,,[],[],[],[],[],2.22
16.04.,Callejon H. S.,2,,,,,,"['1', '0', '4', '1', '5', '2']","['3', '2']","['1', '1', '4', '2']",[],[],-
16.04.,Pierre H.,1,,,,,,"['2', '4']","['3', '3', '5', '3']","['1', '0']",[],[],-
26.02.,Crawford O.,2,,,,,,"['3', '1', '6', '4']","['3', '1', '6', '2']",[],[],[],1.27
26.02.,Callejon H. S.,0,,,,,,"['3', '4']",[],[],[],[],3.26
21.02.,Blanch Dar.,2,,,,,,"['3', '2']","['1', '0', '3', '0', '6', '1']","['2', '0', '4', '2', '5', '5']",[],[],1.91
21.02.,Callejon H. S.,1,,,,,,"['4', '4', '6', '4']",[],"['1', '2', '3', '4', '5', '4']",[],[],1.79
20.02.,Callejon H. S.,2,,,,,,"['1', '0', '3', '0', '6', '3']","['4', '2', '5', '3']",[],[],[],1.43
20.02.,Sanchez Quilez A.,0,,,,,,"['1', '3']","['3', '4']",[],[],[],2.66
19.02.,Callejon H. S.,2,,,,,,"['1', '0', '4', '1', '5', '2']","['2', '1']",[],[],[],1.07
19.02.,Lagutin P.,0,,,,,,"['2', '4']",[],[],[],[],6.60
12.02.,Rocha F.,2,,,,,,[],"['3', '1', '5', '1']","['2', '1', '4', '1']",[],[],2.47
12.02.,Callejon H. S.,1,,,,,,"['1', '0', '3', '0', '5', '0']",[],[],[],[],1.49
24.01.,Honda N.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['2', '0', '4', '0']",[],[],[],2.81
24.01.,Callejon H. S.,0,,,,,,[],[],[],[],[],1.39
23.01.,Callejon H. S.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '0', '5', '0', '6', '1']",[],[],[],1.42
23.01.,Loge J.,0,,,,,,[],"['1', '5']",[],[],[],2.69
22.01.,Callejon H. S.,2,,,,,,"['1', '1', '3', '1', '4', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],2.59
22.01.,Iannaccone F.,0,,,,,,"['1', '0', '2', '3']",[],[],[],[],1.45
17.01.,Iannaccone F.,2,,,,,,"['1', '0', '4', '3', '6', '3']","['5', '3']",[],[],[],1.83
17.01.,Callejon H. S.,0,,,,,,"['2', '2']",[],[],[],[],1.83
16.01.,Callejon H. S.,2,,,,,,"['4', '3', '6', '3']","['3', '3', '4', '4', '6', '4']",[],[],[],2.56
16.01.,Mikrut L.,0,,,,,,[],"['2', '1', '4', '3']",[],[],[],1.46
15.01.,Callejon H. S.,2,,,,,,"['1', '0', '3', '0', '6', '3']","['3', '1', '5', '1']",[],[],[],1.06
15.01.,Nadal J.,0,,,,,,"['2', '4']",[],[],[],[],7.20
10.01.,Vives Marcos P.,2,,,,,,"['3', '2', '5', '2', '6', '3']","['3', '1']","['2', '0', '5', '1']",[],[],1.36
10.01.,Callejon H. S.,1,,,,,,"['3', '5']","['3', '4', '6', '5']",[],[],[],2.94
09.01.,Callejon H. S.,2,,,,,,"['2', '3', '6', '5']","['1', '0', '3', '0', '5', '0']",[],[],[],3.54
09.01.,Barroso Campos A.,0,,,,,,"['2', '0']","['1', '5']",[],[],[],1.26
21.11.2024,Perez Contri S.,2,,,,,,"['2', '4', '3', '5']","['2', '0', '4', '0', '6', '0']","['4', '4', '5', '5', '7', '5']",[],[],1.49
21.11.2024,Callejon H. S.,1,,,,,,"['1', '0', '3', '0', '5', '2']",[],"['2', '1', '5', '4']",[],[],2.47
20.11.2024,Callejon H. S.,2,,,,,,"['2', '3', '5', '4']","['1', '0', '4', '1', '6', '3']",[],[],[],1.20
20.11.2024,Martinez M.,0,,,,,,"['3', '1']","['3', '5']",[],[],[],4.14
16.10.2024,Pedrico Kravtsov A.,2,,,,,,[],"['1', '0', '5', '4', '6', '5']",[],[],[],1.56
16.10.2024,Callejon H. S.,0,,,,,,[],"['3', '3', '5', '5']",[],[],[],2.20
04.10.2024,Andaloro F.,2,,,,,,"['4', '3']","['1', '0', '3', '0', '6', '3']",[],[],[],1.68
04.10.2024,Callejon H. S.,0,,,,,,[],"['2', '4']",[],[],[],2.09
03.10.2024,Callejon H. S.,2,,,,,,"['1', '0', '3', '0', '4', '1', '6', '1']","['3', '5']","['1', '1', '2', '2']",[],[],1.68
03.10.2024,Gima S.,1,,,,,,"['1', '3']","['1', '0', '5', '2']","['1', '0', '2', '1']",[],[],2.06
02.10.2024,Callejon H. S.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0']",[],[],[],1.60
02.10.2024,Djuric B.,0,,,,,,[],[],[],[],[],2.22
26.09.2024,Nicod J.,2,,,,,,"['1', '0', '2', '1', '4', '3']","['2', '1', '6', '5']","['6', '5']",[],[],1.11
26.09.2024,Callejon H. S.,1,,,,,,"['1', '1', '2', '2', '4', '4', '7', '5']","['3', '3']",[],[],[],5.74
