Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.03.,D'Agostino S.,2,,,,,,"['1', '0', '6', '5']","['4', '5']","['2', '0', '4', '0']",[],[],1.07
26.03.,Campbell N.,1,,,,,,"['2', '2']","['2', '0']",[],[],[],6.75
16.10.2024,Balshaw F.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '3', '0', '4', '1']",[],[],[],1.26
16.10.2024,Campbell N.,0,,,,,,[],"['1', '3']",[],[],[],3.54
30.07.2024,Marinescu M. R.,2,,,,,,"['1', '0']","['1', '2', '2', '3', '4', '3', '6', '5']",[],[],[],1.09
30.07.2024,Campbell N.,0,,,,,,[],"['2', '0', '3', '1', '5', '5']",[],[],[],6.63
24.07.2024,Pieleanu R. T.,2,,,,,,"['1', '0', '3', '2', '4', '3', '5', '4']","['4', '5']",[],[],[],1.37
24.07.2024,Campbell N.,0,,,,,,"['2', '2', '3', '3', '4', '4']","['5', '3']",[],[],[],2.92
22.06.2024,Campbell N.,2,,,,,,"['1', '0', '2', '1', '4', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],-
22.06.2024,Samardzic M.,0,,,,,,"['1', '1']",[],[],[],[],-
07.04.2018,Srbljak G.,2,,,,,,"['3', '1', '5', '1']","['2', '1', '4', '1', '5', '2']",[],[],[],-
07.04.2018,Campbell N.,0,,,,,,[],"['2', '4']",[],[],[],-
05.02.2017,Celikbilek A.,2,,,,,,"['3', '1']","['4', '5']",[],[],[],-
05.02.2017,Campbell N.,0,,,,,,[],"['3', '1']",[],[],[],-
