Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  San Miguel de Tucuman (Argentina),clay,header
26.04. 23:15,Collarini A.,0,6^7,3,,,,1,1,82%,70% (37/53),42% (5/12),33% (1/3),20% (10/50),47% (7/15),33% (1/3),65% (42/65),26% (17/65),45% (59/130),5,0,80% (8/10),9% (1/11),43% (9/21),[],[],[],[],[],1.48
26.04. 23:15,Rodriguez Taverna S.,2,7^9,6,,,,5,2,77%,80% (40/50),53% (8/15),67% (2/3),30% (16/53),58% (7/12),67% (2/3),74% (48/65),35% (23/65),55% (71/130),5,0,91% (10/11),20% (2/10),57% (12/21),[],[],[],[],[],2.68
26.04. 00:40,Collarini A.,1,3,7^7,4,,,2,1,83%,68% (44/65),54% (7/13),20% (1/5),33% (24/73),47% (14/30),27% (3/11),65% (51/78),37% (38/103),49% (89/181),6,0,71% (10/14),19% (3/16),43% (13/30),[],[],[],[],[],1.68
26.04. 00:40,Bagnis F.,1,6,6^3,5,,,4,2,71%,67% (49/73),53% (16/30),73% (8/11),32% (21/65),46% (6/13),80% (4/5),63% (65/103),35% (27/78),51% (92/181),4,0,81% (13/16),29% (4/14),57% (17/30),[],[],[],[],[],2.11
24.04. 23:55,Collarini A.,2,6,7^8,,,,1,1,84%,64% (38/59),18% (2/11),25% (1/4),52% (22/42),52% (13/25),56% (5/9),57% (40/70),52% (35/67),55% (75/137),6,0,70% (7/10),50% (5/10),60% (12/20),[],[],[],[],[],1.52
24.04. 23:55,Ambrogi L. E.,0,2,6^6,,,,4,1,63%,48% (20/42),48% (12/25),44% (4/9),36% (21/59),82% (9/11),75% (3/4),48% (32/67),43% (30/70),45% (62/137),4,0,50% (5/10),30% (3/10),40% (8/20),[],[],[],[],[],2.54
23.04. 20:40,Collarini A.,2,6,6,,,,0,1,83%,72% (31/43),56% (5/9),75% (3/4),38% (11/29),59% (10/17),80% (4/5),69% (36/52),47% (21/45),59% (57/97),8,0,89% (8/9),44% (4/9),67% (12/18),[],[],[],[],[],1.37
23.04. 20:40,La Serna J. M.,0,4,2,,,,1,3,63%,62% (18/29),41% (7/17),20% (1/5),28% (12/43),44% (4/9),25% (1/4),53% (24/45),31% (16/52),41% (40/97),2,0,56% (5/9),11% (1/9),33% (6/18),[],[],[],[],[],2.94
CHALLENGER MEN - SINGLES :  Tallahassee (USA),clay,header
19.04. 23:25,Collarini A.,1,2,6,4,,,1,2,76%,62% (40/65),45% (9/20),64% (7/11),26% (13/50),66% (19/29),44% (4/9),58% (49/85),41% (32/79),49% (81/164),5,0,67% (8/12),31% (4/13),48% (12/25),[],[],[],[],[],2.00
19.04. 23:25,Rodesch C.,2,6,1,6,,,5,4,63%,74% (37/50),34% (10/29),56% (5/9),38% (25/65),55% (11/20),36% (4/11),59% (47/79),42% (36/85),51% (83/164),5,0,69% (9/13),33% (4/12),52% (13/25),[],[],[],[],[],1.74
