Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES Porto (Portugal),hard,header
30.07.,Coulibaly E.,0,,,,,,7,6,71%,57% (31/54),59% (13/22),63% (5/8),34% (17/50),44% (16/36),40% (2/5),23,42,50% (10/20),58% (44/76),38% (33/86),48% (77/162),4,0,73% (8/11),18% (2/11),45% (10/22),[],[],[],[],[],0
30.07.,Rocha H.,2,,,,,,5,1,58%,66% (33/50),56% (20/36),60% (3/5),43% (23/54),41% (9/22),38% (3/8),16,26,57% (4/7),62% (53/86),42% (32/76),52% (85/162),6,0,82% (9/11),27% (3/11),55% (12/22),[],[],[],[],[],0
28.07.,Coulibaly E.,2,,,,,,5,2,58%,83% (19/23),53% (9/17),0% (0/1),52% (13/25),74% (14/19),60% (6/10),14,20,70% (28/40),61% (27/44),65% (55/84),7,0,86% (6/7),75% (6/8),80% (12/15),[],[],[],[],[],0
28.07.,Albot R.,0,,,,,,0,5,57%,48% (12/25),26% (5/19),40% (4/10),17% (4/23),47% (8/17),100% (1/1),5,29,39% (17/44),30% (12/40),35% (29/84),3,2,25% (2/8),14% (1/7),20% (3/15),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Segovia (Spain),hard,header
22.07.,Coulibaly E.,0,,,,,,3,7,46%,77% (27/35),46% (19/41),40% (2/5),32% (18/56),52% (13/25),43% (3/7),17,43,56% (5/9),61% (46/76),38% (31/81),49% (77/157),5,1,75% (9/12),25% (3/12),50% (12/24),[],[],[],[],[],0
22.07.,Brancaccio R.,2,,,,,,7,4,69%,68% (38/56),48% (12/25),57% (4/7),23% (8/35),54% (22/41),60% (3/5),16,40,67% (4/6),62% (50/81),39% (30/76),51% (80/157),5,0,75% (9/12),25% (3/12),50% (12/24),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Pozoblanco (Spain),hard,header
16.07.,Coulibaly E.,1,,,,,,4,3,60%,54% (28/52),46% (16/35),36% (4/11),34% (24/71),68% (25/37),56% (5/9),25,53,64% (7/11),51% (44/87),45% (49/108),48% (93/195),3,2,50% (7/14),36% (5/14),43% (12/28),[],[],[],[],[],0
16.07.,Shah A.,2,,,,,,6,3,66%,66% (47/71),32% (12/37),44% (4/9),46% (24/52),54% (19/35),64% (7/11),25,48,50% (7/14),55% (59/108),49% (43/87),52% (102/195),7,0,64% (9/14),50% (7/14),57% (16/28),[],[],[],[],[],0
ITF MEN - SINGLES M25 Monastir 4 (Tunisia),hard,header
ITF MEN - SINGLES M25 Monastir 3 (Tunisia),hard,header
ATP - SINGLES Davis Cup - Group IV (World),-,header
ATP - SINGLES Davis Cup - Group IV (World),-,header
CHALLENGER MEN - SINGLES Tbilisi (Georgia),hard,header
22.05.,Coulibaly E.,0,,,,,,4,4,58%,72% (31/43),35% (11/31),40% (2/5),26% (12/46),50% (17/34),20% (2/10),57% (42/74),36% (29/80),46% (71/154),3,0,73% (8/11),18% (2/11),45% (10/22),[],[],[],[],[],0
22.05.,Cina F.,2,,,,,,7,9,58%,74% (34/46),50% (17/34),80% (8/10),28% (12/43),65% (20/31),60% (3/5),64% (51/80),43% (32/74),54% (83/154),7,0,82% (9/11),27% (3/11),55% (12/22),[],[],[],[],[],0
21.05.,Coulibaly E.,2,,,,,,11,3,63%,91% (51/56),61% (20/33),0% (0/0),33% (27/81),50% (17/34),29% (2/7),80% (71/89),38% (44/115),56% (115/204),8,0,100% (16/16),13% (2/16),56% (18/32),[],[],[],[],[],0
21.05.,Bax F.,1,,,,,,6,2,70%,67% (54/81),50% (17/34),71% (5/7),9% (5/56),39% (13/33),0% (0/0),62% (71/115),20% (18/89),44% (89/204),2,0,88% (14/16),0% (0/16),44% (14/32),[],[],[],[],[],0
20.05.,Coulibaly E.,2,,,,,,10,3,71%,88% (36/41),65% (11/17),0% (0/0),22% (10/45),50% (14/28),40% (2/5),81% (47/58),33% (24/73),54% (71/131),6,0,100% (10/10),18% (2/11),57% (12/21),[],[],[],[],[],0
20.05.,Jones M.,0,,,,,,0,1,62%,78% (35/45),50% (14/28),60% (3/5),12% (5/41),35% (6/17),0% (0/0),67% (49/73),19% (11/58),46% (60/131),4,0,82% (9/11),0% (0/10),43% (9/21),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Abidjan 2 (Ivory Coast),hard,header
27.04.,Coulibaly E.,2,,,,,,2,5,55%,68% (38/56),67% (31/46),86% (6/7),30% (20/66),46% (18/39),27% (3/11),68% (69/102),36% (38/105),52% (107/207),5,0,94% (15/16),19% (3/16),56% (18/32),[],[],[],[],[],0
27.04.,Dougaz A.,1,,,,,,12,7,63%,70% (46/66),54% (21/39),73% (8/11),32% (18/56),33% (15/46),14% (1/7),64% (67/105),32% (33/102),48% (100/207),5,0,81% (13/16),6% (1/16),44% (14/32),[],[],[],[],[],0
26.04.,Coulibaly E.,2,,,,,,8,9,58%,78% (43/55),53% (21/40),78% (7/9),24% (11/45),45% (17/38),60% (3/5),67% (64/95),34% (28/83),52% (92/178),6,0,87% (13/15),20% (3/15),53% (16/30),[],[],[],[],[],0
26.04.,Berankis R.,1,,,,,,4,2,54%,76% (34/45),55% (21/38),40% (2/5),22% (12/55),48% (19/40),22% (2/9),66% (55/83),33% (31/95),48% (86/178),4,4,80% (12/15),13% (2/15),47% (14/30),[],[],[],[],[],0
25.04.,Coulibaly E.,2,,,,,,4,6,55%,86% (18/21),59% (10/17),0% (0/0),50% (13/26),62% (13/21),56% (5/9),74% (28/38),55% (26/47),64% (54/85),7,0,100% (7/7),71% (5/7),86% (12/14),[],[],[],[],[],0
25.04.,Bakshi A.,0,,,,,,2,9,55%,50% (13/26),38% (8/21),44% (4/9),14% (3/21),41% (7/17),0% (0/0),45% (21/47),26% (10/38),36% (31/85),3,0,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],0
