Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
25.08.,Samsonova L.,2,,,,,,10,5,58%,71% (35/49),44% (16/36),67% (6/9),168 km/h,138 km/h,34% (22/64),48% (14/29),38% (3/8),39,40,75% (3/4),60% (51/85),39% (36/93),49% (87/178),7,0,79% (11/14),21% (3/14),50% (14/28),1514,[],"['1', '0', '5', '2']","['5', '4']",[],[],1.23
25.08.,Yuan Y.,1,,,,,,2,0,69%,66% (42/64),52% (15/29),63% (5/8),148 km/h,118 km/h,29% (14/49),56% (20/36),33% (3/9),13,26,100% (4/4),61% (57/93),40% (34/85),51% (91/178),3,0,79% (11/14),21% (3/14),50% (14/28),1591,"['2', '0', '6', '2']","['3', '5']",[],[],[],4.34
19.08.,Boulter K.,2,,,,,,3,8,48%,81% (21/26),32% (9/28),50% (3/6),44% (19/43),66% (21/32),50% (6/12),56% (30/54),53% (40/75),54% (70/129),5,0,67% (6/9),60% (6/10),63% (12/19),"['1', '2', '2', '3', '5', '4']","['2', '1', '4', '1', '6', '3']",[],[],[],18.5
19.08.,Yuan Y.,0,,,,,,1,4,57%,56% (24/43),34% (11/32),50% (6/12),19% (5/26),68% (19/28),50% (3/6),47% (35/75),44% (24/54),46% (59/129),5,2,40% (4/10),33% (3/9),37% (7/19),"['2', '0', '3', '1']","['3', '5']",[],[],[],1.29
11.08.,Cirstea S.,2,,,,,,9,0,61%,69% (41/59),42% (16/38),29% (2/7),44% (36/82),46% (12/26),58% (7/12),59% (57/97),44% (48/108),51% (105/205),5,0,69% (11/16),44% (7/16),56% (18/32),"['6', '6']","['1', '2', '3', '4', '5', '4']","['1', '2', '3', '2', '5', '2']",[],[],17.5
11.08.,Yuan Y.,1,,,,,,3,1,76%,56% (46/82),54% (14/26),42% (5/12),31% (18/59),58% (22/38),71% (5/7),56% (60/108),41% (40/97),49% (100/205),5,1,56% (9/16),31% (5/16),44% (14/32),"['6', '5']","['2', '0', '4', '2']","['2', '0', '3', '5']",[],[],1.19
09.08.,Yuan Y.,2,,,,,,3,1,61%,73% (33/45),52% (15/29),50% (3/6),30% (16/53),51% (19/37),23% (3/13),65% (48/74),39% (35/90),51% (83/164),6,0,77% (10/13),23% (3/13),50% (13/26),"['2', '1']",[],"['3', '1', '4', '2']",[],[],17.5
09.08.,Shnaider D.,1,,,,,,7,4,59%,70% (37/53),49% (18/37),77% (10/13),27% (12/45),48% (14/29),50% (3/6),61% (55/90),35% (26/74),49% (81/164),4,0,77% (10/13),23% (3/13),50% (13/26),[],"['3', '1', '5', '1']","['2', '3']",[],[],1.24
08.08.,Yuan Y.,2,,,,,,2,1,65%,68% (27/40),45% (10/22),71% (5/7),33% (7/21),75% (24/32),67% (6/9),60% (37/62),58% (31/53),59% (68/115),6,0,75% (6/8),75% (6/8),75% (12/16),"['2', '0', '4', '0', '6', '2']","['2', '2', '4', '2', '6', '2']",[],[],[],1.31
08.08.,Bucsa C.,0,,,,,,2,4,40%,67% (14/21),25% (8/32),33% (3/9),33% (13/40),55% (12/22),29% (2/7),42% (22/53),40% (25/62),41% (47/115),4,0,25% (2/8),25% (2/8),25% (4/16),"['1', '4']","['1', '0']",[],[],[],18.5
06.08.,Ngounoue C.,2,,,,,,8,1,63%,65% (33/51),57% (17/30),64% (7/11),38% (18/47),43% (13/30),71% (5/7),62% (50/81),40% (31/77),51% (81/158),8,0,71% (10/14),36% (5/14),54% (15/28),"['1', '0']","['2', '0', '6', '4']","['3', '3', '5', '3']",[],[],1.39
06.08.,Yuan Y.,1,,,,,,1,2,61%,62% (29/47),57% (17/30),29% (2/7),35% (18/51),43% (13/30),36% (4/11),60% (46/77),38% (31/81),49% (77/158),2,0,64% (9/14),29% (4/14),46% (13/28),"['3', '3', '5', '3']","['1', '2']","['1', '0']",[],[],19.0
