Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.08.,Gerch L.,2,,,,,,"['5', '5']","['1', '0', '4', '3']","['1', '0', '5', '2']",[],[],1.55
27.08.,Von der Schulenburg J.,1,,,,,,"['1', '0']","['1', '1']",[],[],[],2.32
22.08.,Bernet H.,2,,,,,,"['3', '1', '6', '2']","['3', '1', '6', '2']",[],[],[],1.36
22.08.,Gerch L.,0,,,,,,[],[],[],[],[],2.94
22.08.,Gerch L.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '3', '2', '5', '2']",[],[],[],1.12
22.08.,Thomas F.,0,,,,,,[],"['2', '2']",[],[],[],5.60
20.08.,Gerch L.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['2', '0', '5', '1']",[],[],[],1.10
20.08.,Burdet A.,0,,,,,,[],[],[],[],[],5.70
24.07.,Siniakov D.,2,,,,,,"['4', '3', '6', '5']","['1', '2', '4', '5']",[],[],[],1.70
24.07.,Gerch L.,0,,,,,,"['4', '4']","['2', '0', '5', '3']",[],[],[],2.03
23.07.,Gerch L.,2,,,,,,"['2', '0']",[],"['2', '0', '4', '2', '6', '2']",[],[],-
23.07.,Salazar D.,1,,,,,,"['1', '2']","['4', '2']","['2', '3']",[],[],-
03.07.,Alvarez Varona N.,2,,,,,,"['3', '4', '6', '5']","['1', '0', '4', '1', '6', '1']",[],[],[],1.38
03.07.,Gerch L.,0,,,,,,"['4', '2']",[],[],[],[],2.85
23.06.,Rodrigues P.,2,,,,,,1,1,71%,60% (35/58),54% (13/24),50% (5/10),46% (21/46),61% (11/18),60% (6/10),59% (48/82),50% (32/64),55% (80/146),6,0,55% (6/11),60% (6/10),57% (12/21),"['1', '0', '2', '1', '3', '2', '4', '3', '6', '5']","['4', '2']",[],[],[],2.40
23.06.,Gerch L.,0,,,,,,0,3,72%,54% (25/46),39% (7/18),40% (4/10),40% (23/58),46% (11/24),50% (5/10),50% (32/64),41% (34/82),45% (66/146),4,0,40% (4/10),45% (5/11),43% (9/21),"['1', '1', '2', '2', '3', '3', '4', '4', '6', '6']",[],[],[],[],1.53
22.06.,Gerch L.,2,,,,,,0,3,73%,65% (24/37),64% (9/14),50% (2/4),46% (16/35),61% (19/31),45% (5/11),65% (33/51),53% (35/66),58% (68/117),6,0,78% (7/9),56% (5/9),67% (12/18),"['1', '0', '3', '0']","['1', '0', '2', '1', '4', '1']",[],[],[],1.01
22.06.,Meneo T.,0,,,,,,1,0,53%,54% (19/35),39% (12/31),55% (6/11),35% (13/37),36% (5/14),50% (2/4),47% (31/66),35% (18/51),42% (49/117),4,3,44% (4/9),22% (2/9),33% (6/18),[],"['1', '1', '3', '5']",[],[],[],12.20
20.06.,Reis Da Silva J.,2,,,,,,0,3,63%,68% (28/41),42% (10/24),43% (3/7),48% (19/40),60% (18/30),70% (7/10),58% (38/65),53% (37/70),56% (75/135),6,0,67% (8/12),54% (7/13),60% (15/25),"['1', '0', '3', '4']","['3', '1', '6', '2']","['3', '1', '4', '2', '6', '2']",[],[],1.22
20.06.,Gerch L.,1,,,,,,2,7,57%,53% (21/40),40% (12/30),30% (3/10),32% (13/41),58% (14/24),57% (4/7),47% (33/70),42% (27/65),44% (60/135),4,0,46% (6/13),33% (4/12),40% (10/25),"['1', '1', '3', '1', '5', '3']",[],"['2', '3']",[],[],4.02
18.06.,Olivieri G. A.,0,,,,,,0,2,56%,40% (4/10),38% (3/8),75% (3/4),9% (1/11),33% (1/3),0% (0/0),39% (7/18),14% (2/14),28% (9/32),3,0,50% (1/2),0% (0/3),20% (1/5),[],[],[],[],[],1.31
18.06.,Gerch L.,0,,,,,,0,0,79%,91% (10/11),67% (2/3),0% (0/0),60% (6/10),63% (5/8),25% (1/4),86% (12/14),61% (11/18),72% (23/32),7,0,100% (3/3),50% (1/2),80% (4/5),"['2', '0']",[],[],[],[],3.27
17.06.,Gerch L.,2,,,,,,3,6,59%,65% (47/72),48% (24/50),64% (7/11),32% (21/65),58% (26/45),38% (5/13),58% (71/122),43% (47/110),51% (118/232),6,0,76% (13/17),31% (5/16),55% (18/33),"['2', '0', '4', '0']","['4', '5']","['4', '4', '5', '5']",[],[],1.96
17.06.,Justo G. I.,1,,,,,,3,8,59%,68% (44/65),42% (19/45),62% (8/13),35% (25/72),52% (26/50),36% (4/11),57% (63/110),42% (51/122),49% (114/232),4,2,69% (11/16),24% (4/17),45% (15/33),"['2', '5']","['2', '0']","['3', '2', '5', '4']",[],[],1.77
16.06.,Gerch L.,2,,,,,,2,3,67%,64% (23/36),56% (10/18),50% (2/4),50% (19/38),59% (10/17),83% (5/6),61% (33/54),53% (29/55),57% (62/109),6,0,78% (7/9),56% (5/9),67% (12/18),"['2', '2', '4', '2']","['1', '0', '4', '3', '6', '3']",[],[],[],1.59
16.06.,Rodrigues P.,0,,,,,,0,1,69%,50% (19/38),41% (7/17),17% (1/6),36% (13/36),44% (8/18),50% (2/4),47% (26/55),39% (21/54),43% (47/109),4,0,44% (4/9),22% (2/9),33% (6/18),"['1', '0']","['1', '1']",[],[],[],2.27
15.06.,Gerch L.,2,,,,,,3,5,52%,61% (25/41),63% (24/38),88% (7/8),42% (16/38),52% (14/27),38% (3/8),62% (49/79),46% (30/65),55% (79/144),6,0,90% (9/10),33% (3/9),63% (12/19),"['5', '3']","['2', '1', '4', '3']",[],[],[],1.20
15.06.,Li C.,0,,,,,,2,4,58%,58% (22/38),48% (13/27),63% (5/8),39% (16/41),37% (14/38),13% (1/8),54% (35/65),38% (30/79),45% (65/144),4,0,67% (6/9),10% (1/10),37% (7/19),[],"['2', '2']",[],[],[],4.27
10.06.,Villanueva G.,2,,,,,,0,1,69%,64% (56/88),73% (29/40),82% (9/11),26% (18/69),52% (24/46),50% (4/8),66% (85/128),37% (42/115),52% (127/243),7,0,88% (14/16),24% (4/17),55% (18/33),"['3', '4']","['4', '4']","['3', '2', '6', '3']",[],[],1.67
10.06.,Gerch L.,1,,,,,,4,8,60%,74% (51/69),48% (22/46),50% (4/8),36% (32/88),28% (11/40),18% (2/11),63% (73/115),34% (43/128),48% (116/243),3,1,76% (13/17),13% (2/16),45% (15/33),"['3', '1']","['1', '0']",[],[],[],2.12
09.06.,Gerch L.,2,,,,,,4,3,60%,69% (43/62),51% (21/41),83% (5/6),38% (24/63),42% (13/31),71% (5/7),62% (64/103),39% (37/94),51% (101/197),6,0,93% (13/14),33% (5/15),62% (18/29),"['6', '6']","['1', '0']","['2', '1', '4', '1', '6', '1']",[],[],1.31
09.06.,Barreiros Reyes M.,1,,,,,,0,1,67%,62% (39/63),58% (18/31),29% (2/7),31% (19/62),49% (20/41),17% (1/6),61% (57/94),38% (39/103),49% (96/197),4,0,67% (10/15),7% (1/14),38% (11/29),"['6', '5']",[],[],[],[],3.27
08.06.,Gerch L.,2,,,,,,2,7,56%,66% (40/61),44% (21/48),71% (10/14),37% (17/46),67% (18/27),46% (6/13),56% (61/109),48% (35/73),53% (96/182),5,0,69% (9/13),50% (6/12),60% (15/25),"['2', '0']","['1', '0', '3', '0', '5', '2']","['1', '0', '3', '0']",[],[],1.23
08.06.,Huertas Del Pino Cordova A.,1,,,,,,0,0,63%,63% (29/46),33% (9/27),54% (7/13),34% (21/61),56% (27/48),29% (4/14),52% (38/73),44% (48/109),47% (86/182),5,2,50% (6/12),31% (4/13),40% (10/25),"['2', '3', '4', '3', '6', '3']","['2', '4']",[],[],[],3.90
21.05.,Bouquet L.,2,,,,,,"['1', '4', '4', '5', '6', '5']","['2', '1', '6', '5']",[],[],[],3.32
21.05.,Gerch L.,0,,,,,,"['2', '0', '4', '0']","['5', '5']",[],[],[],1.29
