Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,675/387,211/111,238/144,152/95,45/31,29/6
2024,40/24,7/7,20/10,6/4,7/3,-
2023,36/28,11/11,2/5,17/8,5/3,1/1
2022,34/29,14/5,7/13,5/8,4/2,4/1
2021,14/15,5/5,4/8,5/1,0/1,-
2020,17/16,0/2,14/9,3/5,-,-
2019,39/29,6/6,18/11,4/8,10/3,1/1
2018,32/17,12/5,13/8,5/2,0/2,2/0
2017,63/25,14/7,27/10,16/8,-,6/0
2016,52/26,10/5,25/11,8/7,6/3,3/0
2015,38/25,10/7,13/10,4/4,6/3,5/1
2014,69/21,28/5,15/9,20/3,3/3,3/1
2013,31/27,5/7,23/13,2/3,0/3,1/1
2012,44/27,10/6,15/6,14/11,2/4,3/0
2011,37/20,10/7,9/7,16/5,2/1,-
2010,55/23,39/15,4/2,12/6,-,-
2009,41/23,21/7,12/8,8/8,-,-
2008,33/11,9/4,17/4,7/3,-,-
2006,0/1,-,-,0/1,-,-
