Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

CHALLENGER MEN - SINGLES :  Shanghai (China),hard,header
07.09. 10:30,Gombos N.,0,3,4,,,,4,1,73%,75% (30/40),40% (6/15),71% (5/7),19% (6/32),18% (3/17),0% (0/0),5,65% (36/55),18% (9/49),43% (45/104),1,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],1.80
07.09. 10:30,Hsu Y. H.,2,6,6,,,,3,1,65%,81% (26/32),82% (14/17),0% (0/0),25% (10/40),60% (9/15),29% (2/7),7,82% (40/49),35% (19/55),57% (59/104),3,100% (10/10),22% (2/9),63% (12/19),"['3', '1']","['5', '4']",[],[],[],1.94
06.09. 10:30,Gombos N.,2,6^2,7^7,6,,,18,2,71%,77% (51/66),74% (20/27),50% (1/2),20% (11/56),45% (24/53),67% (2/3),7,76% (71/93),32% (35/109),52% (106/202),3,94% (16/17),12% (2/17),53% (18/34),"['1', '0']",[],"['1', '0']",[],[],1.60
06.09. 10:30,Kachmazov A.,1,7^7,6^3,4,,,11,5,51%,80% (45/56),55% (29/53),33% (1/3),23% (15/66),26% (7/27),50% (1/2),4,68% (74/109),24% (22/93),48% (96/202),3,88% (15/17),6% (1/17),47% (16/34),"['5', '5']",[],[],[],[],2.26
05.09. 08:45,Gombos N.,2,6,6,,,,6,2,63%,90% (26/29),65% (11/17),100% (1/1),44% (16/36),45% (9/20),75% (3/4),8,80% (37/46),45% (25/56),61% (62/102),5,100% (9/9),33% (3/9),67% (12/18),"['5', '4']","['3', '2', '5', '2']",[],[],[],1.66
05.09. 08:45,Polmans M.,0,4,2,,,,2,2,64%,56% (20/36),55% (11/20),25% (1/4),10% (3/29),35% (6/17),0% (0/1),4,55% (31/56),20% (9/46),39% (40/102),1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],2.16
03.09. 17:30,Gombos N.,2,6,6,,,,3,1,63%,78% (32/41),54% (13/24),100% (4/4),45% (18/40),33% (4/12),43% (3/7),8,69% (45/65),42% (22/52),57% (67/117),3,100% (9/9),33% (3/9),67% (12/18),"['1', '0']","['2', '1', '5', '2']",[],[],[],2.63
03.09. 17:30,Jubb P.,0,4,2,,,,2,0,77%,55% (22/40),67% (8/12),57% (4/7),22% (9/41),46% (11/24),0% (0/4),5,58% (30/52),31% (20/65),43% (50/117),1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],1.45
CHALLENGER MEN - SINGLES :  Shanghai (China) - Qualification,hard,header
02.09. 11:45,Gombos N.,2,6,6,,,,7,0,63%,69% (27/39),65% (15/23),100% (2/2),28% (10/36),59% (10/17),75% (3/4),6,68% (42/62),38% (20/53),54% (62/115),5,100% (9/9),33% (3/9),67% (12/18),"['2', '1', '4', '1']","['4', '3']",[],[],[],1.98
