Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,275/270,23/30,113/109,128/99,10/28,1/4
2024,29/25,-,17/13,12/8,0/4,-
2023,31/30,1/4,19/18,11/7,0/1,-
2022,27/24,0/1,7/8,18/11,2/4,-
2021,50/29,11/9,9/7,29/10,1/3,-
2020,23/20,0/1,1/3,21/12,-,1/4
2019,12/19,4/3,8/11,0/3,0/2,-
2018,23/27,6/6,12/12,4/6,1/3,-
2017,34/29,1/4,12/11,21/11,0/3,-
2016,24/22,0/1,15/12,5/6,4/3,-
2015,8/16,0/1,4/6,2/6,2/3,-
2014,7/14,-,4/4,3/9,0/1,-
2013,5/11,-,5/4,0/7,-,-
2012,0/2,-,-,0/1,0/1,-
2011,2/2,-,-,2/2,-,-
