Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,614/477,285/186,130/117,136/109,31/50,32/15
2024,2/3,1/2,-,-,1/1,-
2023,5/11,2/4,2/3,1/3,0/1,-
2022,30/32,16/18,4/5,9/8,0/1,1/0
2021,21/20,12/12,4/4,3/3,1/1,1/0
2020,14/11,8/4,5/3,0/3,-,1/1
2019,21/28,7/11,6/9,2/5,2/3,4/0
2018,27/32,6/10,13/9,4/6,4/4,0/3
2017,30/31,9/9,10/11,5/6,3/4,3/1
2016,50/32,28/11,7/7,10/7,3/5,2/2
2015,45/34,26/11,6/8,7/9,5/5,1/1
2014,41/33,19/18,7/7,9/5,3/3,3/0
2013,49/33,31/13,3/8,12/9,1/3,2/0
2012,26/34,16/11,4/9,2/8,1/4,3/2
2011,33/28,17/8,9/9,2/6,3/3,2/2
2010,49/22,35/9,2/5,8/5,1/2,3/1
2009,12/4,-,-,12/4,-,-
2008,31/18,8/7,16/4,5/4,0/3,2/0
2007,44/32,11/7,10/11,18/10,2/3,3/1
2006,60/23,29/13,10/3,20/4,0/2,1/1
2005,22/9,3/5,12/2,6/1,1/1,-
2004,2/7,1/3,-,1/3,0/1,-
