Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
04.06.,Sornlaksup P.,2,,,,,,"['2', '0', '3', '1', '5', '3', '7', '5']","['1', '3']","['2', '0', '4', '2']",[],[],1.19
04.06.,Han Seon Yong,1,,,,,,"['1', '2', '2', '3', '4', '5']","['1', '0', '3', '0']","['2', '3']",[],[],4.28
27.10.2024,Moriya H.,2,,,,,,3,5,61%,63% (31/49),52% (16/31),69% (9/13),34% (16/47),57% (21/37),50% (6/12),59% (47/80),46% (37/80),53% (84/160),5,0,69% (9/13),50% (6/12),60% (15/25),"['1', '1', '2', '2']","['4', '3', '6', '3']","['2', '0', '4', '0']",[],[],1.19
27.10.2024,Han Seon Yong,1,,,,,,8,5,56%,57% (27/47),43% (16/37),50% (6/12),37% (18/49),48% (15/31),31% (4/13),54% (43/80),41% (33/80),48% (76/160),5,2,50% (6/12),31% (4/13),40% (10/25),"['1', '0', '2', '1', '4', '3', '6', '3']",[],[],[],[],4.36
24.09.2024,Zeng Y.,2,,,,,,"['4', '2']","['2', '1']","['2', '1', '4', '1', '5', '4']",[],[],1.99
24.09.2024,Han Seon Yong,1,,,,,,[],"['3', '3', '6', '4']","['2', '4', '4', '4']",[],[],1.73
18.09.2024,Jasika O.,2,,,,,,"['2', '2', '4', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.02
18.09.2024,Han Seon Yong,0,,,,,,"['1', '0']",[],[],[],[],11.10
12.09.2024,Delaney Ja.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '6', '3']",[],[],[],1.16
12.09.2024,Han Seon Yong,0,,,,,,[],[],[],[],[],4.71
10.09.2024,Han Seon Yong,2,,,,,,"['2', '1', '3', '2']","['4', '3', '6', '3']",[],[],[],2.22
10.09.2024,Ryan Ziegann S.,0,,,,,,"['2', '2']",[],[],[],[],1.61
23.11.2023,Shin W.,2,,,,,,[],[],[],[],[],-
23.11.2023,Han Seon Yong,1,,,,,,[],[],[],[],[],-
08.09.2023,Leong M. W. K.,2,,,,,,[],[],[],[],[],1.67
08.09.2023,Han Seon Yong,1,,,,,,[],[],[],[],[],2.10
07.09.2023,Han Seon Yong,2,,,,,,[],[],[],[],[],2.74
07.09.2023,Musitelli F.,1,,,,,,[],[],[],[],[],1.41
06.09.2023,Han Seon Yong,2,,,,,,[],[],[],[],[],2.99
06.09.2023,Pearson K.,0,,,,,,[],[],[],[],[],1.37
30.08.2023,Dzhavakian Y.,2,,,,,,[],[],[],[],[],1.31
30.08.2023,Han Seon Yong,0,,,,,,[],[],[],[],[],3.38
23.08.2023,Vithoontien L.,2,,,,,,[],[],[],[],[],1.76
23.08.2023,Han Seon Yong,1,,,,,,[],[],[],[],[],1.95
31.05.2023,Ito T.,2,,,,,,[],[],[],[],[],1.10
31.05.2023,Han Seon Yong,0,,,,,,[],[],[],[],[],6.15
30.04.2023,Kelly D.,2,,,,,,3,4,62%,70% (31/44),56% (15/27),71% (5/7),43% (16/37),46% (13/28),57% (4/7),65% (46/71),45% (29/65),55% (75/136),80% (8/10),40% (4/10),60% (12/20),"['2', '0', '6', '2']","['2', '2', '4', '4']",[],[],[],1.08
30.04.2023,Han Seon Yong,0,,,,,,2,5,57%,57% (21/37),54% (15/28),43% (3/7),30% (13/44),44% (12/27),29% (2/7),55% (36/65),35% (25/71),45% (61/136),60% (6/10),20% (2/10),40% (8/20),[],"['1', '0', '4', '3']",[],[],[],7.10
21.01.2019,Svrcina D.,2,,,,,,"['3', '2', '5', '4']","['1', '0', '3', '0', '5', '0']",[],[],[],-
21.01.2019,Han Seon Yong,0,,,,,,"['4', '4']",[],[],[],[],-
19.01.2019,Han Seon Yong,2,,,,,,"['1', '0']","['5', '3']","['1', '2', '3', '4', '6', '5']",[],[],-
19.01.2019,Passaro F.,1,,,,,,"['1', '1', '4', '2']",[],"['2', '0', '3', '1']",[],[],-
31.05.2018,Droguet T.,2,,,,,,"['4', '2', '6', '2']","['3', '1', '5', '1']",[],[],[],-
31.05.2018,Han Seon Yong,0,,,,,,[],[],[],[],[],-
