Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.08.,Tobon M.,1,,,,,,4,2,64%,84% (21/25),71% (10/14),100% (1/1),34% (10/29),68% (17/25),43% (3/7),79% (31/39),50% (27/54),62% (58/93),8,0,100% (7/7),43% (3/7),71% (10/14),"['3', '1']","['1', '0', '4', '1']",[],[],[],4.70
26.08.,Hemery C.,0,,,,,,2,3,54%,66% (19/29),32% (8/25),57% (4/7),16% (4/25),29% (4/14),0% (0/1),50% (27/54),21% (8/39),38% (35/93),2,0,57% (4/7),0% (0/7),29% (4/14),[],[],[],[],[],1.17
19.08.,Cerundolo J. M.,2,,,,,,1,1,59%,77% (23/30),67% (14/21),0% (0/0),167 km/h,123 km/h,49% (22/45),54% (13/24),60% (3/5),13,24,60% (6/10),73% (37/51),42% (29/69),55% (66/120),7,0,100% (9/9),30% (3/10),63% (12/19),"['2', '1']","['1', '0', '6', '3']",[],[],[],1.49
19.08.,Hemery C.,0,,,,,,2,6,65%,64% (29/45),46% (11/24),40% (2/5),182 km/h,157 km/h,23% (7/30),33% (7/21),0% (0/0),15,38,63% (15/24),58% (40/69),27% (14/51),45% (54/120),3,0,70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],2.58
05.08.,Brunclik P.,2,,,,,,0,1,53%,81% (17/21),84% (16/19),100% (1/1),25% (7/28),77% (20/26),100% (4/4),13,11,83% (5/6),83% (33/40),50% (27/54),64% (60/94),8,0,100% (8/8),44% (4/9),71% (12/17),"['1', '0', '4', '1']","['3', '2', '6', '3']",[],[],[],2.27
05.08.,Hemery C.,0,,,,,,3,6,52%,75% (21/28),23% (6/26),0% (0/4),19% (4/21),16% (3/19),0% (0/1),11,41,50% (3/6),50% (27/54),18% (7/40),36% (34/94),2,0,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],1.59
24.07.,Paul J.,2,,,,,,3,0,72%,84% (26/31),58% (7/12),100% (1/1),46% (13/28),47% (9/19),67% (4/6),20,11,100% (6/6),77% (33/43),47% (22/47),61% (55/90),8,0,100% (8/8),50% (4/8),75% (12/16),"['2', '1', '6', '3']","['3', '1', '5', '1']",[],[],[],2.70
24.07.,Hemery C.,0,,,,,,1,1,60%,54% (15/28),53% (10/19),33% (2/6),16% (5/31),42% (5/12),0% (0/1),16,17,71% (5/7),53% (25/47),23% (10/43),39% (35/90),2,1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],1.43
22.07.,Hemery C.,2,,,,,,8,1,82%,74% (34/46),50% (5/10),88% (7/8),48% (14/29),41% (7/17),100% (4/4),24,23,63% (5/8),66% (37/56),50% (23/46),59% (60/102),7,0,89% (8/9),44% (4/9),67% (12/18),"['2', '0', '5', '3']","['1', '0', '6', '3']",[],[],[],1.28
22.07.,Yevseyev D.,0,,,,,,1,2,63%,52% (15/29),59% (10/17),0% (0/4),26% (12/46),50% (5/10),13% (1/8),8,15,57% (4/7),50% (23/46),34% (19/56),41% (42/102),3,0,56% (5/9),11% (1/9),33% (6/18),"['3', '4']",[],[],[],[],3.47
