Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,369/244,235/154,87/57,34/16,0/1,13/16
2024,7/12,6/7,0/2,-,-,1/3
2023,35/23,24/16,6/5,2/1,-,3/1
2022,28/29,17/20,7/7,1/1,0/1,3/0
2021,48/16,40/14,0/1,8/1,-,-
2020,31/16,-,21/10,8/4,-,2/2
2019,23/13,15/8,2/2,6/2,-,0/1
2018,15/15,9/9,5/3,-,-,1/3
2017,31/26,21/14,10/9,-,-,0/3
2016,36/27,21/18,9/4,3/4,-,3/1
2015,49/23,37/15,9/6,3/2,-,-
2014,41/20,24/13,14/6,3/1,-,-
2013,12/16,8/12,4/2,-,-,0/2
2012,11/4,11/4,-,-,-,-
2011,2/4,2/4,-,-,-,-
