Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES Tallahassee (USA) - Qualification,clay,header
14.04.2024,Horovitz R.,0,,,,,,1,1,64%,70% (26/37),38% (8/21),77% (10/13),14% (4/29),40% (8/20),0% (0/0),59% (34/58),24% (12/49),43% (46/107),6,0,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],0
14.04.2024,Bobrov B.,2,,,,,,5,0,59%,86% (25/29),60% (12/20),0% (0/0),30% (11/37),62% (13/21),23% (3/13),76% (37/49),41% (24/58),57% (61/107),4,0,100% (9/9),33% (3/9),67% (12/18),[],[],[],[],[],0
ITF MEN - SINGLES M15 Palm Coast,clay,header
BOYS - SINGLES Australian Open (Australia),hard,header
ITF MEN - SINGLES M15 Albuquerque,hard,header
ITF MEN - SINGLES M15 Champaign,hard,header
BOYS - SINGLES US Open (USA),hard,header
BOYS - SINGLES Wimbledon (United Kingdom),grass,header
BOYS - SINGLES French Open (France),clay,header
ITF MEN - SINGLES M15 Vero Beach,clay,header
