Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,505/354,65/64,346/221,31/25,53/38,10/6
2024,1/4,-,1/4,-,-,-
2023,4/3,2/1,0/1,-,2/1,-
2021,14/17,1/5,13/9,0/1,0/2,-
2020,3/8,1/2,2/6,-,-,-
2019,31/24,4/5,23/16,-,4/3,-
2018,40/23,9/6,26/14,-,5/3,-
2017,32/30,5/7,19/16,2/3,6/4,-
2016,27/19,10/6,13/9,0/1,1/2,3/1
2015,38/19,2/2,28/14,-,6/2,2/1
2014,20/23,2/4,15/16,0/1,3/2,-
2013,13/26,1/4,9/18,1/1,2/3,-
2012,49/21,4/5,35/8,1/2,7/5,2/1
2011,28/8,2/2,20/5,1/1,5/0,-
2010,18/8,0/1,15/6,3/1,-,-
2009,9/15,2/3,2/7,5/4,0/1,-
2008,33/16,1/4,25/9,5/1,1/1,1/1
2007,28/22,3/2,21/18,-,3/1,1/1
2006,37/23,8/1,21/14,5/3,2/4,1/1
2005,43/14,3/2,30/11,5/1,5/0,-
2004,12/11,-,9/6,3/4,0/1,-
2003,8/8,-,8/5,0/1,0/2,-
2002,12/10,5/2,6/7,-,1/1,-
2001,5/2,-,5/2,-,-,-
