Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
11.06.,Bailly P. Y.,2,,,,,,"['1', '0', '4', '1', '6', '3']","['1', '1', '3', '1', '4', '2', '6', '2']",[],[],[],1.14
11.06.,Ibrahim K.,0,,,,,,"['3', '5']","['1', '0', '2', '3']",[],[],[],4.90
24.04.,Purtseladze S.,2,,,,,,"['2', '0', '6', '4']",[],[],[],[],1.03
24.04.,Ibrahim K.,0,,,,,,"['2', '3']",[],[],[],[],8.70
23.04.,Ibrahim K.,2,,,,,,"['4', '3']","['3', '2', '5', '2']",[],[],[],1.37
23.04.,Kypriotis E.,0,,,,,,[],[],[],[],[],2.88
17.04.,Zakaria F.,2,,,,,,[],"['4', '2']",[],[],[],1.06
17.04.,Ibrahim K.,0,,,,,,[],[],[],[],[],7.30
16.04.,Ibrahim K.,2,,,,,,"['5', '4']",[],"['1', '0', '6', '3']",[],[],3.91
16.04.,Castelnuovo L.,1,,,,,,[],"['7', '5']",[],[],[],1.22
09.04.,Konovchuk V.,2,,,,,,"['1', '0', '3', '0', '6', '3']",[],"['2', '1', '6', '3']",[],[],-
09.04.,Ibrahim K.,1,,,,,,"['1', '3']","['3', '3', '4', '3', '5', '3', '6', '3']",[],[],[],-
26.03.,Moroni F.,2,,,,,,[],"['2', '0', '5', '1']",[],[],[],-
26.03.,Ibrahim K.,0,,,,,,[],[],[],[],[],-
20.03.,Kravchenko G.,2,,,,,,"['2', '1']","['3', '4', '6', '5']",[],[],[],1.05
20.03.,Ibrahim K.,0,,,,,,[],"['3', '1']",[],[],[],7.50
19.03.,Ibrahim K.,2,,,,,,"['5', '3']",[],"['4', '4', '6', '4']",[],[],2.66
19.03.,Butulija B.,1,,,,,,[],"['4', '2']","['1', '0']",[],[],1.43
13.03.,Purtseladze S.,2,,,,,,"['1', '0', '6', '3']",[],[],[],[],1.03
13.03.,Ibrahim K.,0,,,,,,[],[],[],[],[],9.10
12.03.,Ibrahim K.,2,,,,,,"['2', '0', '3', '1']","['1', '0']",[],[],[],1.19
12.03.,Norrman S.,0,,,,,,"['1', '2']",[],[],[],[],4.19
19.02.,Balshaw F.,2,,,,,,[],"['3', '1']","['2', '1', '3', '2']",[],[],1.18
19.02.,Ibrahim K.,1,,,,,,[],"['4', '5']","['2', '2', '4', '4']",[],[],4.43
29.01.,Moraing O.,2,,,,,,"['3', '2', '6', '3']","['3', '1', '5', '1']",[],[],[],1.38
29.01.,Ibrahim K.,0,,,,,,[],[],[],[],[],2.85
21.11.2024,Binda A.,2,,,,,,"['2', '0']","['2', '1']",[],[],[],1.09
21.11.2024,Ibrahim K.,0,,,,,,[],[],[],[],[],6.39
20.11.2024,Ibrahim K.,0,,,,,,[],[],[],[],[],2.69
20.11.2024,Maamoun K.M.,0,,,,,,[],[],[],[],[],1.42
13.11.2024,Martin T.,2,,,,,,"['6', '4']","['4', '4']","['7', '5']",[],[],1.32
13.11.2024,Ibrahim K.,1,,,,,,[],"['1', '0', '5', '4']",[],[],[],3.14
06.11.2024,Schell N.,2,,,,,,[],"['4', '3']",[],[],[],-
06.11.2024,Ibrahim K.,0,,,,,,[],[],[],[],[],-
16.10.2024,Ehrenschneider N.,2,,,,,,"['5', '3']","['4', '3']",[],[],[],1.37
16.10.2024,Ibrahim K.,0,,,,,,[],[],[],[],[],2.88
09.10.2024,Hannestad B.,2,,,,,,"['2', '0', '4', '2', '5', '3']","['2', '1', '5', '2']",[],[],[],1.69
09.10.2024,Ibrahim K.,0,,,,,,"['2', '3', '3', '4']",[],[],[],[],2.08
02.10.2024,Gengel M.,2,,,,,,"['2', '1', '5', '2']","['3', '2', '4', '5']",[],[],[],1.08
02.10.2024,Ibrahim K.,0,,,,,,[],"['3', '3', '5', '3']",[],[],[],6.55
25.09.2024,Boros A.,2,,,,,,"['2', '0']","['5', '4']",[],[],[],1.45
25.09.2024,Ibrahim K.,0,,,,,,[],[],[],[],[],2.59
