Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.06.,Marcondes I.,2,,,,,,"['1', '1']",[],"['3', '1', '6', '2']",[],[],1.74
26.06.,Jovanovic P.,1,,,,,,"['1', '0']","['3', '1', '5', '1']",[],[],[],1.97
25.06.,Jovanovic P.,2,,,,,,"['4', '2', '6', '2']","['2', '0', '4', '0']",[],[],[],1.85
25.06.,Gagliardo L.,0,,,,,,[],"['1', '4']",[],[],[],1.85
14.06.,Snitari I.,0,,,,,,[],[],[],[],[],1.91
14.06.,Jovanovic P.,0,,,,,,"['2', '1']",[],[],[],[],1.91
13.06.,Jovanovic P.,2,,,,,,"['3', '3', '7', '5']","['2', '0', '3', '1', '6', '2']",[],[],[],-
13.06.,De Gabriele A.,0,,,,,,"['1', '0']","['1', '2']",[],[],[],-
11.06.,Jovanovic P.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '0', '6', '1']",[],[],[],-
11.06.,Micov S.,0,,,,,,[],[],[],[],[],-
10.06.,Jovanovic P.,2,,,,,,"['1', '2']","['4', '2']","['6', '5']",[],[],3.06
10.06.,Strombachs R.,1,,,,,,"['2', '0', '4', '2']",[],[],[],[],1.39
01.02.,Sun F.,2,,,,,,"['2', '0']","['6', '5']",[],[],[],-
01.02.,Jovanovic P.,0,,,,,,[],[],[],[],[],-
31.01.,Cui J.,2,,,,,,"['2', '1']",[],[],[],[],1.33
31.01.,Jovanovic P.,0,,,,,,[],[],[],[],[],3.39
20.09.2024,Legout T.,2,,,,,,[],"['3', '1', '6', '4']","['4', '4', '7', '5']",[],[],1.34
20.09.2024,Jovanovic P.,1,,,,,,"['4', '2']","['3', '4']","['2', '1']",[],[],3.04
19.09.2024,Jovanovic P.,2,,,,,,"['2', '2', '4', '2', '6', '2']","['2', '2', '4', '4', '6', '4']",[],[],[],1.34
19.09.2024,Alvarez Valdes L. C.,0,,,,,,"['2', '1']","['2', '1', '3', '2']",[],[],[],3.05
18.09.2024,Jovanovic P.,2,,,,,,"['1', '0', '3', '0']","['6', '5']",[],[],[],1.49
18.09.2024,Chopra K.,0,,,,,,[],[],[],[],[],2.50
22.06.2024,Jovanovic P.,2,,,,,,"['1', '1', '3', '1', '4', '2']","['1', '0', '3', '0', '6', '3']",[],[],[],1.57
22.06.2024,Efstathiou M.,0,,,,,,"['1', '0', '2', '3']","['1', '3']",[],[],[],2.33
21.06.2024,Jovanovic P.,2,,,,,,"['1', '2', '2', '3']","['2', '1', '3', '2', '5', '2', '6', '3']","['2', '0', '5', '3', '6', '4']",[],[],-
21.06.2024,Dominko S.,1,,,,,,"['2', '0', '3', '1', '4', '2', '6', '2']","['2', '2', '3', '5']","['3', '4', '4', '5']",[],[],-
19.06.2024,Jovanovic P.,2,,,,,,"['2', '0', '6', '2']","['7', '5']",[],[],[],-
19.06.2024,Bugarikj B.,0,,,,,,[],[],[],[],[],-
17.06.2023,Efstathiou M.,2,,,,,,"['2', '1', '6', '5']","['2', '3', '4', '3', '6', '3']",[],[],[],1.24
17.06.2023,Jovanovic P.,0,,,,,,"['3', '3']","['2', '0']",[],[],[],3.82
15.06.2023,Jovanovic P.,2,,,,,,"['3', '3', '6', '4']","['3', '1']",[],[],[],1.09
15.06.2023,De Rossi M.,0,,,,,,"['2', '1']",[],[],[],[],6.50
14.06.2023,Jovanovic P.,2,,,,,,[],"['2', '0', '5', '3']","['1', '0', '3', '0', '6', '3']",[],[],4.47
14.06.2023,Lajal M.,1,,,,,,"['3', '1']","['3', '4']","['1', '3']",[],[],1.18
22.09.2022,Jong A. M.,2,,,,,,[],"['2', '0', '4', '0', '6', '0']","['4', '2', '6', '2']",[],[],1.28
22.09.2022,Jovanovic P.,1,,,,,,"['2', '0']",[],[],[],[],3.46
25.06.2022,Jovanovic P.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['2', '1', '4', '1']",[],[],[],-
25.06.2022,Khachatryan S.,0,,,,,,[],[],[],[],[],-
23.06.2022,Ivanovski K.,2,,,,,,"['3', '2', '4', '3']","['4', '3', '6', '3']",[],[],[],-
23.06.2022,Jovanovic P.,0,,,,,,"['3', '3']",[],[],[],[],-
22.06.2022,Snitari I.,2,,,,,,"['2', '2', '6', '4']","['1', '1', '2', '2', '6', '4']",[],[],[],-
22.06.2022,Jovanovic P.,0,,,,,,"['2', '1']","['1', '0', '2', '1']",[],[],[],-
26.06.2021,Jovanovic P.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['3', '2', '5', '2']",[],[],[],-
26.06.2021,Sargsyan N.,0,,,,,,[],[],[],[],[],-
24.06.2021,Jovanovic P.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['2', '0', '5', '1']",[],[],[],-
24.06.2021,Hashimov E.,0,,,,,,[],[],[],[],[],-
22.06.2021,Jovanovic P.,2,,,,,,"['4', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],-
22.06.2021,Mjeshtri E.,0,,,,,,[],[],[],[],[],-
