Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ITF MEN - SINGLES M15 Santiago 4 (Chile),clay,header
31.07.,Justo G. I.,0,,,,,,[],[],[],[],[],0
31.07.,Cavallo F.,1,,,,,,[],[],[],[],[],0
30.07.,Justo G. I.,2,,,,,,[],[],[],[],[],0
30.07.,Leguizamon B.,0,,,,,,[],[],[],[],[],0
ITF MEN - SINGLES M15 Santiago 3 (Chile),clay,header
27.07.,Justo G. I.,2,,,,,,[],[],[],[],[],0
27.07.,Ratti L.,0,,,,,,[],[],[],[],[],0
26.07.,Justo G. I.,2,,,,,,[],[],[],[],[],0
26.07.,Nunez D. A.,0,,,,,,[],[],[],[],[],0
25.07.,Justo G. I.,2,,,,,,[],[],[],[],[],0
25.07.,Cavallo F.,0,,,,,,[],[],[],[],[],0
24.07.,Justo G. I.,2,,,,,,[],[],[],[],[],0
24.07.,Villalon N.,0,,,,,,[],[],[],[],[],0
23.07.,Justo G. I.,2,,,,,,[],[],[],[],[],0
23.07.,Aguilar Cardozo F.,0,,,,,,[],[],[],[],[],0
ITF MEN - SINGLES M15 Salta (Argentina),clay,header
ITF MEN - SINGLES M15 San Salvador de Jujuy (Argentina),clay,header
CHALLENGER MEN - SINGLES Lima (Peru),clay,header
25.06.,Justo G. I.,0,,,,,,0,2,72%,42% (14/33),31% (4/13),14% (1/7),37% (17/46),50% (5/10),40% (2/5),39% (18/46),39% (22/56),39% (40/102),2,0,25% (2/8),25% (2/8),25% (4/16),[],[],[],[],[],0
25.06.,Bueno G.,2,,,,,,0,1,82%,63% (29/46),50% (5/10),60% (3/5),58% (19/33),69% (9/13),86% (6/7),61% (34/56),61% (28/46),61% (62/102),8,0,75% (6/8),75% (6/8),75% (12/16),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Santa Cruz (Bolivia),clay,header
18.06.,Justo G. I.,1,,,,,,3,8,59%,68% (44/65),42% (19/45),62% (8/13),35% (25/72),52% (26/50),36% (4/11),57% (63/110),42% (51/122),49% (114/232),4,2,69% (11/16),24% (4/17),45% (15/33),[],[],[],[],[],0
18.06.,Gerch L.,2,,,,,,3,6,59%,65% (47/72),48% (24/50),64% (7/11),32% (21/65),58% (26/45),38% (5/13),58% (71/122),43% (47/110),51% (118/232),6,0,76% (13/17),31% (5/16),55% (18/33),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Porto Alegre (Brazil),clay,header
02.05.,Justo G. I.,1,,,,,,0,7,72%,72% (50/69),33% (9/27),43% (3/7),26% (17/66),51% (23/45),22% (2/9),61% (59/96),36% (40/111),48% (99/207),3,0,73% (11/15),13% (2/16),42% (13/31),[],[],[],[],[],0
02.05.,Rodriguez Taverna S.,2,,,,,,5,5,59%,74% (49/66),49% (22/45),78% (7/9),28% (19/69),67% (18/27),57% (4/7),64% (71/111),39% (37/96),52% (108/207),7,0,88% (14/16),27% (4/15),58% (18/31),[],[],[],[],[],0
01.05.,Justo G. I.,2,,,,,,1,2,65%,77% (23/30),38% (6/16),60% (3/5),60% (24/40),56% (9/16),46% (6/13),63% (29/46),59% (33/56),61% (62/102),6,0,75% (6/8),75% (6/8),75% (12/16),[],[],[],[],[],0
01.05.,Casanova H.,0,,,,,,0,1,71%,40% (16/40),44% (7/16),54% (7/13),23% (7/30),63% (10/16),40% (2/5),41% (23/56),37% (17/46),39% (40/102),4,1,25% (2/8),25% (2/8),25% (4/16),[],[],[],[],[],0
28.04.,Justo G. I.,2,,,,,,0,4,64%,61% (30/49),44% (12/27),58% (7/12),43% (23/53),60% (21/35),67% (6/9),55% (42/76),50% (44/88),52% (86/164),7,0,58% (7/12),50% (6/12),54% (13/24),[],[],[],[],[],0
28.04.,Villanueva G.,0,,,,,,1,6,60%,57% (30/53),40% (14/35),33% (3/9),39% (19/49),56% (15/27),42% (5/12),50% (44/88),45% (34/76),48% (78/164),3,0,50% (6/12),42% (5/12),46% (11/24),[],[],[],[],[],0
CHALLENGER MEN - SINGLES San Miguel de Tucuman (Argentina),clay,header
24.04.,Justo G. I.,0,,,,,,1,0,79%,64% (28/44),67% (8/12),25% (1/4),14% (4/28),38% (8/21),0% (0/0),64% (36/56),24% (12/49),46% (48/105),2,0,70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],0
24.04.,Rodriguez Taverna S.,2,,,,,,4,2,57%,86% (24/28),62% (13/21),0% (0/0),36% (16/44),33% (4/12),75% (3/4),76% (37/49),36% (20/56),54% (57/105),8,0,100% (9/9),30% (3/10),63% (12/19),[],[],[],[],[],0
23.04.,Justo G. I.,2,,,,,,0,3,62%,61% (28/46),61% (17/28),50% (2/4),43% (23/53),61% (20/33),40% (4/10),61% (45/74),50% (43/86),55% (88/160),8,0,80% (8/10),36% (4/11),57% (12/21),[],[],[],[],[],0
23.04.,Barreiros Reyes M.,0,,,,,,2,3,62%,57% (30/53),39% (13/33),60% (6/10),39% (18/46),39% (11/28),50% (2/4),50% (43/86),39% (29/74),45% (72/160),2,0,64% (7/11),20% (2/10),43% (9/21),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Campinas (Brazil),clay,header
01.04.,Justo G. I.,0,,,,,,0,3,50%,53% (17/32),34% (11/32),50% (6/12),38% (14/37),44% (8/18),100% (2/2),44% (28/64),40% (22/55),42% (50/119),4,4,40% (4/10),22% (2/9),32% (6/19),[],[],[],[],[],0
01.04.,Kestelboim M.,2,,,,,,1,1,67%,62% (23/37),56% (10/18),0% (0/2),47% (15/32),66% (21/32),50% (6/12),60% (33/55),56% (36/64),58% (69/119),6,0,78% (7/9),60% (6/10),68% (13/19),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Concepcion (Chile),clay,header
28.03.,Justo G. I.,1,,,,,,3,1,62%,59% (26/44),52% (14/27),38% (3/8),43% (21/49),33% (7/21),67% (4/6),56% (40/71),40% (28/70),48% (68/141),3,0,58% (7/12),33% (4/12),46% (11/24),[],[],[],[],[],0
28.03.,Kicker N.,2,,,,,,0,0,70%,57% (28/49),67% (14/21),33% (2/6),41% (18/44),48% (13/27),63% (5/8),60% (42/70),44% (31/71),52% (73/141),7,0,67% (8/12),42% (5/12),54% (13/24),[],[],[],[],[],0
26.03.,Justo G. I.,2,,,,,,0,1,72%,69% (36/52),50% (10/20),50% (1/2),33% (14/43),60% (18/30),60% (3/5),64% (46/72),44% (32/73),54% (78/145),5,0,91% (10/11),27% (3/11),59% (13/22),[],[],[],[],[],0
26.03.,Olivo R.,0,,,,,,1,2,59%,67% (29/43),40% (12/30),40% (2/5),31% (16/52),50% (10/20),50% (1/2),56% (41/73),36% (26/72),46% (67/145),5,0,73% (8/11),9% (1/11),41% (9/22),[],[],[],[],[],0
25.03.,Justo G. I.,2,,,,,,1,0,70%,82% (23/28),75% (9/12),0% (0/0),48% (19/40),50% (8/16),57% (4/7),80% (32/40),48% (27/56),61% (59/96),8,0,100% (8/8),50% (4/8),75% (12/16),[],[],[],[],[],0
25.03.,Mochizuki Y.,0,,,,,,0,0,71%,53% (21/40),50% (8/16),43% (3/7),25% (7/28),25% (3/12),0% (0/0),52% (29/56),20% (8/40),39% (37/96),2,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Asuncion (Paraguay),clay,header
