Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,711/387,144/96,361/187,105/54,87/35,14/15
2024,10/15,6/4,4/7,0/1,0/3,-
2022,13/11,7/3,2/4,-,4/2,0/2
2021,29/15,4/4,14/8,0/1,11/2,-
2020,8/7,0/2,7/4,-,-,1/1
2019,33/19,2/2,23/14,1/0,7/3,-
2018,50/19,8/3,31/10,1/2,10/2,0/2
2017,29/24,2/4,21/14,0/3,5/2,1/1
2016,63/18,8/4,40/10,4/1,8/2,3/1
2015,55/23,17/3,28/15,1/3,7/1,2/1
2014,48/24,6/5,29/14,1/1,8/2,4/2
2013,45/23,8/3,28/15,6/2,2/2,1/1
2012,60/22,12/4,24/11,10/3,12/3,2/1
2011,33/25,7/8,24/12,2/4,0/1,-
2010,32/23,13/10,10/7,5/3,4/3,-
2009,30/24,9/9,17/8,3/6,1/1,-
2008,34/27,2/7,14/11,14/5,4/3,0/1
2007,49/30,9/6,29/13,7/6,4/3,0/2
2006,35/10,3/2,5/3,27/5,-,-
2005,20/14,8/5,9/6,3/3,-,-
2004,23/8,6/4,-,17/4,-,-
2003,12/6,7/4,2/1,3/1,-,-
