Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Villa Maria (Argentina),clay,header
10.10. 00:10,Kicker N.,0,1,1,,,,0,2,50%,61% (14/23),22% (5/23),50% (5/10),24% (5/21),29% (6/21),0% (0/3),4,41% (19/46),26% (11/42),34% (30/88),1,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],3.26
10.10. 00:10,Heide G.,2,6,6,,,,5,2,50%,76% (16/21),71% (15/21),100% (3/3),39% (9/23),78% (18/23),50% (5/10),6,74% (31/42),59% (27/46),66% (58/88),7,100% (7/7),71% (5/7),86% (12/14),"['2', '1', '4', '1', '6', '1']","['3', '1', '5', '1']",[],[],[],1.31
CHALLENGER MEN - SINGLES :  Villa Maria (Argentina) - Qualification,clay,header
08.10. 21:35,Kicker N.,2,7,7,,,,2,1,62%,66% (35/53),44% (14/32),69% (9/13),44% (21/48),56% (15/27),50% (6/12),8,58% (49/85),48% (36/75),53% (85/160),2,67% (8/12),50% (6/12),58% (14/24),"['2', '1', '5', '4', '6', '5']","['2', '3', '5', '4', '6', '5']",[],[],[],1.25
08.10. 21:35,Justo G. I.,0,5,5,,,,0,6,64%,56% (27/48),44% (12/27),50% (6/12),34% (18/53),56% (18/32),31% (4/13),6,52% (39/75),42% (36/85),47% (75/160),2,50% (6/12),33% (4/12),42% (10/24),"['2', '2', '5', '5']","['3', '1', '5', '5']",[],[],[],3.70
06.10. 21:40,Kicker N.,2,7,2,7^8,,,0,1,68%,58% (49/85),58% (23/40),64% (9/14),42% (36/85),26% (6/23),36% (4/11),6,58% (72/125),39% (42/108),49% (114/233),4,69% (11/16),25% (4/16),47% (15/32),"['5', '5', '7', '5']",[],"['4', '2', '6', '6']",[],[],1.61
06.10. 21:40,Roncadelli F.,1,5,6,6^6,,,1,0,79%,58% (49/85),74% (17/23),64% (7/11),42% (36/85),43% (17/40),36% (5/14),8,61% (66/108),42% (53/125),51% (119/233),3,75% (12/16),31% (5/16),53% (17/32),"['1', '0']","['1', '0', '4', '1']","['3', '4', '6', '5']",[],[],2.23
CHALLENGER MEN - SINGLES :  Buenos Aires 3 (Argentina),clay,header
01.10. 21:20,Kicker N.,1,2,7^7,6^3,,,0,0,57%,54% (34/63),49% (23/47),50% (7/14),33% (24/73),60% (29/48),63% (5/8),7,52% (57/110),44% (53/121),48% (110/231),5,56% (9/16),31% (5/16),44% (14/32),"['2', '5']","['4', '3']","['1', '3', '3', '5', '5', '5']",[],[],2.77
01.10. 21:20,Popko D.,2,6,6^4,7^7,,,4,4,60%,67% (49/73),40% (19/48),38% (3/8),46% (29/63),51% (24/47),50% (7/14),8,56% (68/121),48% (53/110),52% (121/231),3,69% (11/16),44% (7/16),56% (18/32),"['2', '0', '5', '1', '6', '2']","['5', '5']","['1', '0', '3', '0', '4', '1']",[],[],1.41
CHALLENGER MEN - SINGLES :  Buenos Aires 3 (Argentina) - Qualification,clay,header
