Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,314/200,79/45,210/119,4/7,16/22,5/7
2024,28/19,11/6,14/12,-,3/1,-
2023,40/26,8/5,31/18,-,0/2,1/1
2022,23/19,2/3,18/11,-,1/2,2/3
2021,33/21,18/7,15/11,-,0/3,-
2020,7/0,-,7/0,-,-,-
2019,20/6,1/0,19/6,-,-,-
2018,30/17,1/2,25/11,0/1,4/3,-
2017,8/8,0/2,4/2,-,4/4,-
2016,0/1,-,0/1,-,-,-
2015,36/22,14/3,15/10,4/4,1/3,2/2
2014,44/25,13/5,30/16,0/2,1/1,0/1
2013,13/10,0/1,13/9,-,-,-
2012,26/18,10/9,15/8,-,1/1,-
2011,2/4,1/2,-,-,1/2,-
2010,4/4,-,4/4,-,-,-
