Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,217/199,149/130,38/34,30/35,-,-
2024,9/14,8/10,0/1,1/3,-,-
2023,32/23,22/13,6/5,4/5,-,-
2022,23/19,10/11,10/5,3/3,-,-
2021,2/2,2/2,-,-,-,-
2019,3/3,1/2,2/1,-,-,-
2018,3/6,3/3,-,0/3,-,-
2017,25/16,20/10,0/2,5/4,-,-
2016,12/11,12/10,0/1,-,-,-
2015,12/17,8/14,2/2,2/1,-,-
2014,16/13,8/9,3/1,5/3,-,-
2013,11/16,4/6,6/8,1/2,-,-
2012,16/18,11/9,1/1,4/8,-,-
2011,21/16,17/13,2/2,2/1,-,-
2010,26/16,17/10,6/5,3/1,-,-
2009,6/8,6/7,-,0/1,-,-
2008,0/1,0/1,-,-,-,-
