Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ATP - SINGLES :  US Open (USA),hard,header
28.08.2024,Krueger M.,2,7^7,6,4,4,5,9,4,58%,74% (72/97),52% (37/71),75% (12/16),21% (19/89),50% (38/76),29% (4/14),44,53,69% (29/42),7,65% (109/168),35% (57/165),50% (166/333),11,84% (21/25),16% (4/25),50% (25/50),3917,[],"['2', '0', '4', '0', '6', '0']","['2', '0']",[],[],4.34
28.08.2024,Lehecka J.,3,6^5,0,6,6,7,29,13,54%,79% (70/89),50% (38/76),71% (10/14),26% (25/97),48% (34/71),25% (4/16),67,58,71% (17/24),7,65% (108/165),35% (59/168),50% (167/333),3,84% (21/25),16% (4/25),50% (25/50),4711,[],[],"['2', '3', '5', '4']","['3', '2']","['6', '5']",1.23
26.08.2024,Krueger M.,3,4,6,6,7,,10,5,53%,71% (51/72),59% (38/64),57% (4/7),30% (24/81),60% (36/60),50% (5/10),59,50,79% (42/53),6,65% (89/136),43% (60/141),54% (149/277),3,86% (18/21),25% (5/20),56% (23/41),[],"['2', '0', '3', '1']","['2', '1', '5', '4']","['6', '5']",[],1.74
26.08.2024,Grenier H.,1,6,3,4,5,,19,10,57%,70% (57/81),40% (24/60),50% (5/10),29% (21/72),41% (26/64),43% (3/7),44,46,61% (11/18),6,57% (81/141),35% (47/136),46% (128/277),2,75% (15/20),14% (3/21),44% (18/41),"['1', '0']","['1', '2']","['4', '4']",[],[],2.12
ATP - SINGLES :  US Open (USA) - Qualification,hard,header
22.08.2024,Krueger M.,2,6,6,,,,4,0,59%,89% (24/27),68% (13/19),100% (2/2),29% (7/24),59% (17/29),75% (3/4),11,16,100% (2/2),12,80% (37/46),45% (24/53),62% (61/99),5,100% (9/9),33% (3/9),67% (12/18),"['3', '2']","['3', '2', '5', '2']",[],[],[],1.88
22.08.2024,Marterer M.,0,4,2,,,,3,7,45%,71% (17/24),41% (12/29),25% (1/4),11% (3/27),32% (6/19),0% (0/2),13,29,100% (4/4),4,55% (29/53),20% (9/46),38% (38/99),1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],1.88
22.08.2024,Krueger M.,2,3,7,6,,,3,5,63%,70% (35/50),50% (15/30),33% (2/6),40% (19/48),53% (16/30),75% (6/8),26,27,61% (28/46),8,63% (50/80),45% (35/78),54% (85/158),6,71% (10/14),43% (6/14),57% (16/28),"['2', '3']","['3', '1', '7', '5']","['1', '1', '3', '1', '5', '1']",[],[],1.50
22.08.2024,Shelbayh A.,1,6,5,1,,,1,1,62%,60% (29/48),47% (14/30),25% (2/8),30% (15/50),50% (15/30),67% (4/6),26,26,68% (13/19),8,55% (43/78),38% (30/80),46% (73/158),3,57% (8/14),29% (4/14),43% (12/28),"['2', '0', '4', '2']","['2', '3']","['1', '0']",[],[],2.55
20.08.2024,Krueger M.,2,6,6,,,,0,2,50%,62% (18/29),72% (21/29),50% (1/2),36% (9/25),50% (14/28),50% (4/8),11,21,53% (9/17),7,67% (39/58),43% (23/53),56% (62/111),4,89% (8/9),44% (4/9),67% (12/18),"['2', '1', '4', '1', '6', '3']","['5', '3']",[],[],[],1.57
20.08.2024,Kopriva V.,0,3,3,,,,2,2,47%,64% (16/25),50% (14/28),50% (4/8),38% (11/29),28% (8/29),50% (1/2),15,26,71% (5/7),5,57% (30/53),33% (19/58),44% (49/111),2,56% (5/9),11% (1/9),33% (6/18),"['2', '4']",[],[],[],[],2.42
CHALLENGER MEN - SINGLES :  Lincoln (USA),hard,header
06.08.2024,Krueger M.,0,3,4,,,,3,5,54%,61% (17/28),63% (15/24),60% (3/5),19% (8/43),56% (14/25),0% (0/4),4,62% (32/52),32% (22/68),45% (54/120),1,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],1.90
06.08.2024,Mayot H.,2,6,6,,,,8,2,63%,81% (35/43),44% (11/25),100% (4/4),39% (11/28),38% (9/24),40% (2/5),6,68% (46/68),38% (20/52),55% (66/120),3,100% (10/10),22% (2/9),63% (12/19),"['4', '2']","['4', '3']",[],[],[],1.84
ATP - SINGLES :  Washington (USA),hard,header
31.07.2024,Krueger M.,1,6,6^3,4,,,16,6,62%,72% (47/65),43% (17/40),75% (9/12),25% (12/48),42% (16/38),57% (4/7),33,31,118% (13/11),6,61% (64/105),33% (28/86),48% (92/191),4,80% (12/15),25% (4/16),52% (16/31),"['2', '1', '6', '3']","['2', '0']","['1', '0']",[],[],3.00
31.07.2024,Davidovich Fokina A.,2,3,7^7,6,,,15,8,56%,75% (36/48),58% (22/38),43% (3/7),28% (18/65),58% (23/40),25% (3/12),33,23,69% (11/16),6,67% (58/86),39% (41/105),52% (99/191),3,75% (12/16),20% (3/15),48% (15/31),[],"['1', '2']","['3', '3', '6', '4']",[],[],1.40
30.07.2024,Krueger M.,1,7^7,4,,,,4,3,61%,82% (23/28),50% (9/18),0% (0/1),47% (23/49),54% (14/26),27% (3/11),14,15,79% (11/14),6,70% (32/46),49% (37/75),57% (69/121),3,88% (7/8),33% (3/9),59% (10/17),"['3', '1']","['1', '0', '4', '1']",[],[],[],1.68
30.07.2024,Nardi L.,0,6^3,1,,,,0,3,65%,53% (26/49),46% (12/26),73% (8/11),18% (5/28),50% (9/18),100% (1/1),17,17,57% (8/14),5,51% (38/75),30% (14/46),43% (52/121),3,67% (6/9),13% (1/8),41% (7/17),"['4', '5']",[],[],[],[],2.22
ATP - SINGLES :  Washington (USA) - Qualification,hard,header
28.07.2024,Krueger M.,2,6,6,,,,7,3,57%,89% (24/27),50% (10/20),100% (1/1),40% (17/42),67% (14/21),50% (4/8),24,12,79% (11/14),6,72% (34/47),49% (31/63),59% (65/110),5,100% (8/8),50% (4/8),75% (12/16),"['1', '0', '3', '0']","['3', '2', '5', '2']",[],[],[],2.59
28.07.2024,Svajda Z.,0,2,2,,,,7,2,67%,60% (25/42),33% (7/21),50% (4/8),11% (3/27),50% (10/20),0% (0/1),13,16,60% (3/5),4,51% (32/63),28% (13/47),41% (45/110),1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],1.47
27.07.2024,Krueger M.,2,6,6,,,,3,0,65%,77% (23/30),81% (13/16),0% (0/0),21% (5/24),57% (20/35),50% (3/6),6,78% (36/46),42% (25/59),58% (61/105),4,100% (9/9),33% (3/9),67% (12/18),"['1', '0', '3', '0']","['4', '3']",[],[],[],1.62
27.07.2024,Yevseyev D.,0,2,4,,,,3,2,41%,79% (19/24),43% (15/35),50% (3/6),23% (7/30),19% (3/16),0% (0/0),4,58% (34/59),22% (10/46),42% (44/105),1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],2.23
CHALLENGER MEN - SINGLES :  Chicago (USA),hard,header
26.07.2024,Krueger M.,0,3,2,,,,0,3,56%,63% (15/24),58% (11/19),50% (3/6),20% (6/30),33% (6/18),0% (0/0),5,60% (26/43),25% (12/48),42% (38/91),1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],2.47
26.07.2024,Diallo G.,2,6,6,,,,8,1,63%,80% (24/30),67% (12/18),0% (0/0),38% (9/24),42% (8/19),50% (3/6),8,75% (36/48),40% (17/43),58% (53/91),5,100% (9/9),38% (3/8),71% (12/17),"['4', '2']","['1', '0', '3', '0']",[],[],[],1.50
25.07.2024,Krueger M.,2,6,6,,,,7,2,72%,83% (30/36),36% (5/14),67% (2/3),32% (8/25),56% (19/34),40% (4/10),6,70% (35/50),46% (27/59),57% (62/109),5,89% (8/9),44% (4/9),67% (12/18),"['2', '1', '5', '4']","['3', '2', '5', '2']",[],[],[],1.69
25.07.2024,Sekulic P.,0,4,2,,,,6,6,42%,68% (17/25),44% (15/34),60% (6/10),17% (6/36),64% (9/14),33% (1/3),5,54% (32/59),30% (15/50),43% (47/109),2,56% (5/9),11% (1/9),33% (6/18),"['4', '4']",[],[],[],[],2.12
23.07.2024,Krueger M.,2,6,6,,,,1,2,58%,68% (23/34),52% (13/25),50% (2/4),40% (19/48),57% (16/28),40% (4/10),6,61% (36/59),46% (35/76),53% (71/135),5,80% (8/10),40% (4/10),60% (12/20),"['2', '1', '3', '2']","['1', '0', '3', '0']",[],[],[],1.40
23.07.2024,Gea A.,0,4,4,,,,2,2,63%,60% (29/48),43% (12/28),60% (6/10),32% (11/34),48% (12/25),50% (2/4),7,54% (41/76),39% (23/59),47% (64/135),3,60% (6/10),20% (2/10),40% (8/20),"['2', '2']","['3', '5']",[],[],[],2.84
ATP - SINGLES :  Newport (USA) - Qualification,grass,header
15.07.2024,Krueger M.,0,3,6^6,,,,3,0,62%,71% (24/34),76% (16/21),0% (0/1),17% (8/47),41% (9/22),0% (0/2),13,5,57% (4/7),5,73% (40/55),25% (17/69),46% (57/124),1,90% (9/10),0% (0/11),43% (9/21),[],[],[],[],[],2.76
15.07.2024,Bolt A.,2,6,7^8,,,,8,2,68%,83% (39/47),59% (13/22),100% (2/2),29% (10/34),24% (5/21),100% (1/1),28,15,67% (18/27),5,75% (52/69),27% (15/55),54% (67/124),3,100% (11/11),10% (1/10),57% (12/21),"['4', '2']",[],[],[],[],1.42
15.07.2024,Krueger M.,2,6,7^7,,,,4,4,60%,73% (36/49),48% (16/33),78% (7/9),36% (14/39),50% (13/26),60% (3/5),32,11,73% (29/40),6,63% (52/82),42% (27/65),54% (79/147),5,82% (9/11),30% (3/10),57% (12/21),"['2', '0', '4', '0']","['3', '4']",[],[],[],1.65
15.07.2024,Kwiatkowski T. S.,0,3,6^4,,,,12,5,60%,64% (25/39),50% (13/26),40% (2/5),27% (13/49),52% (17/33),22% (2/9),26,15,41% (11/27),4,58% (38/65),37% (30/82),46% (68/147),3,70% (7/10),18% (2/11),43% (9/21),"['2', '5']","['3', '1']",[],[],[],2.25
CHALLENGER MEN - SINGLES :  Bloomfield Hills (USA),hard,header
03.07.2024,Krueger M.,1,3,6,3,,,4,2,61%,69% (36/52),48% (16/33),50% (3/6),25% (14/57),47% (14/30),22% (2/9),6,61% (52/85),32% (28/87),47% (80/172),3,77% (10/13),14% (2/14),44% (12/27),"['2', '5']","['4', '2']",[],[],[],1.60
03.07.2024,Escobedo E.,2,6,3,6,,,7,2,66%,75% (43/57),53% (16/30),78% (7/9),31% (16/52),52% (17/33),50% (3/6),8,68% (59/87),39% (33/85),53% (92/172),3,86% (12/14),23% (3/13),56% (15/27),"['2', '0', '5', '1']",[],"['3', '1']",[],[],2.13
ITF MEN - SINGLES :  M25 Tulsa,hard,header
21.06.2024,Krueger M.,1,6,6^2,6^5,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['4', '2', '6', '2']","['4', '4']",[],[],[],1.06
21.06.2024,Kotzen N. I.,2,2,7^7,7^7,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['4', '3']",[],[],[],7.60
20.06.2024,Krueger M.,2,4,6,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['2', '0', '4', '0']","['5', '4']",[],[],1.12
20.06.2024,McCormick T.,1,6,1,4,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '1']",[],[],[],[],5.57
20.06.2024,Krueger M.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['4', '3']","['2', '1']",[],[],[],1.30
20.06.2024,Cassone M.,0,4,4,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],3.34
CHALLENGER MEN - SINGLES :  Tyler (USA),hard,header
07.06.2024,Krueger M.,1,6,6^4,6^4,,,9,4,58%,68% (47/69),53% (26/49),57% (4/7),34% (21/61),47% (21/45),50% (5/10),8,62% (73/118),40% (42/106),51% (115/224),5,81% (13/16),33% (5/15),58% (18/31),"['2', '0', '4', '0']",[],"['2', '0', '3', '1', '6', '6']",[],[],1.74
