Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
12.08.,Wright A.,2,,,,,,"['1', '1']","['2', '1', '5', '2']","['4', '3', '6', '3']",[],[],1.77
12.08.,Little D.,1,,,,,,"['1', '0', '4', '3', '6', '3']","['3', '5']",[],[],[],21.0
06.08.,Godsick N.,2,,,,,,"['2', '0', '6', '4']","['6', '4']",[],[],[],-
06.08.,Little D.,0,,,,,,"['1', '2']",[],[],[],[],-
07.05.,Brady P.,2,,,,,,"['2', '0', '4', '2']","['2', '3', '4', '3', '6', '3']",[],[],[],1.35
07.05.,Little D.,0,,,,,,"['2', '3']","['2', '0']",[],[],[],2.99
08.08.2024,Lumsden E.,2,,,,,,[],"['2', '0', '4', '0']","['2', '1']",[],[],2.09
08.08.2024,Little D.,1,,,,,,"['5', '4']",[],"['4', '4']",[],[],1.69
07.08.2024,Little D.,2,,,,,,"['2', '1', '5', '2']","['5', '4']",[],[],[],1.45
07.08.2024,Saraiva Dos Santos P. A.,0,,,,,,[],[],[],[],[],2.62
17.07.2024,Weir P.,2,,,,,,"['5', '5', '7', '5']",[],"['3', '4']",[],[],2.72
17.07.2024,Little D.,1,,,,,,"['2', '1']",[],"['4', '2']",[],[],1.42
10.07.2024,Coquelin H.,2,,,,,,"['7', '5']","['2', '0', '4', '0', '6', '0']",[],[],[],2.79
10.07.2024,Little D.,0,,,,,,[],[],[],[],[],1.40
09.07.2024,Little D.,2,,,,,,"['5', '4']","['1', '0', '5', '2']",[],[],[],1.30
09.07.2024,Habib A.,0,,,,,,[],[],[],[],[],3.34
02.06.2024,Lajal M.,2,,,,,,6,2,67%,76% (29/38),63% (12/19),100% (4/4),29% (6/21),48% (13/27),43% (3/7),72% (41/57),40% (19/48),57% (60/105),6,0,100% (9/9),38% (3/8),71% (12/17),"['5', '3']","['2', '1', '5', '2']",[],[],[],1.19
