Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
13.08.,Shin S.,2,,,,,,[],"['5', '4']","['1', '0', '4', '1']",[],[],-
13.08.,Lomakin G.,1,,,,,,"['3', '1', '6', '2']",[],[],[],[],-
27.07.,Ichikawa T.,2,,,,,,7,5,43%,76% (28/37),58% (29/50),67% (8/12),32% (30/93),63% (22/35),22% (4/18),66% (57/87),41% (52/128),51% (109/215),8,1,73% (11/15),25% (4/16),48% (15/31),"['2', '1', '4', '3']","['3', '4']","['2', '0']",[],[],1.39
27.07.,Lomakin G.,1,,,,,,18,3,73%,68% (63/93),37% (13/35),78% (14/18),24% (9/37),42% (21/50),33% (4/12),59% (76/128),34% (30/87),49% (106/215),2,0,75% (12/16),27% (4/15),52% (16/31),"['2', '2']","['4', '2', '5', '3']","['4', '5']",[],[],2.85
08.07.,Vandermeersch C.,2,,,,,,"['2', '0', '4', '2']","['3', '1', '6', '2']","['4', '4', '6', '4']",[],[],1.13
08.07.,Lomakin G.,1,,,,,,"['1', '2', '4', '5', '6', '5']",[],"['2', '1']",[],[],5.10
03.07.,Elsayed A.,2,,,,,,"['2', '0']","['3', '4', '5', '4']",[],[],[],1.44
03.07.,Lomakin G.,0,,,,,,[],"['2', '0']",[],[],[],2.62
01.07.,Lomakin G.,2,,,,,,"['4', '2', '5', '3']","['4', '5']","['1', '2', '3', '2']",[],[],5.40
01.07.,Lumsden E.,1,,,,,,"['3', '4', '4', '5']","['4', '2', '6', '4']","['2', '0']",[],[],1.12
26.06.,Ryan Ziegann S.,2,,,,,,"['2', '2', '4', '2']","['4', '3']",[],[],[],2.22
26.06.,Lomakin G.,0,,,,,,"['2', '1']",[],[],[],[],1.60
24.06.,Lomakin G.,2,,,,,,"['3', '1', '6', '4']","['2', '0']","['1', '0', '3', '0', '5', '0']",[],[],1.51
24.06.,De Alba R.,1,,,,,,"['3', '4']","['2', '3', '4', '3', '6', '3']","['1', '5']",[],[],2.42
18.06.,Shin W.,2,,,,,,[],"['2', '0', '4', '0']","['1', '0', '3', '0']",[],[],1.17
18.06.,Lomakin G.,1,,,,,,"['2', '0']","['2', '5']",[],[],[],4.38
12.06.,Huang T.,2,,,,,,"['1', '0', '3', '2', '6', '3']","['6', '4']",[],[],[],1.22
12.06.,Lomakin G.,0,,,,,,"['2', '2']",[],[],[],[],3.91
11.06.,Lomakin G.,2,,,,,,"['2', '3']","['3', '2']","['2', '0', '4', '2']",[],[],1.81
11.06.,Muto S.,1,,,,,,"['3', '1', '7', '5']","['4', '4']","['2', '3']",[],[],1.89
04.06.,Chappell N.,2,,,,,,"['1', '2', '3', '2', '6', '3']","['4', '2']",[],[],[],1.41
04.06.,Lomakin G.,0,,,,,,"['2', '0']",[],[],[],[],2.73
29.05.,Tyagi K.,2,,,,,,"['4', '5']","['2', '0', '4', '0']",[],[],[],1.61
29.05.,Lomakin G.,0,,,,,,"['5', '3']",[],[],[],[],2.20
28.05.,Lomakin G.,2,,,,,,"['1', '0', '3', '4', '5', '4']","['1', '0', '3', '2', '6', '3']",[],[],[],1.32
28.05.,Aleshchev A.,0,,,,,,"['2', '2', '4', '2']","['1', '1']",[],[],[],3.14
22.05.,Lorusso L.,2,,,,,,"['4', '2', '5', '3']","['1', '0', '5', '2']",[],[],[],2.18
22.05.,Lomakin G.,0,,,,,,"['3', '4']",[],[],[],[],1.62
