Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF MEN - SINGLES :  M25 Sabadell 2 (Spain),clay,header
28.09. 15:10,Mager G.,0,6^6,,,,,"['2', '1']",[],[],[],[],1.68
28.09. 15:10,Giustino L.,1,7^8,,,,,"['3', '3']",[],[],[],[],2.06
27.09. 19:10,Mager G.,2,2,7^7,7^9,,,[],"['3', '1']","['1', '0', '3', '2']",[],[],1.73
27.09. 19:10,Merida Aguilar D.,1,6,6^4,6^7,,,"['2', '1', '5', '2']","['3', '4']","['1', '1', '4', '4']",[],[],1.99
26.09. 21:10,Mager G.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['3', '1', '5', '1']","['5', '4']",[],[],[],1.17
26.09. 21:10,Winter Lopez B.,0,1,4,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],4.58
25.09. 21:00,Mager G.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '2', '4', '2', '6', '2']","['4', '2', '6', '2']",[],[],[],1.25
25.09. 21:00,Diez S.,0,2,2,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '1']",[],[],[],[],3.62
CHALLENGER MEN - SINGLES :  Szczecin (Poland),clay,header
12.09. 17:35,Mager G.,1,2,6,6^1,,,3,2,57%,65% (36/55),50% (21/42),40% (2/5),19% (10/54),50% (13/26),50% (2/4),7,59% (57/97),29% (23/80),45% (80/177),3,80% (12/15),14% (2/14),48% (14/29),"['2', '4']","['3', '1']",[],[],[],2.02
12.09. 17:35,Pellegrino A.,2,6,3,7^7,,,2,2,68%,81% (44/54),50% (13/26),50% (2/4),35% (19/55),50% (21/42),60% (3/5),6,71% (57/80),41% (40/97),55% (97/177),4,86% (12/14),20% (3/15),52% (15/29),"['1', '0', '3', '0', '5', '2']",[],[],[],[],1.74
11.09. 20:35,Mager G.,2,6,3,6,,,1,3,58%,69% (31/45),52% (17/33),57% (4/7),42% (27/64),55% (16/29),29% (5/17),8,62% (48/78),46% (43/93),53% (91/171),5,77% (10/13),42% (5/12),60% (15/25),"['2', '0']","['2', '1', '3', '4']","['3', '1', '5', '1']",[],[],2.18
11.09. 20:35,Rehberg M. H.,1,3,6,1,,,0,6,69%,58% (37/64),45% (13/29),71% (12/17),31% (14/45),48% (16/33),43% (3/7),8,54% (50/93),38% (30/78),47% (80/171),3,58% (7/12),23% (3/13),40% (10/25),[],"['2', '2', '4', '2', '5', '3']",[],[],[],1.65
CHALLENGER MEN - SINGLES :  Genova (Italy),clay,header
CHALLENGER MEN - SINGLES :  Genova (Italy),clay,header
03.09. 13:40,Mager G.,0,5,6^4,,,,7,0,53%,84% (36/43),50% (19/38),80% (8/10),28% (14/50),33% (9/27),33% (1/3),5,68% (55/81),30% (23/77),49% (78/158),2,83% (10/12),8% (1/12),46% (11/24),"['2', '0']",[],[],[],[],1.89
03.09. 13:40,Klizan M.,2,7,7^7,,,,7,2,65%,72% (36/50),67% (18/27),67% (2/3),16% (7/43),50% (19/38),20% (2/10),6,70% (54/77),32% (26/81),51% (80/158),3,92% (11/12),17% (2/12),54% (13/24),"['1', '2', '6', '5']",[],[],[],[],1.85
CHALLENGER MEN - SINGLES :  Porto 2 (Portugal),clay,header
28.08. 22:25,Mager G.,0,0,,,,,0,0,40%,50% (1/2),0% (0/3),50% (1/2),0% (0/4),0% (0/0),0% (0/0),1,20% (1/5),0% (0/4),11% (1/9),0,0% (0/1),0% (0/1),0% (0/2),[],[],[],[],[],2.33
