Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF MEN - SINGLES :  M15 Castellon (Spain),clay,header
ITF MEN - SINGLES :  M15 Pontevedra (Spain),hard,header
CHALLENGER MEN - SINGLES :  Alicante (Spain) - Qualification,hard,header
ITF MEN - SINGLES :  M15 Pontevedra (Spain),hard,header
CHALLENGER MEN - SINGLES :  Alicante (Spain) - Qualification,hard,header
29.09. 19:00,Manzanera Pertusa A.,0,4,2,,,,3,3,57%,57% (17/30),35% (8/23),17% (1/6),35% (12/34),45% (13/29),40% (2/5),4,47% (25/53),40% (25/63),43% (50/116),2,44% (4/9),22% (2/9),33% (6/18),"['2', '2']","['1', '3']",[],[],[],2.25
29.09. 19:00,Paul J.,2,6,6,,,,1,2,54%,65% (22/34),55% (16/29),60% (3/5),43% (13/30),65% (15/23),83% (5/6),6,60% (38/63),53% (28/53),57% (66/116),4,78% (7/9),56% (5/9),67% (12/18),"['1', '0', '3', '2']","['1', '0', '3', '0', '4', '1']",[],[],[],1.60
ITF MEN - SINGLES :  M15 Melilla (Spain),clay,header
18.09. 18:20,Manzanera Pertusa A.,0,3,0,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '4']",[],[],[],[],1.70
18.09. 18:20,Winter Lopez B.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '4', '1', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],2.07
ITF MEN - SINGLES :  M15 Madrid 2 (Spain),hard,header
ITF MEN - SINGLES :  M15 Madrid 2 (Spain),hard,header
13.09. 13:40,Manzanera Pertusa A.,2,1,7^7,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['2', '0', '5', '5']","['1', '0', '5', '2', '6', '3']",[],[],2.08
