Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,325/254,28/39,214/149,46/37,35/28,2/1
2024,9/18,0/4,4/8,-,5/6,-
2023,35/30,0/6,23/15,2/2,8/6,2/1
2022,28/31,4/6,17/16,4/5,3/4,-
2021,48/26,12/5,21/12,9/6,6/3,-
2020,30/22,2/3,24/15,4/4,-,-
2019,18/16,2/6,12/8,4/2,-,-
2018,35/28,0/2,21/15,7/7,7/4,-
2017,47/29,3/5,33/13,5/7,6/4,-
2016,23/16,-,18/13,5/2,0/1,-
2015,30/14,-,24/12,6/2,-,-
2014,12/10,-,12/10,-,-,-
2013,2/3,-,2/3,-,-,-
2012,4/5,3/1,1/4,-,-,-
2011,0/1,-,0/1,-,-,-
2010,2/3,-,2/3,-,-,-
2009,2/2,2/1,0/1,-,-,-
