Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ITF MEN - SINGLES :  M25 Nakhon Si Thammarat 2 (Thailand),hard,header
06.09. 09:55,Moriya H.,0,3,4,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],2.79
06.09. 09:55,Samrej K.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0']","['5', '4']",[],[],[],1.40
05.09. 07:40,Moriya H.,2,5,6,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0']","['1', '0', '4', '1', '6', '1']","['4', '4', '6', '4']",[],[],1.06
05.09. 07:40,Zhang M.,1,7,1,4,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '1', '7', '5']",[],"['1', '0']",[],[],8.00
03.09. 09:20,Moriya H.,2,6,4,7,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['4', '2', '6', '2']",[],"['7', '5']",[],[],1.36
03.09. 09:20,Trongcharoenchaikul W.,1,2,6,5,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['2', '1']",[],[],[],2.97
ITF MEN - SINGLES :  M25 Nakhon Si Thammarat (Thailand),hard,header
27.08. 07:50,Moriya H.,1,0,6,3,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['5', '4']",[],[],[],1.41
27.08. 07:50,Tanuma R.,2,6,4,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '4', '0', '6', '0']",[],"['4', '2']",[],[],2.75
CHALLENGER MEN - SINGLES :  Jinan (China),hard,header
20.08. 07:55,Moriya H.,0,0,4,,,,2,1,46%,47% (14/30),40% (14/35),45% (5/11),37% (11/30),48% (10/21),67% (2/3),5,43% (28/65),41% (21/51),42% (49/116),3,25% (2/8),25% (2/8),25% (4/16),[],"['1', '0', '3', '0']",[],[],[],2.59
20.08. 07:55,Henning P.,2,6,6,,,,5,0,59%,63% (19/30),52% (11/21),33% (1/3),53% (16/30),60% (21/35),55% (6/11),6,59% (30/51),57% (37/65),58% (67/116),6,75% (6/8),75% (6/8),75% (12/16),"['2', '0', '4', '0', '6', '0']","['1', '3', '4', '4', '6', '4']",[],[],[],1.47
CHALLENGER MEN - SINGLES :  Granby (Canada) - Qualification,hard,header
14.07. 23:05,Moriya H.,0,3,4,,,,0,2,66%,64% (21/33),41% (7/17),40% (2/5),32% (10/31),39% (12/31),20% (1/5),6,56% (28/50),35% (22/62),45% (50/112),2,67% (6/9),10% (1/10),37% (7/19),"['2', '1']",[],[],[],[],1.66
14.07. 23:05,Williams C.,2,6,6,,,,6,1,50%,68% (21/31),61% (19/31),80% (4/5),36% (12/33),59% (10/17),60% (3/5),6,65% (40/62),44% (22/50),55% (62/112),4,90% (9/10),33% (3/9),63% (12/19),"['2', '2', '4', '2']","['5', '4']",[],[],[],2.16
CHALLENGER MEN - SINGLES :  Winnipeg (Canada) - Qualification,hard,header
09.07. 01:00,Moriya H.,0,3,1,,,,0,2,72%,52% (17/33),23% (3/13),29% (2/7),22% (6/27),52% (13/25),20% (1/5),4,43% (20/46),37% (19/52),40% (39/98),1,38% (3/8),13% (1/8),25% (4/16),[],"['1', '3']",[],[],[],3.74
09.07. 01:00,Lajal M.,2,6,6,,,,7,4,52%,78% (21/27),48% (12/25),80% (4/5),48% (16/33),77% (10/13),71% (5/7),4,63% (33/52),57% (26/46),60% (59/98),4,88% (7/8),63% (5/8),75% (12/16),"['2', '0']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],[],1.25
08.07. 21:40,Moriya H.,2,6,3,7,,,1,2,57%,61% (43/71),45% (24/53),63% (12/19),41% (26/63),58% (31/53),35% (7/20),7,54% (67/124),49% (57/116),52% (124/240),5,56% (9/16),47% (7/15),52% (16/31),"['1', '3', '3', '3', '6', '4']","['2', '0']","['2', '3', '3', '4', '6', '5']",[],[],1.17
08.07. 21:40,Pearson K.,1,4,6,5,,,5,11,54%,59% (37/63),42% (22/53),65% (13/20),39% (28/71),55% (29/53),37% (7/19),9,51% (59/116),46% (57/124),48% (116/240),7,53% (8/15),44% (7/16),48% (15/31),"['1', '0', '3', '0']","['2', '3', '4', '3', '6', '3']","['3', '1', '4', '2']",[],[],4.79
