Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
05.06.,Vithoontien L.,2,,,,,,"['1', '0', '3', '0', '6', '3']","['3', '1', '7', '5']",[],[],[],2.37
05.06.,Nakashima B.,0,,,,,,"['2', '4']","['4', '5']",[],[],[],1.53
04.06.,Nakashima B.,2,,,,,,[],"['3', '1', '5', '1']","['1', '0', '3', '0', '5', '4', '6', '5']",[],[],1.12
04.06.,Dayal N.,1,,,,,,"['1', '0', '5', '2']",[],"['2', '4', '4', '4', '5', '5']",[],[],5.35
15.11.2024,Pham D.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '3', '0']",[],[],[],2.32
15.11.2024,Nakashima B.,0,,,,,,[],[],[],[],[],1.55
14.11.2024,Nakashima B.,2,,,,,,"['3', '1', '4', '4']","['2', '1', '4', '3', '6', '5']",[],[],[],5.37
14.11.2024,Papoe R. M.,0,,,,,,"['2', '3', '4', '3']","['2', '2', '5', '5']",[],[],[],1.13
13.11.2024,Nakashima B.,2,,,,,,"['2', '1', '5', '2']","['3', '2']",[],[],[],1.29
13.11.2024,Haviland R.,0,,,,,,[],[],[],[],[],3.32
17.09.2024,Boyer T.,2,,,,,,2,2,64%,74% (29/39),59% (13/22),33% (1/3),46% (16/35),58% (18/31),50% (4/8),69% (42/61),52% (34/66),60% (76/127),7,0,80% (8/10),44% (4/9),63% (12/19),"['3', '1', '5', '1']","['1', '2', '4', '3']",[],[],[],1.09
17.09.2024,Nakashima B.,0,,,,,,3,4,53%,54% (19/35),42% (13/31),50% (4/8),26% (10/39),41% (9/22),67% (2/3),48% (32/66),31% (19/61),40% (51/127),3,1,56% (5/9),20% (2/10),37% (7/19),[],"['2', '0', '5', '5']",[],[],[],6.75
27.06.2024,Kwiatkowski T. S.,2,,,,,,"['4', '3']","['3', '2']",[],[],[],1.09
27.06.2024,Nakashima B.,0,,,,,,[],[],[],[],[],6.36
26.06.2024,Nakashima B.,2,,,,,,[],"['3', '3']","['1', '0']",[],[],1.28
26.06.2024,van Loben Sels E.,1,,,,,,"['6', '5']","['1', '0']",[],[],[],3.43
12.06.2024,Kirchheimer S.,2,,,,,,"['1', '2', '3', '2']","['1', '0', '3', '0', '6', '1']",[],[],[],1.45
12.06.2024,Nakashima B.,0,,,,,,"['2', '0']",[],[],[],[],2.61
05.06.2024,Tien L.,2,,,,,,"['3', '4', '4', '5']","['2', '0', '3', '1']",[],[],[],1.10
05.06.2024,Nakashima B.,0,,,,,,"['4', '2', '5', '3']","['1', '2']",[],[],[],5.39
18.01.2024,Baris O.,2,,,,,,[],"['1', '0', '4', '1']",[],[],[],1.29
18.01.2024,Nakashima B.,0,,,,,,[],[],[],[],[],3.37
17.01.2024,Nakashima B.,2,,,,,,"['2', '0', '6', '2']","['2', '0', '5', '3']",[],[],[],1.38
17.01.2024,Teodorovic P.,0,,,,,,[],"['3', '4', '4', '5']",[],[],[],2.88
