Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  US Open (USA),hard,header
06.09. 04:45,Navarro E.,0,3,6^2,,,,1,1,75%,68% (32/47),25% (4/16),50% (3/6),26% (12/47),55% (12/22),40% (2/5),13,13,50% (3/6),4,57% (36/63),35% (24/69),45% (60/132),3,70% (7/10),18% (2/11),43% (9/21),1992,"['1', '2']","['5', '5']",[],[],[],4.32
06.09. 04:45,Sabalenka A.,2,6,7^7,,,,8,5,68%,74% (35/47),45% (10/22),60% (3/5),32% (15/47),75% (12/16),50% (3/6),34,34,82% (14/17),7,65% (45/69),43% (27/63),55% (72/132),3,82% (9/11),30% (3/10),57% (12/21),2123,"['2', '0', '4', '2']","['3', '2']",[],[],[],1.23
03.09. 21:45,Navarro E.,2,6,7,,,,0,2,71%,71% (29/41),59% (10/17),67% (4/6),37% (13/35),74% (14/19),63% (5/8),12,15,100% (5/5),10,67% (39/58),50% (27/54),59% (66/112),6,80% (8/10),50% (5/10),65% (13/20),2183,"['2', '0', '6', '2']","['3', '5', '5', '5', '7', '5']",[],[],[],2.00
03.09. 21:45,Badosa P.,0,2,5,,,,4,7,65%,63% (22/35),26% (5/19),38% (3/8),29% (12/41),41% (7/17),33% (2/6),10,35,43% (3/7),4,50% (27/54),33% (19/58),41% (46/112),3,50% (5/10),20% (2/10),35% (7/20),1516,[],"['1', '0', '4', '1']",[],[],[],1.83
02.09. 01:50,Navarro E.,2,6,4,6,,,1,2,66%,67% (38/57),66% (19/29),60% (3/5),21% (10/47),60% (33/55),33% (4/12),20,35,75% (9/12),6,66% (57/86),42% (43/102),53% (100/188),3,86% (12/14),29% (4/14),57% (16/28),2258,"['4', '2']","['4', '3']","['2', '1', '6', '3']",[],[],2.71
02.09. 01:50,Gauff C.,1,3,6,3,,,2,19,46%,79% (37/47),40% (22/55),67% (8/12),33% (19/57),34% (10/29),40% (2/5),14,60,80% (16/20),6,58% (59/102),34% (29/86),47% (88/188),4,71% (10/14),14% (2/14),43% (12/28),2071,[],"['4', '4', '6', '4']",[],[],[],1.47
30.08. 23:30,Navarro E.,2,6,4,6,,,0,3,76%,63% (40/64),45% (9/20),33% (2/6),36% (19/53),50% (17/34),45% (5/11),14,16,53% (10/19),6,58% (49/84),41% (36/87),50% (85/171),5,73% (11/15),36% (5/14),55% (16/29),3356,"['2', '0', '4', '4', '6', '4']",[],"['3', '3', '5', '3']",[],[],1.56
30.08. 23:30,Kostyuk M.,1,4,6,3,,,2,7,61%,64% (34/53),50% (17/34),55% (6/11),38% (24/64),55% (11/20),67% (4/6),34,34,74% (17/23),8,59% (51/87),42% (35/84),50% (86/171),3,64% (9/14),27% (4/15),45% (13/29),3412,"['1', '2', '4', '3']","['3', '2']","['1', '0']",[],[],2.45
29.08. 03:40,Navarro E.,2,6,6,,,,2,0,55%,77% (20/26),62% (13/21),100% (4/4),52% (14/27),71% (10/14),83% (5/6),9,14,100% (1/1),7,70% (33/47),59% (24/41),65% (57/88),5,100% (7/7),71% (5/7),86% (12/14),1999,"['2', '0', '4', '0']","['1', '0', '3', '0', '6', '1']",[],[],[],1.12
29.08. 03:40,Rus A.,0,1,1,,,,0,4,66%,48% (13/27),29% (4/14),17% (1/6),23% (6/26),38% (8/21),0% (0/4),9,28,50% (5/10),3,41% (17/41),30% (14/47),35% (31/88),1,29% (2/7),0% (0/7),14% (2/14),1818,[],[],[],[],[],6.54
27.08. 04:00,Navarro E.,2,6,6,,,,0,3,57%,84% (21/25),42% (8/19),50% (1/2),57% (20/35),81% (13/16),60% (6/10),16,9,0% (0/0),8,66% (29/44),65% (33/51),65% (62/95),8,86% (6/7),86% (6/7),86% (12/14),"['1', '1', '3', '1', '5', '1']","['1', '0', '4', '1', '6', '1']",[],[],[],1.17
27.08. 04:00,Blinkova A.,0,1,1,,,,0,6,69%,43% (15/35),19% (3/16),40% (4/10),16% (4/25),58% (11/19),50% (1/2),10,22,71% (5/7),4,35% (18/51),34% (15/44),35% (33/95),1,14% (1/7),14% (1/7),14% (2/14),"['1', '0']",[],[],[],[],5.29
WTA - SINGLES :  Monterrey (Mexico),hard,header
24.08. 07:40,Navarro E.,0,6^7,5,,,,3,2,74%,66% (37/56),50% (10/20),50% (3/6),24% (11/45),50% (22/44),40% (2/5),5,62% (47/76),37% (33/89),48% (80/165),2,75% (9/12),17% (2/12),46% (11/24),[],"['1', '0', '3', '4']",[],[],[],1.74
24.08. 07:40,Noskova L.,2,7^9,7,,,,5,8,51%,76% (34/45),50% (22/44),60% (3/5),34% (19/56),50% (10/20),50% (3/6),5,63% (56/89),38% (29/76),52% (85/165),4,83% (10/12),25% (3/12),54% (13/24),[],"['2', '2', '4', '2', '7', '5']",[],[],[],2.12
23.08. 07:40,Navarro E.,2,6^3,6,6,,,6,2,69%,67% (44/66),48% (14/29),80% (8/10),40% (21/53),61% (23/38),58% (7/12),9,61% (58/95),48% (44/91),55% (102/186),6,85% (11/13),54% (7/13),69% (18/26),"['2', '2', '4', '2']","['1', '0', '3', '0', '5', '0']","['2', '1', '4', '1']",[],[],1.29
23.08. 07:40,Frech M.,1,7^7,0,2,,,2,4,58%,60% (32/53),39% (15/38),42% (5/12),33% (22/66),52% (15/29),20% (2/10),6,52% (47/91),39% (37/95),45% (84/186),3,46% (6/13),15% (2/13),31% (8/26),"['1', '0', '4', '5']",[],[],[],[],3.71
22.08. 09:15,Navarro E.,2,3,7,7^7,,,1,4,69%,70% (49/70),50% (16/32),58% (7/12),38% (31/81),48% (22/46),36% (5/14),8,64% (65/102),42% (53/127),52% (118/229),5,69% (11/16),29% (5/17),48% (16/33),"['1', '2']","['5', '5', '7', '5']","['4', '2', '5', '3']",[],[],1.29
22.08. 09:15,Osorio C.,1,6,5,6^2,,,1,6,64%,62% (50/81),52% (24/46),64% (9/14),30% (21/70),50% (16/32),42% (5/12),8,58% (74/127),36% (37/102),48% (111/229),3,71% (12/17),31% (5/16),52% (17/33),"['2', '0', '4', '2']","['3', '2']","['3', '4', '4', '5']",[],[],3.74
WTA - SINGLES :  Cincinnati (USA),hard,header
15.08. 01:10,Navarro E.,0,2,2,,,,0,5,56%,48% (14/29),52% (12/23),50% (4/8),18% (5/28),35% (6/17),0% (0/1),4,50% (26/52),24% (11/45),38% (37/97),1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],1.74
15.08. 01:10,Andreeva M.,2,6,6,,,,2,1,62%,82% (23/28),65% (11/17),100% (1/1),52% (15/29),48% (11/23),50% (4/8),8,76% (34/45),50% (26/52),62% (60/97),3,100% (8/8),50% (4/8),75% (12/16),"['1', '0', '5', '2']","['2', '1', '5', '2']",[],[],[],2.12
WTA - SINGLES :  Toronto (Canada),hard,header
11.08. 23:35,Navarro E.,1,3,6,2,,,2,6,47%,62% (28/45),52% (26/50),64% (7/11),27% (10/37),42% (14/33),75% (3/4),8,57% (54/95),34% (24/70),47% (78/165),6,67% (8/12),23% (3/13),44% (11/25),[],"['2', '2', '4', '2', '6', '2']",[],[],[],1.62
11.08. 23:35,Anisimova A.,2,6,2,6,,,4,5,53%,73% (27/37),58% (19/33),25% (1/4),38% (17/45),48% (24/50),36% (4/11),10,66% (46/70),43% (41/95),53% (87/165),3,77% (10/13),33% (4/12),56% (14/25),"['2', '0']","['2', '1']","['2', '1', '5', '2']",[],[],2.33
10.08. 22:40,Navarro E.,2,6,7^7,,,,0,8,66%,74% (37/50),46% (12/26),80% (4/5),38% (15/40),47% (14/30),67% (2/3),5,64% (49/76),41% (29/70),53% (78/146),3,91% (10/11),20% (2/10),57% (12/21),"['2', '0', '5', '3']",[],[],[],[],1.46
10.08. 22:40,Townsend T.,0,3,6^5,,,,9,1,57%,63% (25/40),53% (16/30),33% (1/3),26% (13/50),54% (14/26),20% (1/5),5,59% (41/70),36% (27/76),47% (68/146),2,80% (8/10),9% (1/11),43% (9/21),"['1', '2']",[],[],[],[],2.78
09.08. 22:25,Navarro E.,2,7,7,,,,0,7,53%,58% (21/36),47% (15/32),50% (5/10),45% (25/56),64% (21/33),39% (7/18),7,53% (36/68),52% (46/89),52% (82/157),8,58% (7/12),58% (7/12),58% (14/24),"['1', '0', '4', '5', '6', '5']","['1', '0', '3', '0', '4', '1', '6', '5']",[],[],[],1.56
09.08. 22:25,Kostyuk M.,0,5,5,,,,4,8,63%,55% (31/56),36% (12/33),61% (11/18),42% (15/36),53% (17/32),50% (5/10),9,48% (43/89),47% (32/68),48% (75/157),4,42% (5/12),42% (5/12),42% (10/24),"['1', '1', '3', '1']","['1', '3', '2', '4', '5', '5']",[],[],[],2.46
