Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
31.12.2024,Oliveira G.,0,4,3,,,,1,2,63%,48% (19/40),58% (14/24),43% (3/7),30% (9/30),39% (11/28),50% (2/4),52% (33/63),32% (18/56),43% (51/119),2,0,56% (5/9),20% (2/10),37% (7/19),"['3', '2']","['3', '2']",[],[],[],2.94
31.12.2024,Karatsev A.,2,6,6,,,,7,3,52%,73% (22/30),61% (17/28),50% (2/4),53% (21/40),42% (10/24),57% (4/7),68% (38/56),48% (30/63),57% (68/119),8,0,80% (8/10),44% (4/9),63% (12/19),"['3', '3', '6', '4']","['3', '3', '5', '3']",[],[],[],1.37
ITF MEN - SINGLES :  M15 Stellenbosch (South Africa),hard,header
CHALLENGER MEN - SINGLES :  Manzanillo (Mexico),hard,header
02.12.2024,Oliveira G.,0,3,4,,,,12,2,56%,71% (25/35),48% (13/27),71% (5/7),14% (4/29),21% (4/19),0% (0/0),61% (38/62),17% (8/48),42% (46/110),2,0,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],1.71
02.12.2024,Rosenkranz M.,2,6,6,,,,6,1,60%,86% (25/29),79% (15/19),0% (0/0),29% (10/35),52% (14/27),29% (2/7),83% (40/48),39% (24/62),58% (64/110),8,0,100% (10/10),22% (2/9),63% (12/19),"['2', '0']","['5', '4']",[],[],[],2.04
01.12.2024,Oliveira G.,2,7^7,7,,,,6,1,62%,87% (40/46),61% (17/28),100% (2/2),21% (10/47),47% (16/34),33% (1/3),77% (57/74),32% (26/81),54% (83/155),8,0,100% (12/12),8% (1/12),54% (13/24),[],"['7', '5']",[],[],[],2.09
01.12.2024,Mayo A.,0,6^3,5,,,,7,3,58%,79% (37/47),53% (18/34),67% (2/3),13% (6/46),39% (11/28),0% (0/2),68% (55/81),23% (17/74),46% (72/155),2,0,92% (11/12),0% (0/12),46% (11/24),[],[],[],[],[],1.69
30.11.2024,Oliveira G.,2,6,6,,,,6,2,73%,83% (24/29),73% (8/11),0% (0/0),48% (15/31),53% (9/17),50% (4/8),80% (32/40),50% (24/48),64% (56/88),6,0,100% (8/8),50% (4/8),75% (12/16),"['4', '3', '6', '3']","['2', '0', '4', '0']",[],[],[],2.75
30.11.2024,Kuzmanov D.,0,3,1,,,,1,4,65%,52% (16/31),47% (8/17),50% (4/8),17% (5/29),27% (3/11),0% (0/0),50% (24/48),20% (8/40),36% (32/88),4,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],1.41
28.11.2024,Oliveira G.,2,7,6^4,6,,,8,6,64%,68% (50/73),44% (18/41),62% (8/13),28% (14/50),60% (32/53),67% (8/12),60% (68/114),45% (47/105),53% (115/219),7,0,69% (11/16),47% (8/17),58% (19/33),"['3', '1', '7', '5']","['1', '3', '5', '5']","['1', '0', '2', '1', '3', '2', '6', '3']",[],[],1.51
28.11.2024,Corwin F.,1,5,7^7,3,,,11,7,49%,72% (36/50),40% (21/53),33% (4/12),32% (23/73),56% (23/41),38% (5/13),55% (58/105),40% (46/114),47% (104/219),3,0,53% (9/17),31% (5/16),42% (14/33),"['3', '4']","['1', '0', '3', '0']","['1', '1', '2', '2']",[],[],2.50
26.11.2024,Oliveira G.,2,6,6,,,,5,2,57%,88% (21/24),67% (12/18),0% (0/0),41% (15/37),67% (14/21),36% (4/11),79% (33/42),50% (29/58),62% (62/100),7,0,100% (8/8),44% (4/9),71% (12/17),"['2', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],1.45
26.11.2024,Artnak B.,0,4,1,,,,6,3,64%,59% (22/37),33% (7/21),64% (7/11),13% (3/24),33% (6/18),0% (0/0),50% (29/58),21% (9/42),38% (38/100),3,2,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],2.63
CHALLENGER MEN - SINGLES :  Puerto Vallarta (Mexico),hard,header
