Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
11.08.,Schachter N.,2,,,,,,7,2,64%,75% (42/56),45% (14/31),60% (3/5),29% (15/52),53% (17/32),50% (4/8),33,35,74% (17/23),64% (56/87),38% (32/84),51% (88/171),7,0,86% (12/14),29% (4/14),57% (16/28),"['3', '1', '5', '1']",[],"['3', '1', '7', '5']",[],[],-
11.08.,Osorio J. S.,1,,,,,,2,3,62%,71% (37/52),47% (15/32),50% (4/8),25% (14/56),55% (17/31),40% (2/5),23,18,56% (9/16),62% (52/84),36% (31/87),49% (83/171),3,0,71% (10/14),14% (2/14),43% (12/28),[],"['5', '3']","['3', '4']",[],[],-
11.08.,Osorio J. S.,2,,,,,,3,0,67%,83% (30/36),56% (10/18),100% (5/5),57% (17/30),50% (6/12),80% (4/5),13,19,85% (17/20),74% (40/54),55% (23/42),66% (63/96),6,0,100% (8/8),57% (4/7),80% (12/15),"['3', '1', '5', '1']","['1', '0', '4', '1']",[],[],[],1.59
11.08.,Sanchez Rojas C. F.,0,,,,,,0,2,71%,43% (13/30),50% (6/12),20% (1/5),17% (6/36),44% (8/18),0% (0/5),5,24,75% (3/4),45% (19/42),26% (14/54),34% (33/96),4,0,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],18.0
09.07.,Price S.,2,,,,,,[],"['2', '0', '4', '0']","['1', '0', '6', '3']",[],[],2.13
09.07.,Osorio J. S.,1,,,,,,"['1', '0']",[],[],[],[],1.65
08.07.,Osorio J. S.,2,,,,,,"['5', '3']","['3', '2', '4', '3']",[],[],[],1.04
08.07.,Beltran Rubio M.,0,,,,,,[],"['3', '3']",[],[],[],8.60
19.06.,Pankin S.,2,,,,,,"['2', '0', '5', '3']","['5', '4']",[],[],[],1.15
19.06.,Osorio J. S.,0,,,,,,"['2', '3']",[],[],[],[],4.80
18.06.,Osorio J. S.,2,,,,,,[],[],"['3', '1']",[],[],2.11
18.06.,Andre S.,1,,,,,,[],"['4', '2']",[],[],[],1.66
13.06.,Pankin S.,2,,,,,,"['3', '1', '6', '2']","['2', '0', '3', '1']",[],[],[],1.23
13.06.,Osorio J. S.,0,,,,,,[],"['1', '2']",[],[],[],3.81
12.06.,Osorio J. S.,2,,,,,,"['2', '2', '4', '2', '6', '2']","['6', '4']",[],[],[],1.50
12.06.,Saritas G.,0,,,,,,"['2', '1']",[],[],[],[],2.44
10.06.,Osorio J. S.,2,,,,,,"['4', '3']","['2', '1']","['1', '2', '5', '4']",[],[],3.04
10.06.,Dalmasso G.,1,,,,,,"['4', '4', '6', '4']",[],"['2', '0']",[],[],1.34
04.06.,Georgiev G.,2,,,,,,"['3', '1', '6', '2']","['3', '1']",[],[],[],1.31
04.06.,Osorio J. S.,0,,,,,,[],"['4', '5']",[],[],[],3.20
11.05.,Nunez D. A.,2,,,,,,4,3,61%,75% (48/64),56% (23/41),40% (2/5),28% (22/78),51% (22/43),50% (5/10),68% (71/105),36% (44/121),51% (115/226),6,0,81% (13/16),29% (5/17),55% (18/33),"['4', '3']","['3', '3', '6', '6']","['2', '1', '6', '3']",[],[],1.41
11.05.,Osorio J. S.,1,,,,,,7,3,64%,72% (56/78),49% (21/43),50% (5/10),25% (16/64),44% (18/41),60% (3/5),64% (77/121),32% (34/105),49% (111/226),4,1,71% (12/17),19% (3/16),45% (15/33),"['5', '5']","['3', '2', '6', '5']",[],[],[],2.77
21.04.,Meneo T.,2,,,,,,4,0,64%,76% (31/41),39% (9/23),100% (8/8),51% (18/35),45% (10/22),67% (4/6),63% (40/64),49% (28/57),56% (68/121),8,0,100% (8/8),50% (4/8),75% (12/16),"['6', '4']","['2', '0', '4', '0', '6', '0']",[],[],[],4.90
21.04.,Osorio J. S.,0,,,,,,0,1,61%,49% (17/35),55% (12/22),33% (2/6),24% (10/41),61% (14/23),0% (0/8),51% (29/57),38% (24/64),44% (53/121),2,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],1.15
14.04.,McCormick T.,2,,,,,,10,11,50%,69% (33/48),42% (20/48),70% (7/10),36% (17/47),60% (18/30),50% (6/12),55% (53/96),45% (35/77),51% (88/173),7,0,75% (9/12),46% (6/13),60% (15/25),"['1', '2']","['3', '1', '5', '1']","['1', '0', '4', '1', '6', '3']",[],[],1.33
14.04.,Osorio J. S.,1,,,,,,4,5,61%,64% (30/47),40% (12/30),50% (6/12),31% (15/48),58% (28/48),30% (3/10),55% (42/77),45% (43/96),49% (85/173),3,0,54% (7/13),25% (3/12),40% (10/25),"['2', '0', '3', '1']",[],"['2', '4']",[],[],3.14
