Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
01.11.2024,Liaonenka A.,2,,,,,,"['3', '1']","['2', '1', '6', '3']",[],[],[],1.36
01.11.2024,Pang R.,0,,,,,,[],[],[],[],[],2.94
31.10.2024,Pang R.,2,,,,,,"['6', '4']",[],[],[],[],3.62
31.10.2024,Wang A.,1,,,,,,[],"['1', '0']",[],[],[],1.25
29.10.2024,Pang R.,2,,,,,,"['1', '0']","['2', '0', '4', '0', '6', '0']","['1', '1', '2', '2', '6', '6']",[],[],2.14
29.10.2024,Wang Q.,1,,,,,,"['2', '2', '5', '3']",[],"['1', '0', '2', '1', '6', '5']",[],[],1.64
18.09.2024,Zheng Z.,2,,,,,,"['2', '1', '4', '1']","['2', '1', '4', '1']",[],[],[],1.56
18.09.2024,Pang R.,0,,,,,,[],[],[],[],[],2.32
28.08.2024,Shin W.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '4', '1']",[],[],[],1.06
28.08.2024,Pang R.,0,,,,,,[],[],[],[],[],7.60
18.08.2024,Mo Y. C.,2,,,,,,6,1,70%,84% (26/31),62% (8/13),0% (0/0),0 km/h,0 km/h,35% (8/23),66% (19/29),33% (4/12),77% (34/44),52% (27/52),64% (61/96),4,0,100% (8/8),57% (4/7),80% (12/15),"['3', '1', '5', '1']","['2', '1', '4', '1']",[],[],[],1.13
18.08.2024,Pang R.,0,,,,,,3,6,44%,65% (15/23),34% (10/29),67% (8/12),0 km/h,0 km/h,16% (5/31),38% (5/13),0% (0/0),48% (25/52),23% (10/44),36% (35/96),6,0,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],5.64
06.07.2023,Shin W.,2,,,,,,[],[],[],[],[],1.19
06.07.2023,Pang R.,0,,,,,,[],[],[],[],[],4.23
05.07.2023,Pang R.,2,,,,,,[],[],[],[],[],-
05.07.2023,Hongyu Y.,1,,,,,,[],[],[],[],[],-
