Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,557/425,171/143,202/121,156/125,25/28,3/8
2024,10/25,5/14,5/9,0/2,-,-
2023,47/37,4/3,16/11,23/17,2/3,2/3
2022,36/35,0/3,22/14,11/10,3/5,0/3
2021,30/30,2/6,17/16,4/5,7/3,-
2020,9/17,2/3,4/6,3/7,-,0/1
2019,48/26,2/4,27/9,14/10,5/3,-
2018,33/23,2/3,21/11,8/6,1/2,1/1
2017,43/31,11/7,24/12,8/9,0/3,-
2016,42/33,14/15,11/4,16/11,1/3,-
2015,39/27,15/11,7/8,15/6,2/2,-
2014,42/28,21/14,7/3,14/10,0/1,-
2013,46/29,23/14,5/2,18/13,-,-
2012,41/27,21/15,9/3,7/7,4/2,-
2011,40/25,26/14,8/4,6/7,-,-
2010,41/21,16/10,16/7,9/4,-,-
2009,8/7,5/4,3/2,-,0/1,-
2008,2/3,2/3,-,-,-,-
2007,0/1,-,-,0/1,-,-
