Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

CHALLENGER MEN - SINGLES San Marino (San Marino),clay,header
18.07.,Pavlovic L.,1,,,,,,10,7,45%,71% (27/38),39% (18/46),57% (8/14),32% (15/47),55% (17/31),56% (5/9),31,46,58% (7/12),54% (45/84),41% (32/78),48% (77/162),5,3,57% (8/14),36% (5/14),46% (13/28),[],[],[],[],[],0
18.07.,Gigante M.,2,,,,,,0,3,60%,68% (32/47),45% (14/31),44% (4/9),29% (11/38),61% (28/46),43% (6/14),15,32,67% (2/3),59% (46/78),46% (39/84),52% (85/162),5,0,64% (9/14),43% (6/14),54% (15/28),[],[],[],[],[],0
17.07.,Pavlovic L.,1,,,,,,6,7,43%,79% (27/34),47% (21/45),50% (2/4),31% (21/67),50% (12/24),11% (1/9),22,30,56% (5/9),61% (48/79),36% (33/91),48% (81/170),6,0,82% (9/11),8% (1/12),43% (10/23),[],[],[],[],[],0
17.07.,Gomez F. A.,1,,,,,,7,5,74%,69% (46/67),50% (12/24),89% (8/9),21% (7/34),53% (24/45),50% (2/4),26,32,58% (7/12),64% (58/91),39% (31/79),52% (89/170),4,0,92% (11/12),18% (2/11),57% (13/23),[],[],[],[],[],0
15.07.,Pavlovic L.,2,,,,,,2,0,55%,85% (23/27),64% (14/22),0% (0/0),45% (15/33),43% (12/28),43% (3/7),21,10,100% (3/3),76% (37/49),44% (27/61),58% (64/110),8,0,100% (9/9),38% (3/8),71% (12/17),[],[],[],[],[],0
15.07.,Karol M.,0,,,,,,0,4,54%,55% (18/33),57% (16/28),57% (4/7),15% (4/27),36% (8/22),0% (0/0),22,24,59% (10/17),56% (34/61),24% (12/49),42% (46/110),2,2,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Braunschweig (Germany),clay,header
09.07.,Pavlovic L.,0,,,,,,7,3,46%,82% (36/44),35% (18/51),78% (7/9),29% (12/42),33% (8/24),25% (1/4),57% (54/95),30% (20/66),46% (74/161),2,0,82% (9/11),9% (1/11),45% (10/22),[],[],[],[],[],0
09.07.,Hanfmann Y.,2,,,,,,2,1,64%,71% (30/42),67% (16/24),75% (3/4),18% (8/44),65% (33/51),22% (2/9),70% (46/66),43% (41/95),54% (87/161),8,0,91% (10/11),18% (2/11),55% (12/22),[],[],[],[],[],0
08.07.,Pavlovic L.,2,,,,,,11,7,45%,85% (35/41),40% (20/50),93% (14/15),37% (14/38),36% (8/22),43% (3/7),60% (55/91),37% (22/60),51% (77/151),7,0,90% (9/10),30% (3/10),60% (12/20),[],[],[],[],[],0
08.07.,Etcheverry T. M.,0,,,,,,5,2,63%,63% (24/38),64% (14/22),57% (4/7),15% (6/41),60% (30/50),7% (1/15),63% (38/60),40% (36/91),49% (74/151),3,0,70% (7/10),10% (1/10),40% (8/20),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Brasov (Romania),clay,header
06.07.,Pavlovic L.,0,,,,,,12,3,48%,77% (34/44),51% (24/47),80% (4/5),20% (11/55),44% (11/25),0% (0/4),64% (58/91),28% (22/80),47% (80/171),4,0,91% (10/11),0% (0/11),45% (10/22),[],[],[],[],[],0
06.07.,Maestrelli F.,2,,,,,,4,2,69%,80% (44/55),56% (14/25),100% (4/4),23% (10/44),49% (23/47),20% (1/5),73% (58/80),36% (33/91),53% (91/171),6,0,100% (11/11),9% (1/11),55% (12/22),[],[],[],[],[],0
05.07.,Pavlovic L.,2,,,,,,11,5,51%,90% (28/31),60% (18/30),0% (0/0),19% (8/43),50% (9/18),100% (2/2),75% (46/61),28% (17/61),52% (63/122),7,0,100% (10/10),18% (2/11),57% (12/21),[],[],[],[],[],0
05.07.,Ficovich J. P.,0,,,,,,4,0,70%,81% (35/43),50% (9/18),0% (0/2),10% (3/31),40% (12/30),0% (0/0),72% (44/61),25% (15/61),48% (59/122),3,0,82% (9/11),0% (0/10),43% (9/21),[],[],[],[],[],0
04.07.,Pavlovic L.,2,,,,,,13,1,54%,95% (19/20),76% (13/17),0% (0/0),34% (11/32),71% (17/24),57% (4/7),86% (32/37),50% (28/56),65% (60/93),7,0,100% (8/8),50% (4/8),75% (12/16),[],[],[],[],[],0
04.07.,Boitan G. A.,0,,,,,,1,6,57%,66% (21/32),29% (7/24),43% (3/7),5% (1/20),24% (4/17),0% (0/0),50% (28/56),14% (5/37),35% (33/93),3,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],0
02.07.,Pavlovic L.,2,,,,,,15,6,49%,78% (28/36),57% (21/37),75% (3/4),33% (15/46),64% (9/14),43% (3/7),67% (49/73),40% (24/60),55% (73/133),6,0,90% (9/10),33% (3/9),63% (12/19),[],[],[],[],[],0
02.07.,Jianu F. C.,0,,,,,,2,2,77%,67% (31/46),36% (5/14),57% (4/7),22% (8/36),43% (16/37),25% (1/4),60% (36/60),33% (24/73),45% (60/133),4,0,67% (6/9),10% (1/10),37% (7/19),[],[],[],[],[],0
30.06.,Pavlovic L.,2,,,,,,8,1,61%,85% (17/20),62% (8/13),0% (0/0),58% (18/31),71% (12/17),60% (6/10),76% (25/33),63% (30/48),68% (55/81),7,0,100% (6/6),100% (6/6),100% (12/12),[],[],[],[],[],0
30.06.,Preda L.,0,,,,,,4,3,65%,42% (13/31),29% (5/17),40% (4/10),15% (3/20),38% (5/13),0% (0/0),38% (18/48),24% (8/33),32% (26/81),3,2,0% (0/6),0% (0/6),0% (0/12),[],[],[],[],[],0
ATP - SINGLES Wimbledon (United Kingdom) - Qualification,grass,header
26.06.,Pavlovic L.,1,,,,,,9,8,60%,80% (56/70),47% (22/47),57% (4/7),15% (11/71),43% (18/42),20% (1/5),45,26,75% (18/24),67% (78/117),26% (29/113),47% (107/230),3,0,84% (16/19),5% (1/19),45% (17/38),2112,[],[],[],[],[],0
26.06.,Zhukayev B.,3,,,,,,15,3,63%,85% (60/71),57% (24/42),80% (4/5),20% (14/70),53% (25/47),43% (3/7),52,24,68% (27/40),74% (84/113),33% (39/117),53% (123/230),7,0,95% (18/19),16% (3/19),55% (21/38),2375,[],[],[],[],[],0
25.06.,Pavlovic L.,2,,,,,,16,4,60%,70% (62/89),58% (35/60),100% (17/17),27% (23/86),51% (19/37),33% (2/6),47,43,60% (27/45),66% (97/148),34% (42/123),51% (139/271),6,0,100% (16/16),12% (2/17),55% (18/33),3835,[],[],[],[],[],0
25.06.,Trotter J. K.,1,,,,,,9,7,70%,73% (63/86),49% (18/37),67% (4/6),30% (27/89),42% (25/60),0% (0/17),39,37,61% (37/61),66% (81/123),34% (51/148),49% (132/271),4,1,88% (15/17),0% (0/16),45% (15/33),4122,[],[],[],[],[],0
23.06.,Pavlovic L.,2,,,,,,8,4,62%,72% (38/53),66% (21/32),80% (4/5),29% (17/59),46% (12/26),20% (1/5),34,25,57% (12/21),69% (59/85),34% (29/85),52% (88/170),8,0,92% (11/12),8% (1/12),50% (12/24),[],[],[],[],[],0
23.06.,Boyer T.,0,,,,,,2,2,69%,71% (42/59),54% (14/26),80% (4/5),28% (15/53),34% (11/32),20% (1/5),33,29,69% (34/49),66% (56/85),31% (26/85),48% (82/170),2,0,92% (11/12),8% (1/12),50% (12/24),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Perugia (Italy),clay,header
13.06.,Pavlovic L.,0,,,,,,5,2,58%,63% (24/38),59% (16/27),67% (6/9),18% (6/33),20% (4/20),33% (1/3),62% (40/65),19% (10/53),42% (50/118),2,0,70% (7/10),9% (1/11),38% (8/21),[],[],[],[],[],0
13.06.,Nardi L.,2,,,,,,3,0,62%,82% (27/33),80% (16/20),67% (2/3),37% (14/38),41% (11/27),33% (3/9),81% (43/53),38% (25/65),58% (68/118),8,0,91% (10/11),30% (3/10),62% (13/21),[],[],[],[],[],0
