Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF MEN - SINGLES M25 Monastir 5 (Tunisia),hard,header
CHALLENGER MEN - SINGLES Zug (Switzerland) - Qualification,clay,header
21.07.,Pokorny L.,1,,,,,,7,5,65%,81% (50/62),35% (12/34),67% (4/6),18% (8/45),34% (14/41),50% (1/2),35,52,89% (8/9),65% (62/96),26% (22/86),46% (84/182),5,0,87% (13/15),6% (1/16),45% (14/31),[],[],[],[],[],0
21.07.,Sakellaridis S.,2,,,,,,5,2,52%,82% (37/45),66% (27/41),50% (1/2),19% (12/62),65% (22/34),33% (2/6),17,23,100% (5/5),74% (64/86),35% (34/96),54% (98/182),5,0,94% (15/16),13% (2/15),55% (17/31),[],[],[],[],[],0
20.07.,Pokorny L.,2,,,,,,2,1,55%,77% (27/35),59% (17/29),0% (0/2),40% (17/43),55% (16/29),60% (6/10),20,22,100% (3/3),69% (44/64),46% (33/72),57% (77/136),8,0,83% (10/12),46% (6/13),64% (16/25),[],[],[],[],[],0
20.07.,Nam Ji S.,1,,,,,,4,2,60%,60% (26/43),45% (13/29),40% (4/10),23% (8/35),41% (12/29),100% (2/2),16,38,80% (8/10),54% (39/72),31% (20/64),43% (59/136),2,0,54% (7/13),17% (2/12),36% (9/25),[],[],[],[],[],0
CHALLENGER MEN - SINGLES San Marino (San Marino) - Qualification,clay,header
13.07.,Pokorny L.,1,,,,,,2,0,71%,63% (42/67),64% (18/28),43% (3/7),29% (18/63),36% (13/36),33% (1/3),9,42,78% (7/9),64% (60/94),31% (31/99),47% (91/193),3,2,73% (11/15),7% (1/15),40% (12/30),[],[],[],[],[],0
13.07.,Pecci A.,2,,,,,,8,3,64%,71% (45/63),64% (23/36),67% (2/3),37% (25/67),36% (10/28),57% (4/7),38,47,89% (8/9),69% (68/99),36% (34/94),53% (102/193),7,0,93% (14/15),27% (4/15),60% (18/30),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Trieste (Italy) - Qualification,clay,header
07.07.,Pokorny L.,0,,,,,,0,2,66%,51% (24/47),33% (8/24),57% (8/14),26% (6/23),43% (9/21),67% (2/3),5,38,45% (32/71),34% (15/44),41% (47/115),3,1,33% (3/9),25% (2/8),29% (5/17),[],[],[],[],[],0
07.07.,Mrva M.,2,,,,,,1,4,52%,74% (17/23),57% (12/21),33% (1/3),49% (23/47),67% (16/24),43% (6/14),6,26,66% (29/44),55% (39/71),59% (68/115),7,0,75% (6/8),67% (6/9),71% (12/17),[],[],[],[],[],0
06.07.,Pokorny L.,2,,,,,,4,3,61%,63% (34/54),38% (13/34),64% (9/14),33% (18/55),59% (19/32),33% (4/12),13,51,53% (47/88),43% (37/87),48% (84/175),5,0,62% (8/13),33% (4/12),48% (12/25),[],[],[],[],[],0
06.07.,Guerrieri A.,1,,,,,,2,10,63%,67% (37/55),41% (13/32),67% (8/12),37% (20/54),62% (21/34),36% (5/14),14,50,57% (50/87),47% (41/88),52% (91/175),5,1,67% (8/12),38% (5/13),52% (13/25),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Modena (Italy) - Qualification,clay,header
29.06.,Pokorny L.,1,,,,,,9,2,55%,76% (29/38),58% (18/31),25% (1/4),29% (11/38),40% (12/30),60% (3/5),35,31,55% (6/11),68% (47/69),33% (22/67),51% (69/136),3,0,77% (10/13),23% (3/13),50% (13/26),[],[],[],[],[],0
29.06.,Bagnolini D.,2,,,,,,2,1,56%,71% (27/38),60% (18/30),40% (2/5),24% (9/38),42% (13/31),75% (3/4),12,16,50% (2/4),67% (45/67),32% (22/69),49% (67/136),7,0,77% (10/13),23% (3/13),50% (13/26),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Bratislava (Slovakia),clay,header
11.06.,Pokorny L.,1,,,,,,7,3,66%,58% (41/71),54% (20/37),50% (4/8),36% (26/73),42% (15/36),27% (3/11),56% (61/108),38% (41/109),47% (102/217),2,1,75% (12/16),20% (3/15),48% (15/31),[],[],[],[],[],0
11.06.,Kodat T.,2,,,,,,4,4,67%,64% (47/73),58% (21/36),73% (8/11),42% (30/71),46% (17/37),50% (4/8),62% (68/109),44% (47/108),53% (115/217),8,0,80% (12/15),25% (4/16),52% (16/31),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Prostejov (Czech Republic),clay,header
03.06.,Pokorny L.,0,,,,,,2,1,52%,53% (18/34),52% (16/31),60% (6/10),31% (12/39),44% (7/16),25% (2/8),52% (34/65),35% (19/55),44% (53/120),2,0,56% (5/9),20% (2/10),37% (7/19),[],[],[],[],[],0
03.06.,Mrva M.,2,,,,,,4,3,71%,69% (27/39),56% (9/16),75% (6/8),47% (16/34),48% (15/31),40% (4/10),65% (36/55),48% (31/65),56% (67/120),8,0,80% (8/10),44% (4/9),63% (12/19),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Prostejov (Czech Republic) - Qualification,clay,header
02.06.,Pokorny L.,2,,,,,,16,3,58%,76% (37/49),47% (17/36),57% (4/7),35% (17/49),50% (11/22),44% (4/9),64% (54/85),39% (28/71),53% (82/156),8,0,79% (11/14),31% (4/13),56% (15/27),[],[],[],[],[],0
02.06.,Travaglia S.,1,,,,,,4,2,69%,65% (32/49),50% (11/22),56% (5/9),24% (12/49),53% (19/36),43% (3/7),61% (43/71),36% (31/85),47% (74/156),2,0,69% (9/13),21% (3/14),44% (12/27),[],[],[],[],[],0
01.06.,Pokorny L.,2,,,,,,5,2,61%,78% (38/49),52% (16/31),86% (6/7),32% (15/47),50% (15/30),50% (2/4),68% (54/80),39% (30/77),54% (84/157),7,0,91% (10/11),18% (2/11),55% (12/22),[],[],[],[],[],0
01.06.,Lanik T.,0,,,,,,7,5,61%,68% (32/47),50% (15/30),50% (2/4),22% (11/49),48% (15/31),14% (1/7),61% (47/77),33% (26/80),46% (73/157),3,0,82% (9/11),9% (1/11),45% (10/22),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Chisinau (Moldova),hard,header
28.05.,Pokorny L.,0,,,,,,8,0,69%,64% (30/47),43% (9/21),70% (7/10),28% (11/40),40% (10/25),0% (0/2),57% (39/68),32% (21/65),45% (60/133),3,1,70% (7/10),0% (0/10),35% (7/20),[],[],[],[],[],0
28.05.,Chidekh C.,2,,,,,,3,1,62%,73% (29/40),60% (15/25),100% (2/2),36% (17/47),57% (12/21),30% (3/10),68% (44/65),43% (29/68),55% (73/133),7,0,100% (10/10),30% (3/10),65% (13/20),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Tbilisi (Georgia),hard,header
22.05.,Pokorny L.,1,,,,,,12,2,52%,72% (33/46),40% (17/43),60% (6/10),25% (14/57),50% (11/22),33% (2/6),56% (50/89),32% (25/79),45% (75/168),2,0,67% (8/12),15% (2/13),40% (10/25),[],[],[],[],[],0
22.05.,Broom C.,2,,,,,,3,4,72%,75% (43/57),50% (11/22),67% (4/6),28% (13/46),60% (26/43),40% (4/10),68% (54/79),44% (39/89),55% (93/168),8,0,85% (11/13),33% (4/12),60% (15/25),[],[],[],[],[],0
21.05.,Pokorny L.,2,,,,,,5,2,64%,73% (33/45),64% (16/25),75% (3/4),31% (15/48),45% (13/29),29% (2/7),70% (49/70),36% (28/77),52% (77/147),6,0,91% (10/11),18% (2/11),55% (12/22),[],[],[],[],[],0
21.05.,Monday J.,0,,,,,,2,5,62%,69% (33/48),55% (16/29),71% (5/7),27% (12/45),36% (9/25),25% (1/4),64% (49/77),30% (21/70),48% (70/147),4,1,82% (9/11),9% (1/11),45% (10/22),[],[],[],[],[],0
20.05.,Pokorny L.,2,,,,,,8,0,73%,87% (26/30),64% (7/11),100% (3/3),30% (8/27),62% (13/21),80% (4/5),80% (33/41),44% (21/48),61% (54/89),7,0,100% (8/8),44% (4/9),71% (12/17),[],[],[],[],[],0
20.05.,Gray A.,0,,,,,,3,2,56%,70% (19/27),38% (8/21),20% (1/5),13% (4/30),36% (4/11),0% (0/3),56% (27/48),20% (8/41),39% (35/89),3,1,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],0
