Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
25.08.,Soriano Barrera A.,2,,,,,,10,1,77%,79% (38/48),64% (9/14),50% (1/2),34% (17/50),45% (14/31),40% (2/5),21,23,43% (3/7),76% (47/62),38% (31/81),55% (78/143),7,0,91% (10/11),18% (2/11),55% (12/22),"['5', '4']","['2', '1']",[],[],[],-
25.08.,Poljak D.,0,,,,,,1,4,62%,66% (33/50),55% (17/31),60% (3/5),21% (10/48),36% (5/14),50% (1/2),12,23,73% (8/11),62% (50/81),24% (15/62),45% (65/143),3,0,82% (9/11),9% (1/11),45% (10/22),[],"['5', '5']",[],[],[],-
10.08.,Reymond A.,2,,,,,,4,3,46%,79% (27/34),55% (22/40),75% (3/4),28% (14/50),53% (24/45),43% (3/7),17,24,86% (6/7),66% (49/74),41% (38/92),52% (87/166),6,0,90% (9/10),27% (3/11),57% (12/21),"['2', '1', '6', '3']","['2', '0']",[],[],[],21.0
10.08.,Poljak D.,0,,,,,,5,4,53%,70% (35/50),47% (21/45),57% (4/7),21% (7/34),45% (18/40),25% (1/4),31,53,48% (12/25),59% (54/92),34% (25/74),48% (79/166),4,2,73% (8/11),10% (1/10),43% (9/21),[],"['1', '2']",[],[],[],1.68
03.08.,Glinka D.,2,,,,,,3,5,55%,74% (23/31),60% (15/25),50% (1/2),38% (16/42),79% (15/19),57% (4/7),18,17,50% (1/2),68% (38/56),51% (31/61),59% (69/117),6,0,89% (8/9),44% (4/9),67% (12/18),"['3', '4', '5', '4']","['1', '0', '5', '2']",[],[],[],1.26
03.08.,Poljak D.,0,,,,,,4,4,69%,62% (26/42),21% (4/19),43% (3/7),26% (8/31),40% (10/25),50% (1/2),13,34,44% (8/18),49% (30/61),32% (18/56),41% (48/117),4,0,56% (5/9),11% (1/9),33% (6/18),"['2', '0']",[],[],[],[],3.63
20.07.,Shelbayh A.,2,,,,,,3,4,52%,82% (23/28),65% (17/26),100% (3/3),38% (8/21),53% (17/32),60% (3/5),11,21,100% (2/2),74% (40/54),47% (26/55),61% (66/109),6,0,100% (9/9),38% (3/8),71% (12/17),"['3', '1', '6', '2']","['2', '0']",[],[],[],1.38
20.07.,Poljak D.,0,,,,,,2,2,40%,62% (13/21),47% (15/32),40% (2/5),18% (5/28),35% (9/26),0% (0/3),7,35,80% (4/5),53% (29/55),26% (14/54),39% (43/109),4,1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],3.04
10.06.,Wessels L.,2,,,,,,[],"['2', '0', '4', '0']","['3', '4']",[],[],1.82
10.06.,Poljak D.,1,,,,,,[],[],"['2', '0']",[],[],1.88
23.04.,Poljak D.,2,,,,,,"['6', '5']","['3', '2']",[],[],[],1.18
23.04.,Zeuch T.,0,,,,,,[],[],[],[],[],4.43
20.03.,Gerasimov E.,2,,,,,,"['1', '0']","['2', '1', '4', '1']","['3', '2']",[],[],1.27
20.03.,Poljak D.,1,,,,,,"['5', '5', '7', '5']","['2', '4']",[],[],[],3.46
18.03.,Poljak D.,2,,,,,,"['2', '0', '4', '0']",[],"['2', '0', '5', '1']",[],[],1.13
18.03.,Reveniau S.,1,,,,,,"['2', '5']",[],[],[],[],5.00
21.02.,Moeller M.,2,,,,,,"['1', '0', '5', '2']","['2', '1', '5', '4']",[],[],[],1.25
21.02.,Poljak D.,0,,,,,,[],"['4', '4']",[],[],[],3.62
20.02.,Poljak D.,2,,,,,,"['2', '0']","['2', '1', '4', '1']",[],[],[],1.53
20.02.,D'Agostino S.,0,,,,,,[],[],[],[],[],2.37
18.02.,Poljak D.,2,,,,,,"['2', '0', '4', '0']","['2', '1', '5', '4']",[],[],[],1.36
18.02.,Salomone F.,0,,,,,,[],"['4', '4']",[],[],[],2.94
13.02.,Dedura D.,2,,,,,,"['2', '1', '5', '2']","['1', '0', '4', '1', '6', '5']",[],[],[],1.59
13.02.,Poljak D.,0,,,,,,[],"['2', '4', '5', '5']",[],[],[],2.24
12.02.,Poljak D.,2,,,,,,"['4', '4']","['1', '0']",[],[],[],1.20
12.02.,Schifris J.,0,,,,,,"['3', '2']","['3', '3']",[],[],[],4.14
29.01.,Samuel T.,2,,,,,,"['3', '1']","['1', '1', '3', '1', '5', '1']",[],[],[],1.29
29.01.,Poljak D.,0,,,,,,[],"['1', '0']",[],[],[],3.32
22.01.,Story J.,2,,,,,,"['1', '0', '3', '0']","['1', '0', '3', '0']",[],[],[],1.43
22.01.,Poljak D.,0,,,,,,[],[],[],[],[],2.66
12.12.2024,Gengel M.,2,,,,,,[],"['5', '5']","['3', '2']",[],[],1.17
12.12.2024,Poljak D.,1,,,,,,"['2', '0']","['5', '4']","['4', '4']",[],[],4.48
11.12.2024,Poljak D.,2,,,,,,"['3', '1']","['1', '0', '6', '3']",[],[],[],-
11.12.2024,Mabrouk K.,0,,,,,,[],[],[],[],[],-
04.12.2024,Gengel M.,2,,,,,,"['3', '4', '5', '4']","['2', '3', '4', '3']",[],[],[],1.25
04.12.2024,Poljak D.,0,,,,,,"['3', '1']","['2', '0']",[],[],[],3.62
10.11.2024,Poling K.,2,,,,,,1,3,65%,72% (36/50),67% (18/27),83% (5/6),32% (20/63),54% (14/26),29% (2/7),70% (54/77),38% (34/89),53% (88/166),6,0,91% (10/11),18% (2/11),55% (12/22),"['4', '3']","['6', '5']",[],[],[],1.61
10.11.2024,Poljak D.,0,,,,,,5,1,71%,68% (43/63),46% (12/26),71% (5/7),28% (14/50),33% (9/27),17% (1/6),62% (55/89),30% (23/77),47% (78/166),4,0,82% (9/11),9% (1/11),45% (10/22),[],"['6', '6']",[],[],[],2.23
07.11.2024,Corwin F.,2,,,,,,"['2', '1']","['3', '1', '4', '2']","['4', '2']",[],[],1.49
07.11.2024,Poljak D.,1,,,,,,"['2', '2']","['2', '3', '4', '5', '6', '5']",[],[],[],2.47
06.11.2024,Poljak D.,2,,,,,,[],"['3', '1', '6', '2']","['6', '4']",[],[],1.42
06.11.2024,George B. T.,1,,,,,,"['2', '1', '5', '2']",[],[],[],[],2.69
13.10.2024,Lamasine T.,2,,,,,,1,1,56%,77% (24/31),50% (12/24),60% (3/5),29% (12/42),78% (18/23),50% (4/8),65% (36/55),46% (30/65),55% (66/120),8,0,80% (8/10),40% (4/10),60% (12/20),"['2', '3', '5', '4']","['2', '1', '5', '4']",[],[],[],1.26
13.10.2024,Poljak D.,0,,,,,,3,0,65%,71% (30/42),22% (5/23),50% (4/8),23% (7/31),50% (12/24),40% (2/5),54% (35/65),35% (19/55),45% (54/120),2,0,60% (6/10),20% (2/10),40% (8/20),"['2', '0']","['3', '3']",[],[],[],3.63
02.10.2024,Wendelken H.,2,,,,,,"['4', '3']","['2', '1']","['1', '0']",[],[],1.62
02.10.2024,Poljak D.,1,,,,,,"['5', '5', '7', '5']",[],"['3', '3']",[],[],2.18
17.09.2024,Cerny M.,2,,,,,,"['2', '1']","['3', '4', '5', '4']",[],[],[],1.55
17.09.2024,Poljak D.,0,,,,,,[],"['4', '2']",[],[],[],2.34
22.08.2024,Artnak B.,2,,,,,,"['3', '1', '5', '3']","['3', '2', '5', '2', '6', '3']",[],[],[],1.30
22.08.2024,Poljak D.,0,,,,,,"['3', '4']","['3', '5']",[],[],[],3.34
20.08.2024,Poljak D.,2,,,,,,"['3', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],1.34
20.08.2024,Kriznik M.,0,,,,,,"['3', '4']",[],[],[],[],3.08
16.08.2024,Planinsek F. J.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '4', '1']",[],[],[],1.31
16.08.2024,Poljak D.,0,,,,,,[],[],[],[],[],3.24
15.08.2024,Poljak D.,2,,,,,,"['3', '1', '5', '3']","['3', '4', '6', '5']",[],[],[],1.88
15.08.2024,Markovic S.,0,,,,,,"['2', '3']","['4', '2', '6', '6']",[],[],[],1.84
14.08.2024,Poljak D.,2,,,,,,"['4', '2']","['4', '3', '6', '5']",[],[],[],1.17
14.08.2024,Fellin C.,0,,,,,,[],"['5', '5']",[],[],[],4.56
26.07.2024,Sorger S.,2,,,,,,"['2', '1', '5', '2']","['2', '1', '5', '2']",[],[],[],1.48
26.07.2024,Poljak D.,0,,,,,,[],[],[],[],[],2.53
25.07.2024,Poljak D.,2,,,,,,"['5', '5']","['2', '1', '6', '3']","['2', '2', '4', '2']",[],[],1.20
25.07.2024,Gaxherri S.,1,,,,,,"['4', '3']",[],"['1', '0']",[],[],4.18
24.07.2024,Poljak D.,2,,,,,,"['4', '4', '7', '5']","['4', '4']",[],[],[],3.37
24.07.2024,Oradini G.,0,,,,,,"['3', '2']","['3', '2']",[],[],[],1.29
21.04.2024,Strombachs R.,2,,,,,,2,9,64%,65% (49/75),35% (15/43),71% (12/17),44% (32/72),46% (16/35),44% (4/9),54% (65/120),45% (49/109),50% (114/229),7,0,64% (9/14),29% (4/14),46% (13/28),"['3', '2']",[],"['1', '2', '3', '2', '6', '3']",[],[],1.59
21.04.2024,Poljak D.,1,,,,,,6,4,67%,56% (40/72),54% (19/35),56% (5/9),35% (26/75),65% (28/43),29% (5/17),55% (60/109),46% (55/120),50% (115/229),3,0,71% (10/14),36% (5/14),54% (15/28),"['3', '3']","['1', '0', '4', '1', '6', '1']","['2', '0']",[],[],2.29
22.02.2024,Colson T.,2,,,,,,[],[],"['2', '1']",[],[],1.50
22.02.2024,Poljak D.,1,,,,,,[],[],[],[],[],2.47
21.02.2024,Poljak D.,2,,,,,,"['3', '1']",[],"['7', '5']",[],[],1.85
21.02.2024,Pokorny L.,1,,,,,,"['4', '5']",[],[],[],[],1.87
12.02.2024,Jubb P.,2,,,,,,6,1,71%,85% (34/40),56% (9/16),100% (2/2),17% (5/30),54% (19/35),38% (3/8),77% (43/56),37% (24/65),55% (67/121),6,0,100% (10/10),27% (3/11),62% (13/21),"['6', '5']","['1', '0', '6', '3']",[],[],[],1.16
12.02.2024,Poljak D.,0,,,,,,9,2,46%,83% (25/30),46% (16/35),63% (5/8),15% (6/40),44% (7/16),0% (0/2),63% (41/65),23% (13/56),45% (54/121),4,1,73% (8/11),0% (0/10),38% (8/21),[],[],[],[],[],4.83
