Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,360/259,97/76,141/94,111/75,11/14,-
2024,29/22,6/6,11/9,6/3,6/4,-
2023,42/26,7/4,10/9,25/10,0/3,-
2022,35/26,8/3,13/8,11/12,3/3,-
2021,30/19,4/3,19/9,7/6,0/1,-
2020,13/16,0/2,5/8,8/6,-,-
2019,36/29,6/5,11/11,17/10,2/3,-
2018,30/21,3/6,18/11,9/4,-,-
2017,42/24,19/13,10/4,13/7,-,-
2016,44/19,29/11,10/3,5/5,-,-
2015,9/6,-,7/4,2/2,-,-
2014,24/16,5/6,16/6,3/4,-,-
2013,16/20,7/11,5/5,4/4,-,-
2012,6/11,2/4,3/5,1/2,-,-
2011,4/4,1/2,3/2,-,-,-
