Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ATP - SINGLES :  Tokyo (Japan),hard,header
26.09. 09:10,Popyrin A.,1,3,7^7,5,,,21,2,68%,76% (58/76),50% (18/36),67% (4/6),15% (11/71),40% (12/30),0% (0/4),44,44,64% (9/14),5,68% (76/112),23% (23/101),46% (99/213),1,88% (14/16),0% (0/17),42% (14/33),[],[],[],[],[],1.59
26.09. 09:10,Machac T.,2,6,6^5,7,,,10,1,70%,85% (60/71),60% (18/30),100% (4/4),24% (18/76),50% (18/36),33% (2/6),41,31,85% (17/20),5,77% (78/101),32% (36/112),54% (114/213),3,100% (17/17),13% (2/16),58% (19/33),"['4', '2']",[],"['7', '5']",[],[],2.40
ATP - SINGLES :  Davis Cup - World Group (World),-,header
15.09. 17:45,Popyrin A.,2,6,6,,,,9,2,64%,77% (33/43),54% (13/24),100% (3/3),32% (11/34),38% (8/21),100% (2/2),39,16,0% (0/16),5,69% (46/67),35% (19/55),53% (65/122),3,100% (10/10),20% (2/10),60% (12/20),"['3', '2']","['4', '3']",[],[],[],1.25
15.09. 17:45,Martinez P.,0,4,4,,,,2,2,62%,68% (23/34),62% (13/21),0% (0/2),23% (10/43),46% (11/24),0% (0/3),11,13,0% (0/9),5,65% (36/55),31% (21/67),47% (57/122),1,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],3.76
12.09. 22:30,Popyrin A.,0,1,,,,,1,0,67%,75% (3/4),50% (1/2),0% (0/0),67% (2/3),0% (0/0),0% (0/0),1,3,0% (0/0),4,67% (4/6),67% (2/3),67% (6/9),1,100% (1/1),0% (0/0),100% (1/1),[],[],[],[],[],1.44
12.09. 22:30,Machac T.,0,0,,,,,0,0,100%,33% (1/3),0% (0/0),0% (0/0),25% (1/4),50% (1/2),0% (0/0),0,5,0% (0/0),2,33% (1/3),33% (2/6),33% (3/9),0,0% (0/0),0% (0/1),0% (0/1),[],[],[],[],[],2.69
10.09. 22:20,Popyrin A.,0,3,2,,,,4,1,70%,59% (22/37),38% (6/16),43% (3/7),20% (7/35),50% (8/16),25% (1/4),9,17,13% (1/8),4,53% (28/53),29% (15/51),41% (43/104),2,50% (4/8),11% (1/9),29% (5/17),"['2', '5']",[],[],[],[],1.99
10.09. 22:20,Humbert U.,2,6,6,,,,5,1,69%,80% (28/35),50% (8/16),75% (3/4),41% (15/37),63% (10/16),57% (4/7),21,20,0% (0/2),6,71% (36/51),47% (25/53),59% (61/104),4,89% (8/9),50% (4/8),71% (12/17),"['3', '1', '5', '1']","['1', '0', '5', '2']",[],[],[],1.76
ATP - SINGLES :  US Open (USA),hard,header
02.09. 05:25,Popyrin A.,1,4,6^3,6,3,,24,9,55%,83% (55/66),44% (24/54),40% (2/5),23% (14/61),43% (24/56),33% (3/9),55,28,67% (20/30),6,66% (79/120),32% (38/117),49% (117/237),3,84% (16/19),15% (3/20),49% (19/39),3513,[],"['3', '1']","['2', '1', '5', '2']",[],[],1.89
02.09. 05:25,Tiafoe F.,3,6,7^7,2,6,,14,1,52%,77% (47/61),57% (32/56),67% (6/9),17% (11/66),56% (30/54),60% (3/5),44,20,64% (23/36),6,68% (79/117),34% (41/120),51% (120/237),3,85% (17/20),16% (3/19),51% (20/39),3318,"['5', '4']","['4', '5']",[],"['4', '2']",[],1.92
31.08. 06:00,Popyrin A.,3,6,6,2,6,,15,6,58%,74% (55/74),45% (24/53),75% (12/16),29% (22/76),54% (29/54),42% (5/12),50,50,69% (25/36),11,62% (79/127),39% (51/130),51% (130/257),4,79% (15/19),26% (5/19),53% (20/38),3912,"['5', '4']","['3', '2']","['2', '3']","['3', '2', '5', '2']",[],6.43
31.08. 06:00,Djokovic N.,1,4,4,6,4,,16,14,58%,71% (54/76),46% (25/54),58% (7/12),26% (19/74),55% (29/53),25% (4/16),40,49,48% (19/40),8,61% (79/130),38% (48/127),49% (127/257),4,74% (14/19),21% (4/19),47% (18/38),4131,[],[],"['2', '0', '4', '2', '6', '2']","['3', '5']",[],1.12
29.08. 00:55,Popyrin A.,3,6,6,6,,,13,7,57%,82% (32/39),40% (12/30),25% (1/4),49% (21/43),74% (23/31),56% (9/16),36,25,61% (11/18),9,64% (44/69),60% (45/75),62% (89/144),9,75% (9/12),75% (9/12),75% (18/24),2290,"['2', '2', '4', '2', '6', '2']","['3', '3', '4', '4', '6', '4']","['2', '0', '4', '0', '6', '0']",[],[],1.18
29.08. 00:55,Martinez P.,0,2,4,0,,,1,8,58%,51% (22/43),26% (8/31),44% (7/16),18% (7/39),60% (18/30),75% (3/4),5,26,47% (8/17),5,40% (30/75),36% (25/69),38% (55/144),2,25% (3/12),25% (3/12),25% (6/24),2319,"['2', '1']","['1', '0', '4', '3']",[],[],[],5.30
26.08. 22:30,Popyrin A.,3,7,6,6,,,14,5,50%,92% (34/37),59% (22/37),80% (4/5),33% (17/52),65% (28/43),60% (6/10),37,26,74% (20/27),11,76% (56/74),47% (45/95),60% (101/169),4,93% (13/14),40% (6/15),66% (19/29),"['4', '3', '6', '5']","['2', '1', '5', '2']","['4', '3', '6', '3']",[],[],1.11
26.08. 22:30,Kwon S.,0,5,2,3,,,6,13,55%,67% (35/52),35% (15/43),40% (4/10),8% (3/37),41% (15/37),20% (1/5),20,35,62% (8/13),6,53% (50/95),24% (18/74),40% (68/169),2,60% (9/15),7% (1/14),34% (10/29),"['4', '4']",[],[],[],[],6.75
ATP - SINGLES :  Cincinnati (USA),hard,header
15.08. 00:25,Popyrin A.,0,5,3,,,,4,1,65%,66% (23/35),47% (9/19),40% (2/5),22% (7/32),38% (11/29),50% (1/2),15,17,45% (10/22),5,59% (32/54),30% (18/61),43% (50/115),2,70% (7/10),9% (1/11),38% (8/21),[],"['1', '0']",[],[],[],1.62
15.08. 00:25,Monfils G.,2,7,6,,,,6,3,52%,78% (25/32),62% (18/29),50% (1/2),34% (12/35),53% (10/19),60% (3/5),12,10,75% (3/4),7,70% (43/61),41% (22/54),57% (65/115),5,91% (10/11),30% (3/10),62% (13/21),"['7', '5']","['3', '3', '5', '3']",[],[],[],2.33
ATP - SINGLES :  Montreal (Canada),hard,header
13.08. 05:10,Popyrin A.,2,6,6,,,,10,3,59%,84% (32/38),35% (9/26),83% (5/6),37% (10/27),60% (21/35),44% (4/9),31,10,73% (8/11),7,64% (41/64),50% (31/62),57% (72/126),3,89% (8/9),44% (4/9),67% (12/18),"['1', '0', '4', '1']","['1', '0', '4', '3']",[],[],[],3.05
13.08. 05:10,Rublev A.,0,2,4,,,,4,5,44%,63% (17/27),40% (14/35),56% (5/9),16% (6/38),65% (17/26),17% (1/6),16,15,63% (5/8),4,50% (31/62),36% (23/64),43% (54/126),2,56% (5/9),11% (1/9),33% (6/18),[],"['3', '3']",[],[],[],1.39
12.08. 06:15,Popyrin A.,2,7^7,6,,,,2,6,59%,83% (34/41),34% (10/29),50% (2/4),34% (14/41),63% (20/32),36% (4/11),14,18,75% (6/8),10,63% (44/70),47% (34/73),55% (78/143),4,80% (8/10),36% (4/11),57% (12/21),"['3', '3', '6', '6']","['1', '0', '6', '3']",[],[],[],2.94
12.08. 06:15,Korda S.,0,6^0,3,,,,2,5,56%,66% (27/41),38% (12/32),64% (7/11),17% (7/41),66% (19/29),50% (2/4),18,16,65% (11/17),5,53% (39/73),37% (26/70),45% (65/143),3,64% (7/11),20% (2/10),43% (9/21),"['2', '1', '6', '5']",[],[],[],[],1.41
11.08. 23:40,Popyrin A.,2,3,7^7,7,,,11,6,65%,75% (51/68),46% (17/37),73% (8/11),31% (24/78),52% (33/63),14% (3/21),47,25,80% (16/20),7,65% (68/105),40% (57/141),51% (125/246),3,81% (13/16),18% (3/17),48% (16/33),"['1', '0']","['3', '3']","['6', '5']",[],[],2.46
11.08. 23:40,Hurkacz H.,1,6,6^5,5,,,8,3,55%,69% (54/78),48% (30/63),86% (18/21),25% (17/68),54% (20/37),27% (3/11),31,25,66% (29/44),7,60% (84/141),35% (37/105),49% (121/246),3,82% (14/17),19% (3/16),52% (17/33),"['2', '2', '5', '3']","['2', '1']",[],[],[],1.56
10.08. 23:20,Popyrin A.,2,4,7^7,6,,,9,6,54%,80% (52/65),50% (28/56),89% (8/9),21% (12/58),49% (19/39),100% (1/1),24,21,58% (23/40),6,66% (80/121),32% (31/97),51% (111/218),3,94% (15/16),7% (1/15),52% (16/31),[],[],"['4', '2']",[],[],3.38
10.08. 23:20,Dimitrov G.,1,6,6^5,3,,,7,9,60%,79% (46/58),51% (20/39),0% (0/1),20% (13/65),50% (28/56),11% (1/9),31,20,74% (23/31),5,68% (66/97),34% (41/121),49% (107/218),3,93% (14/15),6% (1/16),48% (15/31),"['6', '4']",[],[],[],[],1.33
09.08. 01:55,Popyrin A.,2,6,7^7,,,,6,1,57%,85% (33/39),63% (19/30),0% (0/0),36% (20/55),32% (8/25),17% (1/6),14,8,69% (18/26),5,75% (52/69),35% (28/80),54% (80/149),3,100% (11/11),9% (1/11),55% (12/22),"['5', '4']",[],[],[],[],2.51
09.08. 01:55,Shelton B.,0,4,6^4,,,,7,1,69%,64% (35/55),68% (17/25),83% (5/6),15% (6/39),37% (11/30),0% (0/0),20,15,55% (11/20),6,65% (52/80),25% (17/69),46% (69/149),1,91% (10/11),0% (0/11),45% (10/22),[],[],[],[],[],1.54
08.08. 01:10,Popyrin A.,2,6,6,,,,6,5,50%,96% (23/24),58% (14/24),50% (1/2),28% (11/39),71% (17/24),60% (3/5),18,8,86% (6/7),8,77% (37/48),44% (28/63),59% (65/111),4,90% (9/10),33% (3/9),63% (12/19),"['2', '0']","['1', '2', '3', '2']",[],[],[],2.22
08.08. 01:10,Machac T.,0,3,4,,,,5,6,62%,72% (28/39),29% (7/24),40% (2/5),4% (1/24),42% (10/24),50% (1/2),13,14,60% (6/10),8,56% (35/63),23% (11/48),41% (46/111),2,67% (6/9),10% (1/10),37% (7/19),[],"['2', '0']",[],[],[],1.67
ATP - SINGLES :  Olympic Games (World),clay,header
31.07. 22:45,Popyrin A.,0,5,3,,,,5,6,65%,71% (34/48),35% (9/26),40% (2/5),16% (5/32),26% (5/19),100% (1/1),9,27,63% (10/16),10,58% (43/74),20% (10/51),42% (53/125),3,70% (7/10),9% (1/11),38% (8/21),"['2', '1']",[],[],[],[],6.57
31.07. 22:45,Zverev A.,2,7,6,,,,8,1,63%,84% (27/32),74% (14/19),0% (0/1),29% (14/48),65% (17/26),60% (3/5),12,13,79% (11/14),6,80% (41/51),42% (31/74),58% (72/125),7,91% (10/11),30% (3/10),62% (13/21),"['5', '5', '7', '5']","['2', '0']",[],[],[],1.06
30.07. 18:10,Popyrin A.,2,6,7,,,,8,3,71%,82% (36/44),61% (11/18),0% (0/0),21% (8/39),48% (10/21),100% (2/2),26,12,64% (9/14),6,76% (47/62),30% (18/60),53% (65/122),3,100% (11/11),18% (2/11),59% (13/22),"['1', '0']","['6', '5']",[],[],[],1.74
30.07. 18:10,Wawrinka S.,0,4,5,,,,8,0,65%,79% (31/39),52% (11/21),0% (0/2),18% (8/44),33% (6/18),0% (0/0),14,8,33% (2/6),5,70% (42/60),24% (15/62),47% (57/122),1,82% (9/11),0% (0/11),41% (9/22),[],[],[],[],[],2.12
