Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
BOYS - SINGLES :  US Open (USA),hard,header
BOYS - SINGLES :  US Open (USA),hard,header
05.09. 21:40,Preda L.,1,3,6,5,,,6,2,67%,66% (37/56),54% (15/28),50% (4/8),24% (12/51),66% (27/41),40% (4/10),23,41,62% (8/13),9,62% (52/84),42% (39/92),52% (91/176),4,71% (10/14),29% (4/14),50% (14/28),3326,"['3', '4']","['2', '0', '3', '1', '5', '1']",[],[],[],0
05.09. 21:40,Budkov Kjaer N.,2,6,1,7,,,3,6,55%,76% (39/51),34% (14/41),60% (6/10),34% (19/56),46% (13/28),50% (4/8),21,44,71% (5/7),5,58% (53/92),38% (32/84),48% (85/176),2,71% (10/14),29% (4/14),50% (14/28),3464,"['4', '2', '5', '3']","['1', '2']","['7', '5']",[],[],0
04.09. 20:45,Preda L.,2,6,7,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '4', '0', '6', '0']","['7', '5']",[],[],[],0
04.09. 20:45,Faurel T.,0,0,5,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],0
03.09. 20:40,Preda L.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '3', '0', '6', '1']","['3', '1']",[],[],[],0
03.09. 20:40,Schinnerer K.,0,1,3,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],0
02.09. 04:20,Preda L.,2,1,6,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['4', '2', '6', '2']","['4', '2']",[],[],0
02.09. 04:20,Bonding O.,1,6,2,3,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '5', '1']",[],[],[],[],0
