Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Beijing (China),hard,header
27.09. 14:40,Putintseva Y.,1,6,4,2,,,4,2,63%,61% (28/46),59% (16/27),29% (2/7),30% (14/46),52% (22/42),40% (4/10),7,60% (44/73),41% (36/88),50% (80/161),3,62% (8/13),29% (4/14),44% (12/27),"['3', '2', '6', '3']","['3', '3']","['1', '3']",[],[],2.51
27.09. 14:40,Osaka N.,2,3,6,6,,,6,2,52%,70% (32/46),48% (20/42),60% (6/10),39% (18/46),41% (11/27),71% (5/7),6,59% (52/88),40% (29/73),50% (81/161),6,71% (10/14),38% (5/13),56% (15/27),[],"['1', '0', '5', '4']","['1', '0', '3', '0', '5', '2']",[],[],1.54
WTA - SINGLES :  Seoul (South Korea),hard,header
17.09. 09:25,Putintseva Y.,0,3,6^5,,,,2,1,55%,53% (20/38),48% (15/31),50% (5/10),39% (14/36),44% (16/36),67% (4/6),5,51% (35/69),42% (30/72),46% (65/141),2,50% (5/10),36% (4/11),43% (9/21),"['2', '3']","['2', '2', '5', '5', '6', '6']",[],[],[],1.74
17.09. 09:25,Anisimova A.,2,6,7^7,,,,0,7,50%,61% (22/36),56% (20/36),33% (2/6),47% (18/38),52% (16/31),50% (5/10),7,58% (42/72),49% (34/69),54% (76/141),3,64% (7/11),50% (5/10),57% (12/21),"['3', '1', '5', '3']","['2', '1', '4', '3', '6', '5']",[],[],[],2.12
WTA - SINGLES :  US Open (USA),hard,header
31.08. 20:45,Putintseva Y.,0,3,4,,,,2,2,72%,53% (25/47),50% (9/18),33% (2/6),33% (14/42),41% (11/27),22% (2/9),16,33,60% (6/10),4,52% (34/65),36% (25/69),44% (59/134),2,56% (5/9),20% (2/10),37% (7/19),2821,"['2', '3', '3', '4']",[],[],[],[],2.33
31.08. 20:45,Paolini J.,2,6,6,,,,1,1,61%,67% (28/42),59% (16/27),78% (7/9),47% (22/47),50% (9/18),67% (4/6),22,23,63% (12/19),5,64% (44/69),48% (31/65),56% (75/134),3,80% (8/10),44% (4/9),63% (12/19),2959,"['2', '0', '4', '2', '5', '3']","['2', '1']",[],[],[],1.62
29.08. 20:40,Putintseva Y.,2,6,7^7,,,,1,2,65%,56% (29/52),57% (16/28),75% (9/12),55% (27/49),47% (18/38),46% (6/13),20,23,93% (13/14),5,56% (45/80),51% (44/87),53% (89/167),6,67% (6/9),60% (6/10),63% (12/19),3930,"['2', '1', '4', '1', '6', '1']","['1', '1', '3', '1', '5', '5']",[],[],[],1.50
29.08. 20:40,Wang Xin.,0,1,6^4,,,,1,1,56%,47% (23/49),53% (20/38),54% (7/13),44% (23/52),43% (12/28),25% (3/12),32,39,46% (12/26),5,49% (43/87),44% (35/80),47% (78/167),4,40% (4/10),33% (3/9),37% (7/19),3932,[],"['1', '0', '2', '3', '4', '3']",[],[],[],2.64
