Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
14.07.,Watt J.,2,,,,,,9,0,69%,74% (45/61),54% (15/28),88% (7/8),33% (17/51),50% (16/32),60% (3/5),35,41,49% (17/35),67% (60/89),40% (33/83),54% (93/172),9,0,92% (12/13),23% (3/13),58% (15/26),[],"['3', '1', '6', '2']","['5', '3']",[],[],2.19
14.07.,Rice K.,1,,,,,,0,6,61%,67% (34/51),50% (16/32),40% (2/5),26% (16/61),46% (13/28),13% (1/8),21,22,100% (2/2),60% (50/83),33% (29/89),46% (79/172),1,0,77% (10/13),8% (1/13),42% (11/26),"['3', '1']",[],[],[],[],1.64
13.07.,Rice K.,2,,,,,,6,1,71%,78% (25/32),54% (7/13),100% (3/3),53% (10/19),78% (14/18),56% (5/9),13,10,75% (3/4),71% (32/45),65% (24/37),68% (56/82),6,0,100% (7/7),83% (5/6),92% (12/13),"['2', '0', '4', '0', '6', '0']","['2', '0', '5', '1']",[],[],[],1.83
13.07.,Tudorica A. N.,0,,,,,,0,5,51%,47% (9/19),22% (4/18),44% (4/9),22% (7/32),46% (6/13),0% (0/3),4,17,58% (7/12),35% (13/37),29% (13/45),32% (26/82),4,2,17% (1/6),0% (0/7),8% (1/13),[],[],[],[],[],1.89
08.07.,Moriya H.,2,,,,,,1,4,57%,59% (34/58),56% (24/43),50% (4/8),38% (18/48),62% (29/47),70% (7/10),25,58,91% (10/11),57% (58/101),49% (47/95),54% (105/196),8,0,71% (10/14),47% (7/15),59% (17/29),"['1', '0', '3', '4', '5', '4']","['2', '3']","['2', '1', '4', '1', '6', '1']",[],[],1.44
08.07.,Rice K.,1,,,,,,1,4,51%,63% (30/48),38% (18/47),30% (3/10),41% (24/58),44% (19/43),50% (4/8),18,0,67% (6/9),51% (48/95),43% (43/101),46% (91/196),2,0,53% (8/15),29% (4/14),41% (12/29),"['2', '2', '4', '2']","['3', '1', '7', '5']",[],[],[],2.66
06.07.,Rice K.,2,,,,,,3,2,53%,72% (21/29),69% (18/26),100% (3/3),43% (20/47),54% (19/35),25% (3/12),26,34,46% (6/13),71% (39/55),48% (39/82),57% (78/137),6,0,100% (9/9),33% (3/9),67% (12/18),"['6', '4']","['2', '0', '6', '2']",[],[],[],2.08
06.07.,Matsuda R.,0,,,,,,1,0,57%,57% (27/47),46% (16/35),75% (9/12),28% (8/29),31% (8/26),0% (0/3),12,45,75% (6/8),52% (43/82),29% (16/55),43% (59/137),4,4,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],1.70
04.07.,Bicknell B.,2,,,,,,"['2', '0', '4', '2']","['3', '2']",[],[],[],1.55
04.07.,Rice K.,0,,,,,,"['2', '3']",[],[],[],[],2.33
03.07.,Rice K.,2,,,,,,"['3', '1', '5', '3']","['2', '5']","['2', '0', '5', '5', '7', '5']",[],[],3.04
03.07.,Langmo C.,1,,,,,,"['2', '3']","['3', '1', '5', '1']","['2', '3', '4', '3']",[],[],1.34
02.07.,Rice K.,2,,,,,,"['2', '0', '4', '2', '6', '4']","['2', '0', '4', '4', '6', '4']",[],[],[],1.45
02.07.,Bergeron A.,0,,,,,,"['2', '3', '3', '4']","['2', '3', '4', '3']",[],[],[],2.59
12.06.,Loutit J.,2,,,,,,"['1', '0', '3', '0']","['2', '1', '4', '1', '6', '1']",[],[],[],1.68
12.06.,Rice K.,0,,,,,,[],[],[],[],[],2.09
10.06.,Rice K.,2,,,,,,"['2', '0']","['1', '0', '3', '0']",[],[],[],1.43
10.06.,Blaydes B.,0,,,,,,[],[],[],[],[],2.66
06.06.,Pascual Ferra R.,2,,,,,,"['1', '0', '4', '3', '6', '3']","['2', '2', '4', '2']","['1', '0', '3', '0', '5', '2']",[],[],1.78
06.06.,Rice K.,1,,,,,,"['3', '3']","['1', '0', '4', '5']","['2', '4']",[],[],1.92
05.06.,Rice K.,2,,,,,,"['2', '2', '4', '2', '5', '3']","['3', '2', '5', '4']",[],[],[],2.44
05.06.,Peliwo F.,0,,,,,,"['2', '1', '3', '4']","['3', '3', '5', '5']",[],[],[],1.50
03.06.,Rice K.,2,,,,,,"['2', '0', '5', '1', '6', '2']","['3', '1', '6', '2']",[],[],[],1.26
03.06.,El Amine H.,0,,,,,,"['2', '5']",[],[],[],[],3.72
14.07.2024,Basavareddy N.,2,,,,,,7,4,57%,88% (21/24),61% (11/18),100% (1/1),41% (13/32),77% (20/26),50% (5/10),76% (32/42),57% (33/58),65% (65/100),10,0,100% (7/7),71% (5/7),86% (12/14),"['1', '0', '3', '0', '6', '1']","['3', '1', '5', '1']",[],[],[],1.07
14.07.2024,Rice K.,0,,,,,,2,6,55%,59% (19/32),23% (6/26),50% (5/10),13% (3/24),39% (7/18),0% (0/1),43% (25/58),24% (10/42),35% (35/100),0,0,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],7.45
09.07.2024,Spizzirri E.,2,,,,,,3,5,56%,93% (25/27),52% (11/21),0% (0/2),18% (5/28),75% (21/28),83% (5/6),75% (36/48),46% (26/56),60% (62/104),8,0,80% (8/10),45% (5/11),62% (13/21),"['2', '3', '4', '3', '6', '3']","['4', '4', '7', '5']",[],[],[],1.07
09.07.2024,Rice K.,0,,,,,,2,6,50%,82% (23/28),25% (7/28),17% (1/6),7% (2/27),48% (10/21),100% (2/2),54% (30/56),25% (12/48),40% (42/104),2,0,55% (6/11),20% (2/10),38% (8/21),"['2', '0']","['1', '0']",[],[],[],7.75
