Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
28.07.,Kirkin E.,2,,,,,,[],"['3', '1', '6', '4']","['2', '2', '5', '3']",[],[],1.27
28.07.,Rispoli N.,1,,,,,,"['2', '0']","['2', '3']","['2', '1']",[],[],3.46
15.07.,Orlov V.,2,,,,,,"['1', '1', '3', '1', '6', '2']","['2', '0', '4', '0']",[],[],[],1.42
15.07.,Rispoli N.,0,,,,,,"['1', '0']",[],[],[],[],2.69
17.06.,Pennaforti G.,2,,,,,,"['1', '0', '3', '0', '4', '1', '6', '1']","['3', '1', '5', '1']",[],[],[],1.06
17.06.,Rispoli N.,0,,,,,,"['1', '3']",[],[],[],[],7.20
27.12.2024,Chepelev A.,2,,,,,,"['4', '2', '6', '4']","['2', '0', '6', '2']",[],[],[],1.50
27.12.2024,Rispoli N.,0,,,,,,"['3', '4']",[],[],[],[],2.44
27.12.2024,Rispoli N.,2,,,,,,"['2', '0', '4', '2']","['1', '0']","['2', '0', '4', '2', '5', '2', '7', '3', '8', '3', '10', '5']",[],[],-
27.12.2024,Salazar D.,1,,,,,,"['2', '3', '3', '4']","['2', '2']","['2', '3', '3', '5', '4', '8']",[],[],-
29.10.2024,Oradini G.,2,,,,,,"['3', '1', '5', '1']","['3', '2', '5', '2']",[],[],[],1.25
29.10.2024,Rispoli N.,0,,,,,,[],[],[],[],[],3.62
03.09.2024,La Vela G.,2,,,,,,[],"['3', '1', '5', '3', '6', '4']","['3', '1', '4', '4']",[],[],1.48
03.09.2024,Rispoli N.,1,,,,,,"['2', '1', '4', '1']","['3', '4', '4', '5']","['2', '3', '4', '3']",[],[],2.53
27.08.2024,Pennaforti G.,2,,,,,,"['1', '0', '3', '0', '5', '2']","['4', '5', '6', '5']",[],[],[],1.06
27.08.2024,Rispoli N.,0,,,,,,"['2', '4']","['2', '0']",[],[],[],7.80
14.08.2024,Tudorica A. N.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '3', '0', '4', '1']",[],[],[],1.42
14.08.2024,Rispoli N.,0,,,,,,[],"['1', '3']",[],[],[],2.72
30.07.2024,Ovcharenko O.,2,,,,,,"['1', '0']","['3', '1', '5', '1']","['1', '0', '4', '1']",[],[],1.03
30.07.2024,Rispoli N.,1,,,,,,"['2', '2', '4', '2']",[],[],[],[],8.30
17.07.2024,Pennaforti G.,2,,,,,,"['2', '1', '5', '2']","['1', '0', '3', '0', '5', '2']",[],[],[],1.15
17.07.2024,Rispoli N.,0,,,,,,[],"['2', '4']",[],[],[],5.03
01.11.2023,Oradini G.,2,,,,,,"['2', '2', '6', '4']","['5', '3']",[],[],[],1.04
01.11.2023,Rispoli N.,0,,,,,,"['2', '1']",[],[],[],[],9.25
31.10.2023,Rispoli N.,2,,,,,,"['2', '1', '4', '1']","['5', '4']",[],[],[],1.36
31.10.2023,Prinoth P.,0,,,,,,[],[],[],[],[],2.95
31.07.2023,Erhard M.,2,,,,,,"['4', '2', '6', '2']","['1', '1']","['2', '0', '4', '0', '6', '0']",[],[],1.02
31.07.2023,Rispoli N.,1,,,,,,[],"['1', '0', '3', '2']",[],[],[],11.20
23.10.2022,Bachinger M.,2,,,,,,13,2,58%,75% (30/40),79% (23/29),80% (4/5),27% (11/41),53% (25/47),15% (2/13),77% (53/69),41% (36/88),57% (89/157),91% (10/11),18% (2/11),55% (12/22),"['5', '5']","['4', '3']",[],[],[],-
23.10.2022,Rispoli N.,0,,,,,,6,3,47%,73% (30/41),47% (22/47),85% (11/13),25% (10/40),21% (6/29),20% (1/5),59% (52/88),23% (16/69),43% (68/157),82% (9/11),9% (1/11),45% (10/22),"['4', '3']",[],[],[],[],23.00
30.07.2019,Rondoni P.,2,,,,,,"['2', '0', '5', '1']","['1', '2', '4', '3']",[],[],[],1.01
30.07.2019,Rispoli N.,0,,,,,,[],"['2', '0']",[],[],[],24.00
