Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,408/301,347/238,53/53,7/8,1/2,-
2024,1/3,1/3,-,-,-,-
2023,2/2,0/1,2/1,-,-,-
2022,0/5,0/4,0/1,-,-,-
2021,0/2,0/1,0/1,-,-,-
2020,0/1,0/1,-,-,-,-
2019,2/2,2/2,-,-,-,-
2018,3/9,2/6,1/3,-,-,-
2017,20/28,13/21,3/5,3/1,1/1,-
2016,33/38,29/27,0/4,4/7,-,-
2015,36/32,31/28,5/4,-,-,-
2014,20/23,18/19,2/4,-,-,-
2013,44/17,36/14,8/3,-,-,-
2012,37/18,31/13,6/5,-,-,-
2011,33/31,32/23,1/7,-,0/1,-
2010,60/24,48/17,12/7,-,-,-
2009,47/22,37/17,10/5,-,-,-
2008,47/29,44/27,3/2,-,-,-
2007,12/10,12/9,0/1,-,-,-
2006,11/4,11/4,-,-,-,-
2004,0/1,0/1,-,-,-,-
