Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,187/157,12/21,159/123,13/8,-,3/5
2024,4/4,1/1,2/3,-,-,1/0
2023,1/3,-,1/3,-,-,-
2022,2/7,0/4,2/3,-,-,-
2021,0/5,0/4,0/1,-,-,-
2020,0/1,-,-,0/1,-,-
2019,7/9,2/2,5/7,-,-,-
2018,5/8,0/1,5/7,-,-,-
2017,11/14,3/5,8/9,-,-,-
2016,26/16,-,22/15,2/1,-,2/0
2015,5/5,-,5/5,-,-,-
2014,8/4,-,6/3,2/1,-,-
2013,4/4,-,4/3,0/1,-,-
2012,0/4,-,-,-,-,0/4
2011,25/15,-,23/14,2/1,-,-
2010,25/18,-,21/16,4/2,-,-
2009,28/18,-,25/16,3/1,-,0/1
2008,10/4,5/2,5/2,-,-,-
2007,18/8,1/2,17/6,-,-,-
2006,6/5,-,6/5,-,-,-
2005,2/3,-,2/3,-,-,-
2004,0/2,-,0/2,-,-,-
