Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  US Open (USA),hard,header
28.08. 00:55,Rybakina E.,2,6,7^7,,,,11,7,50%,79% (30/38),47% (18/38),80% (4/5),39% (15/38),52% (13/25),50% (3/6),32,32,92% (12/13),7,63% (48/76),44% (28/63),55% (76/139),5,90% (9/10),33% (3/9),63% (12/19),"['3', '1', '5', '1']","['4', '3']",[],[],[],1.04
28.08. 00:55,Aiava D.,0,1,6^1,,,,5,5,60%,61% (23/38),48% (12/25),50% (3/6),21% (8/38),53% (20/38),20% (1/5),13,22,67% (4/6),7,56% (35/63),37% (28/76),45% (63/139),2,67% (6/9),10% (1/10),37% (7/19),[],"['4', '4']",[],[],[],12.50
WTA - SINGLES :  Cincinnati (USA),hard,header
15.08. 20:40,Rybakina E.,1,6,6^3,4,,,20,17,47%,72% (42/58),35% (23/65),65% (11/17),31% (20/64),64% (29/45),86% (6/7),6,53% (64/121),45% (49/109),49% (113/230),3,63% (10/16),40% (6/15),52% (16/31),"['1', '1', '2', '2', '5', '3']","['2', '3', '4', '5', '6', '5']",[],[],[],1.36
15.08. 20:40,Fernandez L.,2,3,7^7,6,,,5,13,59%,69% (44/64),36% (16/45),14% (1/7),28% (16/58),65% (42/65),35% (6/17),6,55% (60/109),47% (57/121),51% (117/230),3,60% (9/15),38% (6/16),48% (15/31),"['1', '0', '2', '1']","['3', '1', '5', '3', '6', '6']","['4', '3']",[],[],3.20
WTA - SINGLES :  Wimbledon (United Kingdom),grass,header
11.07. 21:35,Rybakina E.,1,6,3,4,,,8,3,58%,67% (33/49),47% (17/36),33% (2/6),33% (24/73),62% (18/29),33% (3/9),38,37,67% (18/27),6,59% (50/85),41% (42/102),49% (92/187),4,71% (10/14),21% (3/14),46% (13/28),2320,"['2', '0', '4', '0', '5', '1']",[],[],[],[],1.20
11.07. 21:35,Krejcikova B.,2,3,6,6,,,4,6,72%,67% (49/73),38% (11/29),67% (6/9),33% (16/49),53% (19/36),67% (4/6),25,26,73% (11/15),5,59% (60/102),41% (35/85),51% (95/187),3,79% (11/14),29% (4/14),54% (15/28),2300,"['1', '4', '2', '5']","['4', '2']","['4', '3']",[],[],4.76
10.07. 18:05,Rybakina E.,2,6,6,,,,7,1,51%,85% (22/26),52% (13/25),50% (1/2),39% (13/33),71% (10/14),67% (4/6),28,15,67% (12/18),6,69% (35/51),49% (23/47),59% (58/98),5,89% (8/9),50% (4/8),71% (12/17),1113,"['1', '1', '5', '3']","['1', '0', '5', '2']",[],[],[],1.29
10.07. 18:05,Svitolina E.,0,3,2,,,,1,4,70%,61% (20/33),29% (4/14),33% (2/6),15% (4/26),48% (12/25),50% (1/2),8,8,75% (3/4),4,51% (24/47),31% (16/51),41% (40/98),1,50% (4/8),11% (1/9),29% (5/17),1137,"['1', '0']",[],[],[],[],3.74
08.07. 18:10,Rybakina E.,1,6,3,,,,7,1,51%,86% (18/21),35% (7/20),67% (2/3),60% (15/25),60% (6/10),67% (4/6),25,12,63% (5/8),15,61% (25/41),60% (21/35),61% (46/76),8,83% (5/6),67% (4/6),75% (9/12),989,"['3', '3', '5', '3']","['1', '0', '3', '0']",[],[],[],1.31
08.07. 18:10,Kalinskaya A.,0,3,0,,,,1,1,71%,40% (10/25),40% (4/10),33% (2/6),14% (3/21),65% (13/20),33% (1/3),9,9,100% (1/1),4,40% (14/35),39% (16/41),39% (30/76),2,33% (2/6),17% (1/6),25% (3/12),1070,"['1', '0']",[],[],[],[],3.53
06.07. 23:20,Rybakina E.,2,6,6,,,,9,4,69%,81% (25/31),43% (6/14),100% (1/1),57% (13/23),68% (13/19),45% (5/11),36,21,86% (12/14),8,69% (31/45),62% (26/42),66% (57/87),7,100% (7/7),83% (5/6),92% (12/13),1141,"['2', '0', '4', '0', '6', '0']","['3', '1', '5', '1']",[],[],[],1.29
06.07. 23:20,Wozniacki C.,0,0,1,,,,0,2,55%,43% (10/23),32% (6/19),55% (6/11),19% (6/31),57% (8/14),0% (0/1),4,6,50% (2/4),3,38% (16/42),31% (14/45),34% (30/87),1,17% (1/6),0% (0/7),8% (1/13),1095,[],[],[],[],[],3.74
04.07. 21:25,Rybakina E.,2,6,3,6,,,5,3,64%,75% (42/56),48% (15/31),77% (10/13),45% (32/71),42% (13/31),33% (4/12),29,46,61% (22/36),7,66% (57/87),44% (45/102),54% (102/189),3,79% (11/14),31% (4/13),56% (15/27),2204,"['3', '1', '5', '3']","['1', '2']","['2', '0']",[],[],1.05
04.07. 21:25,Siegemund L.,1,3,6,3,,,1,3,70%,55% (39/71),58% (18/31),67% (8/12),25% (14/56),52% (16/31),23% (3/13),13,30,69% (9/13),5,56% (57/102),34% (30/87),46% (87/189),3,69% (9/13),21% (3/14),44% (12/27),2223,"['2', '3']","['2', '0', '5', '3']",[],[],[],11.00
02.07. 17:40,Rybakina E.,2,6,6,,,,3,4,59%,92% (22/24),41% (7/17),50% (1/2),34% (10/29),66% (25/38),56% (5/9),16,18,73% (11/15),6,71% (29/41),52% (35/67),59% (64/108),9,88% (7/8),63% (5/8),75% (12/16),1251,"['3', '3', '5', '3']","['1', '0', '3', '0', '6', '1']",[],[],[],1.08
02.07. 17:40,Ruse G.,0,3,1,,,,2,7,43%,66% (19/29),34% (13/38),44% (4/9),8% (2/24),59% (10/17),50% (1/2),11,25,38% (3/8),4,48% (32/67),29% (12/41),41% (44/108),2,38% (3/8),13% (1/8),25% (4/16),1176,"['1', '0']",[],[],[],[],8.00
WTA - SINGLES :  Berlin (Germany),grass,header
21.06. 14:45,Azarenka V.,0,3,,,,,1,1,50%,75% (6/8),50% (4/8),100% (1/1),20% (1/5),75% (6/8),50% (1/2),7,63% (10/16),54% (7/13),59% (17/29),3,100% (2/2),50% (1/2),75% (3/4),"['2', '1']",[],[],[],[],3.13
21.06. 14:45,Rybakina E.,0,1,,,,,2,2,38%,80% (4/5),25% (2/8),50% (1/2),25% (2/8),50% (4/8),0% (0/1),3,46% (6/13),38% (6/16),41% (12/29),1,50% (1/2),0% (0/2),25% (1/4),[],[],[],[],[],1.38
20.06. 14:40,Rybakina E.,2,6,7,,,,5,2,65%,78% (31/40),50% (11/22),33% (1/3),35% (17/49),61% (17/28),36% (4/11),9,68% (42/62),44% (34/77),55% (76/139),3,82% (9/11),36% (4/11),59% (13/22),"['2', '0', '6', '4']","['3', '3', '7', '5']",[],[],[],1.26
20.06. 14:40,Kudermetova V.,0,4,5,,,,1,3,64%,65% (32/49),39% (11/28),64% (7/11),23% (9/40),50% (11/22),67% (2/3),6,56% (43/77),32% (20/62),45% (63/139),2,64% (7/11),18% (2/11),41% (9/22),"['4', '5']","['1', '0']",[],[],[],3.90
WTA - SINGLES :  French Open (France),clay,header
05.06. 17:55,Rybakina E.,1,2,6,4,,,10,3,67%,59% (34/58),38% (11/29),56% (9/16),43% (28/65),36% (10/28),45% (5/11),35,48,68% (15/22),5,52% (45/87),41% (38/93),46% (83/180),3,50% (7/14),36% (5/14),43% (12/28),[],"['2', '2', '4', '4', '6', '4']","['1', '1', '2', '2']",[],[],1.28
05.06. 17:55,Paolini J.,2,6,4,6,,,1,1,70%,57% (37/65),64% (18/28),55% (6/11),41% (24/58),62% (18/29),44% (7/16),22,22,67% (4/6),7,59% (55/93),48% (42/87),54% (97/180),3,64% (9/14),50% (7/14),57% (16/28),"['1', '0', '5', '2']","['2', '1', '4', '3']","['1', '0', '2', '1', '5', '4']",[],[],3.78
03.06. 14:40,Rybakina E.,2,6,6,,,,5,1,54%,77% (20/26),50% (11/22),33% (1/3),39% (15/38),62% (13/21),71% (5/7),26,23,67% (12/18),6,65% (31/48),47% (28/59),55% (59/107),3,78% (7/9),50% (5/10),63% (12/19),"['1', '0', '3', '2']","['1', '0', '4', '1', '6', '3']",[],[],[],1.31
03.06. 14:40,Svitolina E.,0,4,3,,,,5,3,64%,61% (23/38),38% (8/21),29% (2/7),23% (6/26),50% (11/22),67% (2/3),12,15,40% (2/5),7,53% (31/59),35% (17/48),45% (48/107),2,50% (5/10),22% (2/9),37% (7/19),"['1', '1']","['2', '4']",[],[],[],3.53
01.06. 15:40,Rybakina E.,2,6,6,,,,3,2,67%,75% (27/36),44% (8/18),33% (1/3),54% (15/28),47% (8/17),83% (5/6),24,19,35% (6/17),9,65% (35/54),51% (23/45),59% (58/99),4,78% (7/9),56% (5/9),67% (12/18),"['3', '3', '4', '4', '6', '4']","['3', '1', '6', '2']",[],[],[],1.16
01.06. 15:40,Mertens E.,0,4,2,,,,0,3,62%,46% (13/28),53% (9/17),17% (1/6),25% (9/36),56% (10/18),67% (2/3),13,15,63% (5/8),6,49% (22/45),35% (19/54),41% (41/99),2,44% (4/9),22% (2/9),33% (6/18),"['3', '2', '4', '3']",[],[],[],[],5.37
30.05. 16:10,Rybakina E.,2,6,6,,,,8,1,74%,79% (34/43),40% (6/15),67% (2/3),33% (11/33),59% (10/17),75% (3/4),28,20,69% (11/16),8,69% (40/58),42% (21/50),56% (61/108),4,90% (9/10),33% (3/9),63% (12/19),"['5', '3']","['3', '4', '5', '4']",[],[],[],1.08
30.05. 16:10,Rus A.,0,3,4,,,,1,3,66%,67% (22/33),41% (7/17),25% (1/4),21% (9/43),60% (9/15),33% (1/3),10,6,100% (1/1),5,58% (29/50),31% (18/58),44% (47/108),2,67% (6/9),10% (1/10),37% (7/19),[],"['4', '2']",[],[],[],8.63
28.05. 14:40,Rybakina E.,2,6,6,,,,5,4,66%,69% (27/39),30% (6/20),25% (1/4),44% (11/25),75% (21/28),60% (6/10),36,21,67% (14/21),10,56% (33/59),60% (32/53),58% (65/112),10,67% (6/9),75% (6/8),71% (12/17),"['2', '2', '4', '2', '6', '2']","['2', '0', '4', '0', '5', '1']",[],[],[],1.05
28.05. 14:40,Minnen G.,0,2,3,,,,3,2,47%,56% (14/25),25% (7/28),40% (4/10),31% (12/39),70% (14/20),75% (3/4),13,7,29% (2/7),6,40% (21/53),44% (26/59),42% (47/112),2,25% (2/8),33% (3/9),29% (5/17),"['1', '0']","['1', '4', '2', '5']",[],[],[],11.00
WTA - SINGLES :  Madrid (Spain),clay,header
03.05. 01:10,Rybakina E.,1,6,5,6^5,,,9,3,61%,71% (46/65),59% (24/41),63% (5/8),23% (13/56),50% (16/32),40% (4/10),6,66% (70/106),33% (29/88),51% (99/194),5,81% (13/16),27% (4/15),55% (17/31),"['3', '1', '5', '1']","['2', '1', '5', '4']",[],[],[],2.21
03.05. 01:10,Sabalenka A.,2,1,7,7^7,,,4,4,64%,77% (43/56),50% (16/32),60% (6/10),29% (19/65),41% (17/41),38% (3/8),8,67% (59/88),34% (36/106),49% (95/194),4,73% (11/15),19% (3/16),45% (14/31),[],"['4', '4', '5', '5', '7', '5']",[],[],[],1.69
01.05. 15:40,Rybakina E.,2,4,7^7,7,,,6,8,61%,70% (50/71),48% (22/46),70% (7/10),37% (31/84),38% (10/26),25% (3/12),8,62% (72/117),37% (41/110),50% (113/227),5,82% (14/17),18% (3/17),50% (17/34),[],"['2', '2']","['4', '5', '6', '5']",[],[],1.19
01.05. 15:40,Putintseva Y.,1,6,6^4,5,,,0,2,76%,63% (53/84),62% (16/26),75% (9/12),30% (21/71),52% (24/46),30% (3/10),7,63% (69/110),38% (45/117),50% (114/227),3,82% (14/17),18% (3/17),50% (17/34),"['3', '2']","['2', '1']","['4', '2']",[],[],4.85
