Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ATP - SINGLES Washington (USA) - Qualification,hard,header
20.07.,Sell K.,0,,,,,,3,4,57%,67% (22/33),40% (10/25),33% (2/6),22% (7/32),42% (8/19),33% (1/3),11,40,69% (11/16),55% (32/58),29% (15/51),43% (47/109),5,0,56% (5/9),11% (1/9),33% (6/18),[],[],[],[],[],0
20.07.,Moutet C.,2,,,,,,4,0,63%,78% (25/32),58% (11/19),67% (2/3),33% (11/33),60% (15/25),67% (4/6),12,26,100% (3/3),71% (36/51),45% (26/58),57% (62/109),5,0,89% (8/9),44% (4/9),67% (12/18),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Granby (Canada),hard,header
15.07.,Sell K.,0,,,,,,1,3,64%,62% (23/37),57% (12/21),67% (4/6),17% (7/41),55% (16/29),0% (0/3),11,27,83% (10/12),60% (35/58),33% (23/70),45% (58/128),5,1,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],0
15.07.,Watanuki Y.,2,,,,,,9,4,59%,83% (34/41),45% (13/29),100% (3/3),38% (14/37),43% (9/21),33% (2/6),25,32,75% (12/16),67% (47/70),40% (23/58),55% (70/128),5,0,100% (10/10),22% (2/9),63% (12/19),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Winnipeg (Canada),hard,header
09.07.,Sell K.,1,,,,,,3,6,71%,70% (59/84),41% (14/34),56% (5/9),32% (24/75),54% (19/35),67% (6/9),24,72,79% (11/14),62% (73/118),39% (43/110),51% (116/228),3,0,75% (12/16),38% (6/16),56% (18/32),[],[],[],[],[],0
09.07.,Shimizu Y.,2,,,,,,3,4,68%,68% (51/75),46% (16/35),33% (3/9),30% (25/84),59% (20/34),44% (4/9),21,57,76% (13/17),61% (67/110),38% (45/118),49% (112/228),7,5,63% (10/16),25% (4/16),44% (14/32),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Cary (USA),hard,header
02.07.,Sell K.,0,,,,,,7,3,59%,80% (33/41),38% (11/29),33% (1/3),26% (9/34),33% (11/33),0% (0/0),28,31,65% (11/17),63% (44/70),30% (20/67),47% (64/137),4,1,82% (9/11),0% (0/10),43% (9/21),[],[],[],[],[],0
02.07.,Kypson P.,2,,,,,,7,4,51%,74% (25/34),67% (22/33),0% (0/0),20% (8/41),62% (18/29),67% (2/3),20,23,100% (2/2),70% (47/67),37% (26/70),53% (73/137),6,0,100% (10/10),18% (2/11),57% (12/21),[],[],[],[],[],0
01.07.,Sell K.,2,,,,,,14,3,65%,84% (31/37),55% (11/20),100% (1/1),31% (10/32),58% (18/31),38% (3/8),24,24,100% (3/3),74% (42/57),44% (28/63),58% (70/120),6,0,100% (10/10),33% (3/9),68% (13/19),[],[],[],[],[],0
01.07.,Nakagawa N.,0,,,,,,5,1,51%,69% (22/32),42% (13/31),63% (5/8),16% (6/37),45% (9/20),0% (0/1),10,28,75% (3/4),56% (35/63),26% (15/57),42% (50/120),4,0,67% (6/9),0% (0/10),32% (6/19),[],[],[],[],[],0
ITF MEN - SINGLES M15 Lakewood,hard,header
CHALLENGER MEN - SINGLES Tyler (USA),hard,header
07.06.,Sell K.,0,,,,,,3,5,51%,54% (28/52),49% (24/49),25% (3/12),22% (10/46),57% (16/28),32% (8/25),51% (52/101),35% (26/74),45% (78/175),4,1,18% (2/11),73% (8/11),45% (10/22),[],[],[],[],[],0
07.06.,Wu Y.,2,,,,,,9,5,62%,78% (36/46),43% (12/28),68% (17/25),46% (24/52),51% (25/49),75% (9/12),65% (48/74),49% (49/101),55% (97/175),6,0,27% (3/11),82% (9/11),55% (12/22),[],[],[],[],[],0
06.06.,Sell K.,2,,,,,,5,3,56%,75% (36/48),63% (24/38),60% (3/5),34% (23/67),41% (12/29),30% (3/10),70% (60/86),36% (35/96),52% (95/182),5,0,87% (13/15),20% (3/15),53% (16/30),[],[],[],[],[],0
06.06.,Martin A.,1,,,,,,9,1,70%,66% (44/67),59% (17/29),70% (7/10),25% (12/48),37% (14/38),40% (2/5),64% (61/96),30% (26/86),48% (87/182),5,0,80% (12/15),13% (2/15),47% (14/30),[],[],[],[],[],0
05.06.,Sell K.,2,,,,,,6,1,51%,63% (22/35),74% (25/34),100% (6/6),34% (12/35),65% (13/20),43% (3/7),68% (47/69),45% (25/55),58% (72/124),6,0,100% (9/9),38% (3/8),71% (12/17),[],[],[],[],[],0
05.06.,Krueger M.,0,,,,,,0,4,64%,66% (23/35),35% (7/20),57% (4/7),37% (13/35),26% (9/34),0% (0/6),55% (30/55),32% (22/69),42% (52/124),4,2,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],0
03.06.,Sell K.,2,,,,,,9,2,62%,68% (39/57),51% (18/35),78% (7/9),29% (15/52),61% (17/28),75% (3/4),62% (57/92),40% (32/80),52% (89/172),8,0,85% (11/13),23% (3/13),54% (14/26),[],[],[],[],[],0
03.06.,Mayo A.,1,,,,,,9,4,65%,71% (37/52),39% (11/28),25% (1/4),32% (18/57),49% (17/35),22% (2/9),60% (48/80),38% (35/92),48% (83/172),2,1,77% (10/13),15% (2/13),46% (12/26),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Little Rock (USA),hard,header
28.05.,Sell K.,0,,,,,,2,4,47%,63% (22/35),46% (18/39),67% (8/12),36% (16/44),26% (5/19),20% (1/5),54% (40/74),33% (21/63),45% (61/137),3,2,64% (7/11),10% (1/10),38% (8/21),[],[],[],[],[],0
28.05.,Jubb P.,2,,,,,,2,3,70%,64% (28/44),74% (14/19),80% (4/5),37% (13/35),54% (21/39),33% (4/12),67% (42/63),46% (34/74),55% (76/137),7,0,90% (9/10),36% (4/11),62% (13/21),[],[],[],[],[],0
ATP - SINGLES Geneva (Switzerland),clay,header
20.05.,Sell K.,0,,,,,,0,0,50%,37% (7/19),42% (8/19),17% (1/6),184 km/h,150 km/h,13% (3/23),10% (1/10),0% (0/0),4,10,50% (3/6),39% (15/38),12% (4/33),27% (19/71),2,0,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],0
20.05.,Marozsan F.,2,,,,,,4,0,70%,87% (20/23),90% (9/10),0% (0/0),199 km/h,162 km/h,63% (12/19),58% (11/19),83% (5/6),20,11,100% (2/2),88% (29/33),61% (23/38),73% (52/71),8,0,100% (7/7),71% (5/7),86% (12/14),[],[],[],[],[],0
ATP - SINGLES Geneva (Switzerland) - Qualification,clay,header
