Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,657/410,446/231,142/127,52/37,13/13,4/2
2024,22/17,10/8,9/6,0/1,1/2,2/0
2023,30/17,3/2,23/13,-,4/2,-
2022,27/15,18/6,3/5,6/3,-,0/1
2021,14/14,5/5,7/7,-,2/2,-
2020,33/13,17/5,14/8,-,-,2/0
2019,37/28,18/11,13/13,5/2,1/1,0/1
2018,29/20,26/15,2/4,1/1,-,-
2017,14/12,13/4,1/7,0/1,-,-
2016,41/25,25/7,12/11,3/4,1/3,-
2015,50/20,34/11,6/3,7/5,3/1,-
2014,50/19,35/12,10/3,4/3,1/1,-
2013,35/7,25/4,1/1,9/2,-,-
2012,26/7,22/3,0/2,4/2,-,-
2011,21/25,18/19,2/4,1/1,0/1,-
2010,38/30,25/17,11/12,2/1,-,-
2009,37/28,31/17,6/9,0/2,-,-
2008,15/23,7/13,6/7,2/3,-,-
2007,35/20,32/17,3/3,-,-,-
2006,34/24,26/17,4/3,4/4,-,-
2005,36/17,28/13,4/3,4/1,-,-
2004,11/9,10/7,1/2,-,-,-
2003,19/10,15/8,4/1,0/1,-,-
2002,3/10,3/10,-,-,-,-
