Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF WOMEN - SINGLES :  W35 Collonge-Bellerive (Switzerland),clay,header
31.08. 15:45,Smith T. N.,1,5,7^7,6^6,,,"['5', '5']","['1', '1', '5', '3']","['4', '3', '6', '5']",[],[],1.99
31.08. 15:45,Aksu A.,2,7,6^3,7^8,,,"['3', '2', '6', '5']","['1', '0', '4', '5']","['5', '5', '6', '6']",[],[],1.74
30.08. 15:00,Smith T. N.,2,6,6,,,,"['2', '2', '4', '2', '6', '4']","['5', '3']",[],[],[],1.49
30.08. 15:00,Scilipoti S.,0,4,3,,,,"['2', '1', '4', '5']",[],[],[],[],2.50
29.08. 14:35,Smith T. N.,2,7^10,6,,,,"['4', '2']","['3', '2']",[],[],[],1.11
29.08. 14:35,Szostak M.,0,6^8,4,,,,"['3', '4']",[],[],[],[],5.99
28.08. 13:45,Smith T. N.,1,6,4,,,,"['1', '0', '3', '0', '6', '1']","['2', '0', '4', '0']",[],[],[],1.04
28.08. 13:45,Giordano M.,0,1,0,,,,[],[],[],[],[],9.00
ITF WOMEN - SINGLES :  W35 Verbier (Switzerland),clay,header
25.08. 19:20,Smith T. N.,0,4,5,,,,"['2', '0']","['1', '1']",[],[],[],2.02
25.08. 19:20,Schmidt L.,2,6,7,,,,"['2', '3', '5', '4']","['1', '0', '6', '5']",[],[],[],1.72
24.08. 20:00,Smith T. N.,2,6,6,,,,"['5', '3']","['2', '1']",[],[],[],1.47
24.08. 20:00,Marcinkevica D.,0,3,4,,,,[],[],[],[],[],2.56
23.08. 16:20,Di Sarra F.,0,3,,,,,[],[],[],[],[],1.94
23.08. 16:20,Smith T. N.,0,4,,,,,[],[],[],[],[],1.78
22.08. 15:50,Smith T. N.,2,6,6,,,,"['4', '2', '6', '2']","['2', '2', '4', '2']",[],[],[],1.27
22.08. 15:50,Zund S.,0,2,3,,,,[],"['2', '1']",[],[],[],3.51
20.08. 15:00,Smith T. N.,2,6,6,,,,"['3', '1', '5', '3', '6', '4']","['3', '1', '5', '1']",[],[],[],1.14
20.08. 15:00,Fontenel C.,0,4,1,,,,"['2', '3', '4', '5']",[],[],[],[],5.14
ITF WOMEN - SINGLES :  W35 Mohammedia (Morocco),clay,header
30.07. 15:40,Smith T. N.,0,5,4,,,,"['1', '1', '2', '4', '4', '4']","['1', '1', '3', '5']",[],[],[],1.20
30.07. 15:40,Adkar V.,2,7,6,,,,"['1', '0', '2', '1', '4', '1', '6', '5']","['1', '0', '3', '2', '5', '2']",[],[],[],4.27
ITF WOMEN - SINGLES :  W35 Casablanca (Morocco),clay,header
24.07. 19:10,Smith T. N.,1,6,3,5,,,"['1', '1', '3', '3', '6', '4']",[],"['1', '0', '2', '1', '3', '4', '5', '4']",[],[],1.90
24.07. 19:10,Rakotomanga Rajaonah T.,2,4,6,7,,,"['1', '0', '2', '1']","['4', '3', '6', '3']","['1', '1', '2', '2', '4', '2', '5', '5', '7', '5']",[],[],1.82
ITF WOMEN - SINGLES :  W15 Casablanca (Morocco),clay,header
CHALLENGER WOMEN - SINGLES :  Contrexeville (France) - Qualification,clay,header
08.07. 17:05,Smith T. N.,1,6,2,3,,,2,4,49%,59% (22/37),56% (22/39),38% (3/8),35% (28/80),63% (19/30),19% (3/16),9,58% (44/76),43% (47/110),49% (91/186),3,62% (8/13),21% (3/14),41% (11/27),"['4', '3']","['2', '3']","['2', '5']",[],[],1.58
08.07. 17:05,Martynov D.,2,4,6,6,,,4,6,73%,65% (52/80),37% (11/30),81% (13/16),41% (15/37),44% (17/39),63% (5/8),4,57% (63/110),42% (32/76),51% (95/186),8,79% (11/14),38% (5/13),59% (16/27),[],"['3', '1', '4', '2', '6', '2']","['2', '0', '4', '0']",[],[],2.31
07.07. 17:50,Smith T. N.,2,6,6,,,,0,5,52%,62% (26/42),46% (18/39),77% (10/13),48% (15/31),52% (11/21),56% (5/9),5,54% (44/81),50% (26/52),53% (70/133),3,70% (7/10),56% (5/9),63% (12/19),"['1', '1', '5', '3']","['3', '2', '4', '3', '5', '4']",[],[],[],1.24
07.07. 17:50,Tang Q.,0,3,4,,,,2,1,60%,52% (16/31),48% (10/21),44% (4/9),38% (16/42),54% (21/39),23% (3/13),5,50% (26/52),46% (37/81),47% (63/133),1,44% (4/9),30% (3/10),37% (7/19),"['1', '0']","['3', '3', '4', '4']",[],[],[],3.85
ITF WOMEN - SINGLES :  W35 Stuttgart-Vaihingen (Germany),clay,header
ITF WOMEN - SINGLES :  W35 Klosters (Switzerland),clay,header
ITF WOMEN - SINGLES :  W50 Otocec 2 (Slovenia),clay,header
30.05. 15:10,Smith T. N.,0,1,1,,,,"['1', '5']","['1', '4']",[],[],[],3.24
30.05. 15:10,Mboko V.,2,6,6,,,,"['1', '0', '3', '0', '5', '0', '6', '1']","['2', '0', '4', '0', '5', '1']",[],[],[],1.31
29.05. 13:40,Smith T. N.,2,7^7,3,6,,,"['1', '0']","['3', '5']","['2', '1', '5', '4']",[],[],1.37
29.05. 13:40,Sakellaridi S.,1,6^2,6,4,,,"['2', '2']","['3', '2', '5', '2', '6', '3']","['3', '3']",[],[],2.92
28.05. 13:05,Smith T. N.,2,6,6,,,,"['2', '1', '4', '1', '5', '2']","['1', '2', '4', '3']",[],[],[],1.39
