Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ITF MEN - SINGLES M25 Louisville,hard,header
ITF MEN - SINGLES M25 Bakio (Spain),hard,header
ITF MEN - SINGLES M25 Martos (Spain),hard,header
ITF MEN - SINGLES M25 Columbus,hard,header
CHALLENGER MEN - SINGLES Columbus (USA) - Qualification,hard,header
15.09.2024,Stearns P.,1,,,,,,5,4,64%,67% (44/66),35% (13/37),72% (13/18),26% (14/53),55% (16/29),38% (3/8),55% (57/103),37% (30/82),47% (87/185),4,3,62% (8/13),23% (3/13),42% (11/26),[],[],[],[],[],0
15.09.2024,Zahraj P.,2,,,,,,3,5,65%,74% (39/53),45% (13/29),63% (5/8),33% (22/66),65% (24/37),28% (5/18),63% (52/82),45% (46/103),53% (98/185),6,0,77% (10/13),38% (5/13),58% (15/26),[],[],[],[],[],0
ITF MEN - SINGLES M25 Edwardsville,hard,header
ITF MEN - SINGLES M15 Lakewood,hard,header
ITF MEN - SINGLES M25 Wichita,hard,header
ITF MEN - SINGLES M25 Ithaca,hard,header
ITF MEN - SINGLES M25 Columbus,hard,header
CHALLENGER MEN - SINGLES Columbus (USA) - Qualification,hard,header
19.09.2023,Stearns P.,0,,,,,,2,4,62%,58% (19/33),30% (6/20),38% (3/8),21% (7/34),57% (12/21),20% (1/5),47% (25/53),35% (19/55),41% (44/108),44% (4/9),13% (1/8),29% (5/17),[],[],[],[],[],0
19.09.2023,Mayo A.,2,,,,,,5,2,62%,79% (27/34),43% (9/21),80% (4/5),42% (14/33),70% (14/20),63% (5/8),65% (36/55),53% (28/53),59% (64/108),88% (7/8),56% (5/9),71% (12/17),[],[],[],[],[],0
18.09.2023,Stearns P.,2,,,,,,5,7,51%,80% (43/54),46% (24/52),60% (3/5),20% (9/44),56% (30/54),44% (4/9),63% (67/106),40% (39/98),52% (106/204),88% (14/16),27% (4/15),58% (18/31),[],[],[],[],[],0
18.09.2023,Ponwith N.,1,,,,,,10,6,45%,80% (35/44),44% (24/54),56% (5/9),20% (11/54),54% (28/52),40% (2/5),60% (59/98),37% (39/106),48% (98/204),73% (11/15),13% (2/16),42% (13/31),[],[],[],[],[],0
ITF MEN - SINGLES M25 Columbus,hard,header
CHALLENGER MEN - SINGLES Columbus 2 (USA) - Qualification,hard,header
18.09.2022,Stearns P.,0,,,,,,4,6,47%,65% (20/31),46% (16/35),60% (6/10),30% (10/33),39% (13/33),50% (2/4),55% (36/66),35% (23/66),45% (59/132),60% (6/10),18% (2/11),38% (8/21),[],[],[],[],[],0
18.09.2022,Glinka D.,2,,,,,,12,4,50%,70% (23/33),61% (20/33),50% (2/4),35% (11/31),54% (19/35),40% (4/10),65% (43/66),45% (30/66),55% (73/132),82% (9/11),40% (4/10),62% (13/21),[],[],[],[],[],0
BOYS - SINGLES US Open (USA) - Qualification,hard,header
ITF MEN - SINGLES M15 Naples,clay,header
CHALLENGER MEN - SINGLES Columbus (USA) - Qualification,hard,header
23.01.2022,Stearns P.,0,,,,,,[],[],[],[],[],0
23.01.2022,Watanuki Y.,2,,,,,,[],[],[],[],[],0
