Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.08.,Steiner M.,2,,,,,,"['4', '2', '6', '4']","['3', '3', '6', '4']",[],[],[],2.11
27.08.,Bozemoj B.,0,,,,,,"['3', '4']","['1', '0']",[],[],[],1.68
18.08.,Paroulek T.,2,,,,,,0,6,50%,74% (31/42),48% (20/42),80% (8/10),29% (10/34),52% (22/42),33% (3/9),23,34,81% (13/16),61% (51/84),42% (32/76),52% (83/160),7,0,82% (9/11),30% (3/10),57% (12/21),"['1', '0', '2', '1']","['5', '3']",[],[],[],20.0
18.08.,Steiner M.,0,,,,,,3,4,45%,71% (24/34),48% (20/42),67% (6/9),26% (11/42),52% (22/42),20% (2/10),28,36,67% (12/18),58% (44/76),39% (33/84),48% (77/160),3,0,70% (7/10),18% (2/11),43% (9/21),"['1', '1', '3', '3']",[],[],[],[],1.76
17.08.,Steiner M.,2,,,,,,12,8,55%,66% (43/65),47% (25/53),44% (4/9),30% (25/82),67% (36/54),32% (7/22),39,49,64% (9/14),58% (68/118),45% (61/136),51% (129/254),6,0,71% (12/17),41% (7/17),56% (19/34),"['1', '0', '2', '1', '4', '5']","['2', '2', '5', '5', '7', '5']","['6', '4']",[],[],1.83
17.08.,Duda F.,1,,,,,,8,13,60%,70% (57/82),33% (18/54),68% (15/22),34% (22/65),53% (28/53),56% (5/9),46,63,65% (13/20),55% (75/136),42% (50/118),49% (125/254),4,3,59% (10/17),29% (5/17),44% (15/34),"['1', '1', '3', '3', '5', '3']","['1', '0', '3', '2']",[],[],[],21.0
30.07.,Perot R.,2,,,,,,"['4', '2', '6', '2']","['2', '2', '4', '2']",[],[],[],1.28
30.07.,Steiner M.,0,,,,,,[],"['2', '1']",[],[],[],3.40
24.07.,Jorda Sanchis D.,2,,,,,,"['2', '2', '5', '3']","['2', '3', '4', '5', '6', '5']",[],[],[],1.22
24.07.,Steiner M.,0,,,,,,"['1', '0']","['2', '0', '4', '2']",[],[],[],3.91
23.07.,Steiner M.,2,,,,,,"['1', '0', '3', '2', '5', '2']","['1', '0', '2', '3', '4', '5']","['2', '1', '5', '2', '6', '3']",[],[],1.36
23.07.,Gundacker J.,1,,,,,,"['2', '2']","['1', '1', '3', '1', '4', '2', '7', '5']","['3', '5']",[],[],2.94
27.06.,Stebe C.,2,,,,,,"['2', '0']","['3', '2', '6', '5']",[],[],[],1.27
27.06.,Steiner M.,0,,,,,,[],"['5', '5']",[],[],[],3.46
26.06.,Steiner M.,2,,,,,,"['1', '0', '3', '4', '5', '4']",[],"['2', '3', '4', '5']",[],[],1.63
26.06.,Fix D.,1,,,,,,"['1', '1', '4', '2']","['6', '4']","['2', '0', '5', '3']",[],[],2.16
25.06.,Steiner M.,2,,,,,,"['3', '2']","['1', '0', '3', '0']",[],[],[],3.04
25.06.,Beckley A.,0,,,,,,[],[],[],[],[],1.34
17.06.,Lopez Morillo I.,2,,,,,,"['1', '0', '5', '2']","['1', '0', '4', '1']",[],[],[],1.33
17.06.,Steiner M.,0,,,,,,[],[],[],[],[],3.09
21.05.,Berkieta T.,2,,,,,,"['2', '1']","['3', '4']","['1', '1', '4', '2', '5', '3']",[],[],1.43
21.05.,Steiner M.,1,,,,,,[],"['3', '1', '5', '3']","['1', '0', '3', '4']",[],[],2.66
14.05.,Edmund K.,2,,,,,,"['2', '0', '3', '1']","['1', '0', '4', '1', '6', '1']",[],[],[],1.20
14.05.,Steiner M.,0,,,,,,"['1', '2']",[],[],[],[],4.14
12.05.,Steiner M.,2,,,,,,"['2', '0']","['2', '1', '4', '1']",[],[],[],2.11
12.05.,Omarkhanov A.,0,,,,,,"['3', '4']",[],[],[],[],1.66
26.03.,Muhamad Rifqi F.,2,,,,,,"['3', '3', '7', '5']","['5', '5', '7', '5']",[],[],[],1.48
