Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,415/332,185/160,90/71,139/100,-,1/1
2024,34/23,6/9,28/14,-,-,-
2023,15/7,-,10/5,5/2,-,-
2022,36/33,9/11,10/12,17/10,-,-
2021,31/33,12/19,16/10,3/4,-,-
2020,13/18,3/6,8/9,1/2,-,1/1
2019,12/25,5/10,3/9,4/6,-,-
2018,33/21,14/8,1/2,18/11,-,-
2017,40/33,17/18,4/2,19/13,-,-
2016,60/28,41/18,-,19/10,-,-
2015,35/30,23/22,-,12/8,-,-
2014,41/27,28/16,0/2,13/9,-,-
2013,36/27,10/10,10/6,16/11,-,-
2012,19/19,10/8,-,9/11,-,-
2011,10/8,7/5,-,3/3,-,-
