Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ITF MEN - SINGLES M25 Brazzaville (Republic of the Congo),clay,header
ITF MEN - SINGLES M15 Lodz (Poland),clay,header
ITF MEN - SINGLES M15 Grodzisk Mazowiecki (Poland),clay,header
ITF MEN - SINGLES M15 Oradea (Romania),clay,header
ITF MEN - SINGLES M15 Kotka (Finland),clay,header
ITF MEN - SINGLES M25 Maputo (Mozambique),hard,header
ITF MEN - SINGLES M25 Monastir (Tunisia),hard,header
ITF MEN - SINGLES M15 Monastir 43 (Tunisia),hard,header
ITF MEN - SINGLES M15 Grodzisk Mazowiecki 2 (Poland),hard,header
ITF MEN - SINGLES M15 Szczawno (Poland),clay,header
ITF MEN - SINGLES M25 Poznan (Poland),clay,header
ITF MEN - SINGLES M25 Brazzaville 2 (Republic of the Congo),clay,header
ITF MEN - SINGLES M15 Lodz (Poland),clay,header
10.07.2024,Szymkowiak K.,1,,,,,,[],[],[],[],[],0
10.07.2024,Mashtakov N.,2,,,,,,[],[],[],[],[],0
ITF MEN - SINGLES M15 Monastir 18 (Tunisia),hard,header
02.05.2024,Szymkowiak K.,0,,,,,,[],[],[],[],[],0
02.05.2024,Singh K.,1,,,,,,[],[],[],[],[],0
01.05.2024,Szymkowiak K.,2,,,,,,[],[],[],[],[],0
01.05.2024,Brigida O.,0,,,,,,[],[],[],[],[],0
