Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER WOMEN - SINGLES :  Mumbai (India),hard,header
07.02. 13:40,Tararudee L.,1,5,6,2,,,4,9,61%,66% (41/62),46% (18/39),67% (10/15),36% (17/47),28% (7/25),60% (3/5),58% (59/101),33% (24/72),48% (83/173),4,2,67% (10/15),21% (3/14),45% (13/29),"['2', '0']","['2', '2', '5', '3']",[],[],[],2.84
07.02. 13:40,Sawangkaew M.,2,7,3,6,,,2,0,65%,64% (30/47),72% (18/25),40% (2/5),34% (21/62),54% (21/39),33% (5/15),67% (48/72),42% (42/101),52% (90/173),6,0,79% (11/14),33% (5/15),55% (16/29),"['4', '5', '6', '5']","['1', '0']","['4', '2', '6', '2']",[],[],1.44
05.02. 14:10,Tararudee L.,2,7^7,6,,,,6,2,68%,72% (33/46),55% (12/22),25% (1/4),34% (14/41),54% (15/28),67% (4/6),66% (45/68),42% (29/69),54% (74/137),5,0,73% (8/11),36% (4/11),55% (12/22),"['3', '1', '4', '4', '5', '5']","['1', '0']",[],[],[],1.97
05.02. 14:10,Schmiedlova A. K.,0,6^5,4,,,,0,6,59%,66% (27/41),46% (13/28),33% (2/6),28% (13/46),45% (10/22),75% (3/4),58% (40/69),34% (23/68),46% (63/137),5,1,64% (7/11),27% (3/11),45% (10/22),"['2', '3', '4', '3', '5', '4']",[],[],[],[],1.76
03.02. 16:35,Tararudee L.,2,6,4,6,,,3,4,61%,72% (31/43),43% (12/28),17% (1/6),52% (33/64),57% (20/35),47% (8/17),61% (43/71),54% (53/99),56% (96/170),8,0,62% (8/13),62% (8/13),62% (16/26),"['1', '1', '3', '1', '5', '3']","['2', '1', '4', '5']","['1', '0', '4', '1', '6', '1']",[],[],1.45
03.02. 16:35,Yamalapalli S.,1,3,6,1,,,2,7,65%,48% (31/64),43% (15/35),53% (9/17),28% (12/43),57% (16/28),83% (5/6),46% (46/99),39% (28/71),44% (74/170),2,0,38% (5/13),38% (5/13),38% (10/26),"['1', '0', '2', '3']","['2', '2', '5', '3', '6', '4']",[],[],[],2.63
WTA - SINGLES :  Singapore (Singapore) - Qualification,hard,header
25.01. 17:10,Tararudee L.,0,3,1,,,,2,1,67%,51% (20/39),26% (5/19),50% (6/12),33% (11/33),46% (6/13),67% (2/3),43% (25/58),37% (17/46),40% (42/104),2,1,25% (2/8),25% (2/8),25% (4/16),"['1', '4']","['1', '3']",[],[],[],1.97
25.01. 17:10,Sawangkaew M.,2,6,6,,,,7,2,72%,67% (22/33),54% (7/13),33% (1/3),49% (19/39),74% (14/19),50% (6/12),63% (29/46),57% (33/58),60% (62/104),8,0,75% (6/8),75% (6/8),75% (12/16),"['2', '0', '4', '0']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],[],1.76
ITF WOMEN - SINGLES :  W100 Bengaluru (India),hard,header
WTA - SINGLES :  Australian Open (Australia) - Qualification,hard,header
WTA - SINGLES :  Australian Open (Australia) - Qualification,hard,header
06.01. 14:15,Tararudee L.,1,0,6,4,,,1,10,60%,48% (24/50),33% (11/33),18% (2/11),43% (22/51),53% (20/38),46% (6/13),22,31,50% (8/16),42% (35/83),47% (42/89),45% (77/172),3,1,31% (4/13),46% (6/13),38% (10/26),[],"['1', '1', '3', '3', '6', '4']","['1', '1', '2', '2', '3', '3']",[],[],1.98
06.01. 14:15,Zidansek T.,2,6,4,6,,,0,4,57%,57% (29/51),47% (18/38),54% (7/13),52% (26/50),67% (22/33),82% (9/11),35,29,61% (14/23),53% (47/89),58% (48/83),55% (95/172),7,0,54% (7/13),69% (9/13),62% (16/26),"['1', '0', '3', '0', '5', '0']","['1', '0', '2', '1']","['1', '0', '2', '1', '3', '2', '5', '4']",[],[],1.83
ITF WOMEN - SINGLES :  W75 Nonthaburi (Thailand),hard,header
ITF WOMEN - SINGLES :  W75 Edmond,hard,header
ITF WOMEN - SINGLES :  W75 Rancho Santa Fe,hard,header
WTA - SINGLES :  Hua Hin 2 (Thailand),hard,header
19.09.2024,Tararudee L.,1,6,4,1,,,7,5,55%,65% (30/46),32% (12/37),45% (5/11),45% (23/51),30% (6/20),67% (4/6),51% (42/83),41% (29/71),46% (71/154),3,1,54% (7/13),33% (4/12),44% (11/25),"['2', '0', '4', '0', '6', '2']","['1', '1']",[],[],[],2.12
19.09.2024,Hontama M.,2,2,6,6,,,0,0,72%,55% (28/51),70% (14/20),33% (2/6),35% (16/46),68% (25/37),55% (6/11),59% (42/71),49% (41/83),54% (83/154),7,0,67% (8/12),46% (6/13),56% (14/25),"['2', '5']","['1', '0', '5', '4']","['2', '1', '4', '1', '6', '1']",[],[],1.74
16.09.2024,Tararudee L.,2,6,6,,,,6,4,51%,89% (16/18),53% (9/17),100% (2/2),55% (11/20),83% (15/18),67% (6/9),71% (25/35),68% (26/38),70% (51/73),7,0,100% (6/6),86% (6/7),92% (12/13),"['1', '0', '3', '0', '5', '0']","['2', '1', '4', '1', '6', '1']",[],[],[],1.24
16.09.2024,Naklo T.,0,0,1,,,,0,3,53%,45% (9/20),17% (3/18),33% (3/9),11% (2/18),47% (8/17),0% (0/2),32% (12/38),29% (10/35),30% (22/73),3,1,14% (1/7),0% (0/6),8% (1/13),[],[],[],[],[],4.15
ITF WOMEN - SINGLES :  W100 Incheon (South Korea),hard,header
WTA - SINGLES :  US Open (USA) - Qualification,hard,header
20.08.2024,Tararudee L.,1,6,4,4,,,4,5,58%,69% (31/45),55% (18/33),43% (3/7),34% (19/56),50% (18/36),40% (4/10),23,32,71% (10/14),63% (49/78),40% (37/92),51% (86/170),2,0,71% (10/14),29% (4/14),50% (14/28),"['3', '1', '6', '2']","['3', '5']","['2', '0']",[],[],3.04
20.08.2024,Li A.,2,2,6,6,,,1,3,61%,66% (37/56),50% (18/36),60% (6/10),31% (14/45),45% (15/33),57% (4/7),17,31,50% (7/14),60% (55/92),37% (29/78),49% (84/170),8,0,71% (10/14),29% (4/14),50% (14/28),[],"['2', '1', '5', '2']","['2', '3', '5', '4']",[],[],1.38
ITF WOMEN - SINGLES :  W75 Lexington,hard,header
ITF WOMEN - SINGLES :  W100 Figueira Da Foz (Portugal),hard,header
ITF WOMEN - SINGLES :  W75 Porto 2 (Portugal),hard,header
ITF WOMEN - SINGLES :  W50 Corroios-Seixal (Portugal),hard,header
WTA - SINGLES :  Wimbledon (United Kingdom) - Qualification,grass,header
26.06.2024,Tararudee L.,0,6^4,6^7,,,,3,3,55%,70% (33/47),50% (19/38),70% (7/10),23% (10/44),58% (23/40),60% (3/5),15,31,57% (4/7),61% (52/85),39% (33/84),50% (85/169),3,2,75% (9/12),25% (3/12),50% (12/24),"['4', '4']","['2', '1', '4', '5']",[],[],[],2.68
26.06.2024,Bai Z.,2,7^7,7^9,,,,2,1,52%,77% (34/44),43% (17/40),40% (2/5),30% (14/47),50% (19/38),30% (3/10),12,45,50% (5/10),61% (51/84),39% (33/85),50% (84/169),7,0,75% (9/12),25% (3/12),50% (12/24),"['2', '1']","['2', '2', '5', '3']",[],[],[],1.48
25.06.2024,Tararudee L.,2,6,6,,,,4,2,59%,75% (27/36),52% (13/25),83% (5/6),30% (8/27),54% (15/28),33% (3/9),12,8,83% (5/6),66% (40/61),42% (23/55),54% (63/116),7,0,90% (9/10),33% (3/9),63% (12/19),"['2', '0', '6', '4']","['4', '2']",[],[],[],1.83
25.06.2024,Avdeeva J.,0,4,3,,,,5,9,49%,70% (19/27),46% (13/28),67% (6/9),25% (9/36),48% (12/25),17% (1/6),18,36,60% (3/5),58% (32/55),34% (21/61),46% (53/116),3,1,67% (6/9),10% (1/10),37% (7/19),"['2', '3']",[],[],[],[],1.98
ITF WOMEN - SINGLES :  W100 Ilkley (United Kingdom),grass,header
CHALLENGER WOMEN - SINGLES :  Valencia (Spain),clay,header
10.06.2024,Tararudee L.,0,3,1,,,,4,2,52%,56% (15/27),28% (7/25),50% (5/10),33% (13/40),50% (7/14),13% (1/8),42% (22/52),37% (20/54),40% (42/106),5,3,38% (3/8),13% (1/8),25% (4/16),"['3', '5']",[],[],[],[],5.05
10.06.2024,Sramkova R.,2,6,6,,,,2,1,74%,68% (27/40),50% (7/14),88% (7/8),44% (12/27),72% (18/25),50% (5/10),63% (34/54),58% (30/52),60% (64/106),5,0,88% (7/8),63% (5/8),75% (12/16),"['2', '1', '5', '2', '6', '3']","['2', '0', '4', '0']",[],[],[],1.18
CHALLENGER WOMEN - SINGLES :  Valencia (Spain) - Qualification,clay,header
09.06.2024,Tararudee L.,2,6,6,,,,1,1,69%,70% (26/37),53% (9/17),60% (3/5),51% (24/47),73% (8/11),50% (5/10),65% (35/54),55% (32/58),60% (67/112),5,0,78% (7/9),56% (5/9),67% (12/18),"['2', '3', '4', '3', '6', '3']","['2', '0', '4', '0']",[],[],[],2.07
09.06.2024,Mendez S.,0,3,3,,,,0,1,81%,49% (23/47),27% (3/11),50% (5/10),30% (11/37),47% (8/17),40% (2/5),45% (26/58),35% (19/54),40% (45/112),5,0,44% (4/9),22% (2/9),33% (6/18),"['2', '0']","['1', '4']",[],[],[],1.70
08.06.2024,Tararudee L.,2,6,6,,,,2,3,42%,59% (13/22),55% (17/31),25% (1/4),63% (19/30),57% (16/28),64% (7/11),57% (30/53),60% (35/58),59% (65/111),9,0,63% (5/8),78% (7/9),71% (12/17),"['2', '1', '4', '1', '6', '1']","['2', '0', '3', '3', '4', '4', '6', '4']",[],[],[],1.08
08.06.2024,Lopez Martinez C.,0,1,4,,,,0,8,52%,37% (11/30),43% (12/28),36% (4/11),41% (9/22),45% (14/31),75% (3/4),40% (23/58),43% (23/53),41% (46/111),1,0,22% (2/9),38% (3/8),29% (5/17),[],"['1', '2', '3', '2', '4', '3']",[],[],[],7.97
WTA - SINGLES :  French Open (France) - Qualification,clay,header
21.05.2024,Tararudee L.,0,0,3,,,,0,4,49%,42% (14/33),37% (13/35),22% (2/9),30% (7/23),47% (7/15),67% (2/3),20,35,62% (13/21),40% (27/68),37% (14/38),39% (41/106),3,1,13% (1/8),29% (2/7),20% (3/15),[],"['2', '2', '3', '5']",[],[],[],1.93
21.05.2024,You X.,2,6,6,,,,0,2,61%,70% (16/23),53% (8/15),33% (1/3),58% (19/33),63% (22/35),78% (7/9),15,15,64% (9/14),63% (24/38),60% (41/68),61% (65/106),7,0,71% (5/7),88% (7/8),80% (12/15),"['1', '0', '3', '0', '5', '0']","['2', '1', '3', '2', '5', '2', '6', '3']",[],[],[],1.84
ITF WOMEN - SINGLES :  W75 Luan (China),hard,header
ITF WOMEN - SINGLES :  W50 Wuning (China),hard,header
ITF WOMEN - SINGLES :  W50 Shenzhen 2 (China),hard,header
ITF WOMEN - SINGLES :  W50 Shenzhen (China),hard,header
ITF WOMEN - SINGLES :  W50 Kofu (Japan),hard,header
