Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Savannah (USA),clay,header
23.04. 20:35,Tomic B.,0,2,3,,,,3,3,52%,62% (21/34),41% (13/32),64% (7/11),32% (13/41),38% (6/16),33% (1/3),52% (34/66),33% (19/57),43% (53/123),5,1,50% (4/8),11% (1/9),29% (5/17),[],[],[],[],[],1.67
23.04. 20:35,Martin A.,2,6,6,,,,3,0,72%,68% (28/41),63% (10/16),67% (2/3),38% (13/34),59% (19/32),36% (4/11),67% (38/57),48% (32/66),57% (70/123),5,0,89% (8/9),50% (4/8),71% (12/17),[],[],[],[],[],2.12
22.04. 03:10,Tomic B.,2,6,0,6,,,6,7,45%,74% (28/38),32% (15/47),50% (5/10),38% (15/39),53% (18/34),50% (5/10),51% (43/85),45% (33/73),48% (76/158),5,0,58% (7/12),42% (5/12),50% (12/24),[],[],[],[],[],2.81
22.04. 03:10,Mmoh M.,1,4,6,2,,,5,6,53%,62% (24/39),47% (16/34),50% (5/10),26% (10/38),68% (32/47),50% (5/10),55% (40/73),49% (42/85),52% (82/158),5,1,58% (7/12),42% (5/12),50% (12/24),[],[],[],[],[],1.40
CHALLENGER MEN - SINGLES :  Mexico City (Mexico),clay,header
12.04. 07:15,Tomic B.,1,7,1,1,,,7,2,41%,67% (22/33),45% (21/47),64% (9/14),24% (12/49),42% (10/24),25% (1/4),54% (43/80),30% (22/73),42% (65/153),5,2,62% (8/13),8% (1/13),35% (9/26),[],[],[],[],[],1.81
12.04. 07:15,Mannarino A.,2,5,6,6,,,3,4,67%,76% (37/49),58% (14/24),75% (3/4),33% (11/33),55% (26/47),36% (5/14),70% (51/73),46% (37/80),58% (88/153),5,0,92% (12/13),38% (5/13),65% (17/26),[],[],[],[],[],1.92
11.04. 03:40,Tomic B.,2,6,6,,,,4,1,57%,81% (29/36),52% (14/27),100% (4/4),36% (14/39),57% (12/21),38% (3/8),68% (43/63),43% (26/60),56% (69/123),5,0,100% (9/9),33% (3/9),67% (12/18),[],[],[],[],[],1.50
11.04. 03:40,Hernandez A.,0,4,2,,,,3,2,65%,64% (25/39),43% (9/21),63% (5/8),19% (7/36),48% (13/27),0% (0/4),57% (34/60),32% (20/63),44% (54/123),5,1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],2.48
08.04. 22:40,Tomic B.,2,6,6,,,,2,1,55%,81% (22/27),64% (14/22),0% (0/0),36% (9/25),42% (14/33),50% (3/6),73% (36/49),40% (23/58),55% (59/107),4,0,100% (9/9),33% (3/9),67% (12/18),[],[],[],[],[],1.57
