Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Wimbledon (United Kingdom),grass,header
02.07. 20:55,Udvardy P.,0,3,2,,,,5,3,56%,78% (21/27),29% (6/21),63% (5/8),19% (7/37),50% (10/20),0% (0/6),13,21,86% (6/7),5,56% (27/48),30% (17/57),42% (44/105),1,63% (5/8),0% (0/9),29% (5/17),1283,[],[],[],[],[],6.29
02.07. 20:55,Kalinskaya A.,2,6,6,,,,3,4,65%,81% (30/37),50% (10/20),100% (6/6),22% (6/27),71% (15/21),38% (3/8),21,18,73% (8/11),6,70% (40/57),44% (21/48),58% (61/105),5,100% (9/9),38% (3/8),71% (12/17),1170,"['5', '3']","['1', '0', '5', '2']",[],[],[],1.13
WTA - SINGLES :  Wimbledon (United Kingdom) - Qualification,grass,header
27.06. 17:55,Udvardy P.,2,6,6,,,,3,4,60%,84% (26/31),48% (10/21),80% (4/5),41% (15/37),70% (14/20),45% (5/11),11,25,80% (8/10),6,69% (36/52),51% (29/57),60% (65/109),6,88% (7/8),63% (5/8),75% (12/16),"['1', '0', '2', '1', '4', '1', '6', '1']","['5', '3']",[],[],[],1.41
27.06. 17:55,Topalova G.,0,1,3,,,,2,1,65%,59% (22/37),30% (6/20),55% (6/11),16% (5/31),52% (11/21),20% (1/5),7,34,0% (0/2),4,49% (28/57),31% (16/52),40% (44/109),1,38% (3/8),13% (1/8),25% (4/16),"['1', '1']",[],[],[],[],2.85
26.06. 22:20,Udvardy P.,2,6,6,,,,4,2,60%,80% (28/35),48% (11/23),88% (7/8),50% (17/34),65% (11/17),50% (5/10),19,15,86% (6/7),12,67% (39/58),55% (28/51),61% (67/109),3,88% (7/8),56% (5/9),71% (12/17),"['1', '0', '3', '0', '5', '2']","['3', '2', '6', '3']",[],[],[],1.34
26.06. 22:20,Lukas T.,0,2,3,,,,3,3,67%,50% (17/34),35% (6/17),50% (5/10),20% (7/35),52% (12/23),13% (1/8),11,15,0% (0/3),4,45% (23/51),33% (19/58),39% (42/109),2,44% (4/9),13% (1/8),29% (5/17),"['1', '3']",[],[],[],[],3.18
25.06. 20:00,Udvardy P.,2,6,6,,,,6,4,53%,76% (26/34),53% (16/30),83% (5/6),35% (12/34),57% (13/23),60% (3/5),25,24,82% (9/11),6,66% (42/64),44% (25/57),55% (67/121),3,90% (9/10),33% (3/9),63% (12/19),"['3', '1']","['3', '2', '4', '3']",[],[],[],1.44
25.06. 20:00,Jakupovic D.,0,3,4,,,,4,2,60%,65% (22/34),43% (10/23),40% (2/5),24% (8/34),47% (14/30),17% (1/6),12,21,20% (1/5),5,56% (32/57),34% (22/64),45% (54/121),1,67% (6/9),10% (1/10),37% (7/19),[],"['3', '3']",[],[],[],2.73
ITF WOMEN - SINGLES :  W75 Olomouc (Czech Republic),clay,header
21.06. 15:20,Udvardy P.,0,5,6^3,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '2', '5', '5']","['2', '0', '4', '2', '6', '6']",[],[],[],2.06
21.06. 15:20,Jang S. J.,2,7,7^7,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '1', '3', '2', '6', '5']","['1', '2', '3', '4', '6', '5']",[],[],[],1.69
20.06. 13:35,Udvardy P.,2,3,6,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '3', '3', '5']","['1', '2', '3', '2', '6', '3']","['1', '1', '4', '4', '6', '4']",[],[],1.27
20.06. 13:35,Geerlings Martinez A.,1,6,3,4,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '3', '0', '4', '1', '6', '3']","['2', '0']","['1', '0', '3', '2']",[],[],3.51
18.06. 18:45,Udvardy P.,2,6,7,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['6', '4']","['3', '5', '5', '5', '7', '5']",[],[],[],1.13
18.06. 18:45,Radisic N.,0,4,5,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['1', '0', '3', '0']",[],[],[],5.35
ITF WOMEN - SINGLES :  W100 Biarritz (France),clay,header
13.06. 17:25,Udvardy P.,0,1,3,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['2', '1', '3', '4']",[],[],[],1.23
13.06. 17:25,Mitu A.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '3', '0', '6', '1']","['2', '2', '4', '2', '5', '3']",[],[],[],3.86
12.06. 17:05,Udvardy P.,2,6,6^4,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '3', '1']","['5', '4']","['3', '1', '6', '2']",[],[],1.26
12.06. 17:05,Curmi F.,1,3,7^7,2,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '2']","['5', '5']",[],[],[],3.59
CHALLENGER WOMEN - SINGLES :  Bari (Italy),clay,header
09.06. 23:40,Udvardy P.,0,4,0,,,,1,1,60%,64% (18/28),37% (7/19),60% (6/10),27% (9/33),33% (5/15),0% (0/0),6,53% (25/47),29% (14/48),41% (39/95),1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],2.15
09.06. 23:40,Todoni A. A.,2,6,6,,,,5,0,69%,73% (24/33),67% (10/15),0% (0/0),36% (10/28),63% (12/19),40% (4/10),7,71% (34/48),47% (22/47),59% (56/95),8,100% (8/8),50% (4/8),75% (12/16),"['6', '4']","['2', '0', '4', '0', '6', '0']",[],[],[],1.70
08.06. 23:55,Udvardy P.,2,4,7^7,6,,,4,3,62%,60% (37/62),47% (18/38),57% (8/14),32% (22/68),61% (36/59),35% (6/17),6,55% (55/100),46% (58/127),50% (113/227),3,63% (10/16),38% (6/16),50% (16/32),"['2', '0']","['1', '3', '3', '3', '4', '4']","['1', '0', '5', '4']",[],[],2.26
08.06. 23:55,Zidansek T.,1,6,6^5,4,,,4,8,54%,68% (46/68),39% (23/59),65% (11/17),40% (25/62),53% (20/38),43% (6/14),10,54% (69/127),45% (45/100),50% (114/227),4,63% (10/16),38% (6/16),50% (16/32),"['1', '2', '3', '2']","['1', '0', '3', '0', '4', '3']","['4', '4']",[],[],1.60
07.06. 19:30,Udvardy P.,2,7^8,7^7,,,,2,3,59%,68% (30/44),45% (14/31),43% (3/7),39% (23/59),53% (16/30),40% (4/10),7,59% (44/75),44% (39/89),51% (83/164),2,67% (8/12),33% (4/12),50% (12/24),"['2', '2', '4', '4', '5', '5']","['3', '4']",[],[],[],2.42
07.06. 19:30,Zarazua R.,0,6^6,6^5,,,,0,0,66%,61% (36/59),47% (14/30),60% (6/10),32% (14/44),55% (17/31),57% (4/7),8,56% (50/89),41% (31/75),49% (81/164),2,67% (8/12),33% (4/12),50% (12/24),"['2', '1', '3', '2', '5', '4']","['4', '2']",[],[],[],1.57
06.06. 17:35,Udvardy P.,2,6,6,,,,0,0,52%,55% (12/22),70% (14/20),67% (2/3),52% (16/31),85% (17/20),50% (7/14),6,62% (26/42),65% (33/51),63% (59/93),9,83% (5/6),100% (7/7),92% (12/13),"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],[],2.04
06.06. 17:35,Soboleva A.,0,0,1,,,,1,3,61%,48% (15/31),15% (3/20),50% (7/14),45% (10/22),30% (6/20),33% (1/3),3,35% (18/51),38% (16/42),37% (34/93),1,0% (0/7),17% (1/6),8% (1/13),[],"['1', '3']",[],[],[],1.78
04.06. 18:40,Udvardy P.,2,2,7,7,,,0,5,50%,62% (26/42),48% (20/42),14% (1/7),49% (33/68),52% (13/25),67% (6/9),10,55% (46/84),49% (46/93),52% (92/177),4,63% (10/16),38% (6/16),50% (16/32),[],"['1', '0', '4', '5', '6', '5']","['3', '2', '4', '5', '6', '5']",[],[],1.25
04.06. 18:40,Pedone G.,1,6,5,5,,,0,1,73%,51% (35/68),48% (12/25),33% (3/9),38% (16/42),52% (22/42),86% (6/7),9,51% (47/93),45% (38/84),48% (85/177),4,63% (10/16),38% (6/16),50% (16/32),"['2', '0', '6', '2']","['3', '3', '5', '3']","['3', '3', '5', '3']",[],[],3.76
WTA - SINGLES :  French Open (France),clay,header
27.05. 20:10,Udvardy P.,0,3,4,,,,2,2,56%,61% (20/33),31% (8/26),29% (2/7),40% (19/48),52% (14/27),33% (3/9),16,16,60% (6/10),5,47% (28/59),44% (33/75),46% (61/134),2,44% (4/9),30% (3/10),37% (7/19),"['2', '1', '3', '4']","['4', '4']",[],[],[],5.05
27.05. 20:10,Pavlyuchenkova A.,2,6,6,,,,2,3,64%,60% (29/48),48% (13/27),67% (6/9),39% (13/33),69% (18/26),71% (5/7),34,31,80% (4/5),7,56% (42/75),53% (31/59),54% (73/134),3,70% (7/10),56% (5/9),63% (12/19),"['2', '2', '4', '2', '5', '3']","['2', '1', '5', '4']",[],[],[],1.18
WTA - SINGLES :  French Open (France) - Qualification,clay,header
24.05. 14:40,Udvardy P.,1,5,6,6^2,,,4,6,67%,64% (58/91),32% (14/44),70% (14/20),40% (29/72),44% (20/45),50% (6/12),35,37,70% (14/20),5,53% (72/135),42% (49/117),48% (121/252),4,65% (11/17),38% (6/16),52% (17/33),"['3', '1', '5', '1']","['1', '1', '2', '2', '5', '3']","['3', '4']",[],[],3.04
24.05. 14:40,Sramkova R.,2,7,3,7^10,,,3,2,62%,60% (43/72),56% (25/45),50% (6/12),36% (33/91),68% (30/44),30% (6/20),46,29,100% (8/8),7,58% (68/117),47% (63/135),52% (131/252),7,63% (10/16),35% (6/17),48% (16/33),"['2', '5', '4', '5', '6', '5']","['1', '0', '2', '1']","['2', '0']",[],[],1.38
22.05. 22:25,Udvardy P.,2,6,6,,,,1,3,61%,56% (28/50),53% (17/32),70% (7/10),33% (10/30),64% (21/33),56% (5/9),18,33,67% (12/18),11,55% (45/82),49% (31/63),52% (76/145),5,70% (7/10),50% (5/10),60% (12/20),"['1', '0', '2', '1', '5', '4']","['2', '3', '4', '3']",[],[],[],1.48
22.05. 22:25,Hon P.,0,4,4,,,,2,4,48%,67% (20/30),36% (12/33),44% (4/9),44% (22/50),47% (15/32),30% (3/10),18,39,56% (9/16),9,51% (32/63),45% (37/82),48% (69/145),3,50% (5/10),30% (3/10),40% (8/20),"['1', '1', '2', '2']","['2', '0']",[],[],[],2.68
21.05. 15:00,Udvardy P.,2,7,6,,,,2,3,68%,66% (31/47),68% (15/22),67% (2/3),42% (26/62),45% (9/20),30% (3/10),31,26,72% (13/18),6,67% (46/69),43% (35/82),54% (81/151),3,91% (10/11),27% (3/11),59% (13/22),"['1', '0', '6', '5']","['2', '1']",[],[],[],1.57
21.05. 15:00,Martincova T.,0,5,4,,,,3,2,76%,58% (36/62),55% (11/20),70% (7/10),34% (16/47),32% (7/22),33% (1/3),12,28,100% (5/5),7,57% (47/82),33% (23/69),46% (70/151),2,73% (8/11),9% (1/11),41% (9/22),"['5', '5']",[],[],[],[],2.42
ITF WOMEN - SINGLES :  W75 Prague (Czech Republic),clay,header
09.05. 17:20,Udvardy P.,1,6,2,2,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '6', '4']","['2', '2']",[],[],[],1.67
09.05. 17:20,Chwalinska M.,2,4,6,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '2']","['1', '0', '3', '2', '5', '2']","['3', '2', '5', '2']",[],[],2.11
08.05. 17:10,Udvardy P.,2,7^7,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['3', '3', '5', '5']","['2', '3', '3', '4', '5', '4']",[],[],[],1.50
08.05. 17:10,Bulgaru M.,0,6^4,4,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '5', '4']","['2', '0', '4', '2']",[],[],[],2.47
ITF WOMEN - SINGLES :  W100 Wiesbaden (Germany),clay,header
02.05. 18:40,Udvardy P.,0,4,0,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],3.02
02.05. 18:40,Riera J.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['6', '4']","['2', '0', '4', '0', '6', '0']",[],[],[],1.35
01.05. 18:15,Udvardy P.,2,6,2,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '4', '0', '5', '1']","['1', '4']","['1', '0', '3', '0', '5', '0']",[],[],1.33
01.05. 18:15,Mitu A.,1,1,6,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '4']","['2', '0', '4', '0', '6', '2']",[],[],[],3.12
ITF WOMEN - SINGLES :  W100 Oeiras (Portugal),clay,header
28.04. 17:10,Udvardy P.,0,0,2,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['2', '4']",[],[],[],2.24
28.04. 17:10,Fett J.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '5', '2']",[],[],[],1.60
27.04. 19:10,Udvardy P.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '2', '1', '6', '3']","['3', '1', '5', '1']",[],[],[],1.95
27.04. 19:10,Kudermetova P.,0,3,1,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '1']",[],[],[],[],1.77
26.04. 17:50,Udvardy P.,2,6,3,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '4', '0', '6', '0']","['2', '0']","['3', '2', '5', '2']",[],[],1.40
26.04. 17:50,Rosatello C.,1,0,6,2,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['1', '2', '4', '3', '6', '3']",[],[],[],2.79
25.04. 17:45,Udvardy P.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['5', '3', '6', '4']","['2', '0', '4', '0']",[],[],[],2.39
25.04. 17:45,Ciric Bagaric L.,0,4,3,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['4', '5']","['2', '5']",[],[],[],1.53
23.04. 20:05,Udvardy P.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '2', '1', '4', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],1.01
23.04. 20:05,Suciu A.,0,2,1,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '1']",[],[],[],[],18.00
ITF WOMEN - SINGLES :  W75 Koper (Slovenia),clay,header
18.04. 13:40,Udvardy P.,0,0,1,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],1.37
18.04. 13:40,Fourlis J.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '3', '0', '5', '0']","['2', '1', '4', '1', '6', '1']",[],[],[],2.92
17.04. 18:15,Udvardy P.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '1', '3', '2', '5', '2']","['1', '0', '3', '2', '5', '2']",[],[],[],1.08
17.04. 18:15,Milic E. N.,0,4,2,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '2', '3', '5']","['1', '1']",[],[],[],6.74
ITF WOMEN - SINGLES :  W75 Bellinzona (Switzerland),clay,header
11.04. 18:30,Udvardy P.,1,6,3,3,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '4', '2', '6', '2']","['3', '5']",[],[],[],1.23
11.04. 18:30,Bandecchi S.,2,2,6,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '3']","['2', '1', '5', '2', '6', '3']","['2', '0']",[],[],3.86
10.04. 19:30,Udvardy P.,2,4,6,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['3', '5']","['2', '2', '4', '2', '5', '3']","['1', '0', '4', '1', '6', '1']",[],[],1.25
10.04. 19:30,Fetecau I.,1,6,3,1,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '5', '2']","['2', '1', '3', '4']",[],[],[],3.69
ITF WOMEN - SINGLES :  W75 Split (Croatia),clay,header
05.04. 15:35,Udvardy P.,0,1,0,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '1']",[],[],[],[],1.86
