Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Pune (India) - Qualification,hard,header
17.02. 11:05,Vesely J.,0,5,1,,,,13,9,66%,67% (34/51),31% (8/26),75% (9/12),13% (4/32),20% (3/15),0% (0/0),55% (42/77),15% (7/47),40% (49/124),3,0,67% (6/9),0% (0/10),32% (6/19),[],[],[],[],[],0
17.02. 11:05,Simakin I.,2,7,6,,,,10,1,68%,88% (28/32),80% (12/15),0% (0/0),33% (17/51),69% (18/26),25% (3/12),85% (40/47),45% (35/77),60% (75/124),7,0,100% (10/10),33% (3/9),68% (13/19),"['7', '5']","['2', '0', '5', '1']",[],[],[],0
16.02. 11:10,Vesely J.,2,6,6,,,,8,2,67%,86% (31/36),56% (10/18),100% (5/5),31% (10/32),61% (14/23),60% (3/5),76% (41/54),44% (24/55),60% (65/109),6,0,100% (9/9),38% (3/8),71% (12/17),"['2', '0', '6', '2']","['5', '3']",[],[],[],1.02
16.02. 11:10,Banthia S.,0,2,3,,,,5,5,58%,69% (22/32),39% (9/23),40% (2/5),14% (5/36),44% (8/18),0% (0/5),56% (31/55),24% (13/54),40% (44/109),4,0,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],10.50
CHALLENGER MEN - SINGLES :  New Delhi (India),hard,header
CHALLENGER MEN - SINGLES :  New Delhi (India),hard,header
CHALLENGER MEN - SINGLES :  New Delhi (India),hard,header
CHALLENGER MEN - SINGLES :  New Delhi (India),hard,header
11.02. 11:25,Vesely J.,0,1,4,,,,6,1,67%,69% (20/29),36% (5/14),0% (0/3),18% (7/38),38% (6/16),0% (0/4),58% (25/43),24% (13/54),39% (38/97),4,1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],2.69
11.02. 11:25,Vacherot V.,2,6,6,,,,7,1,70%,82% (31/38),63% (10/16),100% (4/4),31% (9/29),64% (9/14),100% (3/3),76% (41/54),42% (18/43),61% (59/97),6,0,100% (9/9),38% (3/8),71% (12/17),"['2', '0', '4', '0']","['3', '2']",[],[],[],1.43
CHALLENGER MEN - SINGLES :  New Delhi (India) - Qualification,hard,header
10.02. 12:35,Vesely J.,2,2,6,6,,,14,9,60%,75% (43/57),42% (16/38),75% (9/12),20% (9/44),58% (19/33),50% (3/6),62% (59/95),36% (28/77),51% (87/172),6,0,79% (11/14),21% (3/14),50% (14/28),"['1', '0']","['3', '2']","['4', '3']",[],[],2.76
10.02. 12:35,Coppejans K.,1,6,4,4,,,9,6,57%,80% (35/44),42% (14/33),50% (3/6),25% (14/57),58% (22/38),25% (3/12),64% (49/77),38% (36/95),49% (85/172),4,4,79% (11/14),21% (3/14),50% (14/28),"['1', '1', '4', '2', '6', '2']",[],[],[],[],1.41
09.02. 14:05,Vesely J.,2,6,6,,,,3,4,56%,87% (27/31),54% (13/24),100% (6/6),38% (11/29),48% (14/29),60% (3/5),73% (40/55),43% (25/58),58% (65/113),5,0,100% (9/9),33% (3/9),67% (12/18),"['2', '1', '4', '1']","['2', '1']",[],[],[],1.13
09.02. 14:05,Duhan C.,0,2,4,,,,4,5,50%,62% (18/29),52% (15/29),40% (2/5),13% (4/31),46% (11/24),0% (0/6),57% (33/58),27% (15/55),42% (48/113),5,0,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],5.30
CHALLENGER MEN - SINGLES :  Chennai (India),hard,header
05.02. 10:10,Kirkin E.,1,6^7,7^7,,,,17,2,68%,74% (48/65),55% (17/31),88% (7/8),22% (12/54),47% (16/34),25% (1/4),68% (65/96),32% (28/88),51% (94/184),7,0,92% (11/12),8% (1/12),50% (12/24),"['4', '4']",[],[],[],[],2.40
05.02. 10:10,Vesely J.,1,7^9,6^3,,,,11,6,61%,78% (42/54),53% (18/34),75% (3/4),26% (17/65),45% (14/31),13% (1/8),68% (60/88),32% (31/96),50% (92/184),3,0,92% (11/12),8% (1/12),50% (12/24),"['1', '0']",[],[],[],[],1.53
CHALLENGER MEN - SINGLES :  Oeiras 5 (Portugal) - Qualification,hard,header
20.01. 19:40,Vesely J.,0,6^3,6^1,,,,10,6,53%,79% (33/42),58% (22/38),100% (4/4),23% (12/52),23% (6/26),0% (0/3),69% (55/80),23% (18/78),46% (73/158),2,4,100% (12/12),0% (0/12),50% (12/24),[],[],[],[],[],1.51
20.01. 19:40,Gakhov I.,2,7^7,7^7,,,,3,1,67%,77% (40/52),77% (20/26),100% (3/3),21% (9/42),42% (16/38),0% (0/4),77% (60/78),31% (25/80),54% (85/158),8,0,100% (12/12),0% (0/12),50% (12/24),[],[],[],[],[],2.46
CHALLENGER MEN - SINGLES :  Helsinki (Finland) - Qualification,hard,header
CHALLENGER MEN - SINGLES :  Helsinki (Finland) - Qualification,hard,header
CHALLENGER MEN - SINGLES :  Helsinki (Finland) - Qualification,hard,header
CHALLENGER MEN - SINGLES :  Helsinki (Finland) - Qualification,hard,header
CHALLENGER MEN - SINGLES :  Helsinki (Finland) - Qualification,hard,header
03.11.2024,Vesely J.,2,6,7^7,,,,6,2,71%,78% (39/50),65% (13/20),100% (1/1),10% (4/41),64% (16/25),100% (1/1),74% (52/70),30% (20/66),53% (72/136),7,0,100% (11/11),9% (1/11),55% (12/22),"['2', '1']",[],[],[],[],1.54
03.11.2024,Ivanovski K.,0,4,6^3,,,,10,6,62%,90% (37/41),36% (9/25),0% (0/1),22% (11/50),35% (7/20),0% (0/1),70% (46/66),26% (18/70),47% (64/136),3,0,91% (10/11),0% (0/11),45% (10/22),[],[],[],[],[],2.38
CHALLENGER MEN - SINGLES :  Saint Brieuc (France),hard,header
17.10.2024,Vesely J.,0,3,4,,,,4,1,42%,68% (15/22),60% (18/30),33% (1/3),11% (4/35),42% (8/19),0% (0/2),63% (33/52),22% (12/54),42% (45/106),4,0,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],2.14
17.10.2024,Hemery C.,2,6,6,,,,9,4,65%,89% (31/35),58% (11/19),100% (2/2),32% (7/22),40% (12/30),67% (2/3),78% (42/54),37% (19/52),58% (61/106),6,0,100% (10/10),22% (2/9),63% (12/19),"['4', '2']","['4', '3']",[],[],[],1.66
16.10.2024,Vesely J.,2,6,3,6,,,21,5,63%,63% (40/63),51% (19/37),69% (9/13),27% (15/55),59% (22/37),63% (5/8),59% (59/100),40% (37/92),50% (96/192),6,0,71% (10/14),33% (5/15),52% (15/29),"['5', '4']","['1', '0']","['3', '3', '5', '3', '6', '4']",[],[],2.59
16.10.2024,Chidekh C.,1,4,6,4,,,7,7,60%,73% (40/55),41% (15/37),38% (3/8),37% (23/63),49% (18/37),31% (4/13),60% (55/92),41% (41/100),50% (96/192),4,0,67% (10/15),29% (4/14),48% (14/29),[],"['3', '3', '5', '3']","['2', '1', '4', '5']",[],[],1.46
CHALLENGER MEN - SINGLES :  Saint Brieuc (France) - Qualification,hard,header
14.10.2024,Vesely J.,2,6,6,,,,5,1,57%,82% (27/33),56% (14/25),100% (4/4),24% (10/41),65% (15/23),27% (3/11),71% (41/58),40% (25/62),55% (66/120),7,0,100% (9/9),33% (3/9),67% (12/18),"['5', '4']","['1', '0', '5', '2']",[],[],[],1.34
14.10.2024,Gentzsch T.,0,4,2,,,,10,4,64%,71% (29/41),35% (8/23),73% (8/11),18% (6/33),44% (11/25),0% (0/4),60% (37/62),29% (17/58),45% (54/120),3,0,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],3.08
13.10.2024,Vesely J.,2,6,6,,,,3,3,56%,77% (27/35),59% (16/27),50% (1/2),24% (8/33),58% (15/26),60% (3/5),69% (43/62),39% (23/59),55% (66/121),5,0,90% (9/10),30% (3/10),60% (12/20),"['1', '0', '6', '3']","['5', '4']",[],[],[],1.02
13.10.2024,Barrere V.,0,4,4,,,,2,5,56%,76% (25/33),42% (11/26),40% (2/5),23% (8/35),41% (11/27),50% (1/2),61% (36/59),31% (19/62),45% (55/121),5,5,70% (7/10),10% (1/10),40% (8/20),[],"['4', '4']",[],[],[],12.00
CHALLENGER MEN - SINGLES :  Roanne (France),hard,header
10.10.2024,Vesely J.,0,3,4,,,,6,2,63%,77% (27/35),43% (9/21),50% (2/4),7% (3/42),64% (9/14),0% (0/2),64% (36/56),21% (12/56),43% (48/112),4,0,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],2.53
10.10.2024,Grenier H.,2,6,6,,,,17,2,75%,93% (39/42),36% (5/14),100% (2/2),23% (8/35),57% (12/21),50% (2/4),79% (44/56),36% (20/56),57% (64/112),6,0,100% (10/10),22% (2/9),63% (12/19),"['5', '3']","['3', '2']",[],[],[],1.48
09.10.2024,Vesely J.,2,6,6,,,,5,2,61%,94% (29/31),60% (12/20),100% (1/1),24% (7/29),35% (7/20),50% (2/4),80% (41/51),29% (14/49),55% (55/100),5,0,100% (10/10),20% (2/10),60% (12/20),"['5', '4']","['3', '2']",[],[],[],2.05
09.10.2024,Debru G.,0,4,4,,,,8,3,59%,76% (22/29),65% (13/20),50% (2/4),6% (2/31),40% (8/20),0% (0/1),71% (35/49),20% (10/51),45% (45/100),5,0,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],1.70
CHALLENGER MEN - SINGLES :  Roanne (France) - Qualification,hard,header
07.10.2024,Vesely J.,1,6,2,3,,,13,4,66%,78% (36/46),46% (11/24),63% (5/8),21% (13/61),47% (17/36),8% (1/13),67% (47/70),31% (30/97),46% (77/167),4,1,77% (10/13),7% (1/14),41% (11/27),"['4', '3']",[],[],[],[],1.20
07.10.2024,Donnet E.,2,4,6,6,,,12,4,63%,79% (48/61),53% (19/36),92% (12/13),22% (10/46),54% (13/24),38% (3/8),69% (67/97),33% (23/70),54% (90/167),6,0,93% (13/14),23% (3/13),59% (16/27),[],"['3', '1', '6', '2']","['4', '2']",[],[],4.17
06.10.2024,Vesely J.,2,4,6,6,,,16,3,67%,85% (39/46),61% (14/23),67% (2/3),37% (20/54),50% (14/28),50% (4/8),77% (53/69),41% (34/82),58% (87/151),9,0,92% (12/13),29% (4/14),59% (16/27),[],"['2', '1', '5', '2']","['4', '3', '6', '3']",[],[],1.22
06.10.2024,Diez S.,1,6,2,3,,,2,3,66%,63% (34/54),50% (14/28),50% (4/8),15% (7/46),39% (9/23),33% (1/3),59% (48/82),23% (16/69),42% (64/151),1,1,71% (10/14),8% (1/13),41% (11/27),"['6', '4']",[],[],[],[],3.64
CHALLENGER MEN - SINGLES :  Alicante (Spain),hard,header
03.10.2024,Vesely J.,1,6^2,7^7,5,,,17,13,57%,80% (51/64),49% (24/49),70% (7/10),20% (14/71),38% (15/39),50% (2/4),66% (75/113),26% (29/110),47% (104/223),2,0,83% (15/18),11% (2/18),47% (17/36),[],[],"['1', '2', '3', '2']",[],[],3.80
03.10.2024,Majchrzak K.,2,7^7,6^5,7,,,18,4,65%,80% (57/71),62% (24/39),50% (2/4),20% (13/64),51% (25/49),30% (3/10),74% (81/110),34% (38/113),53% (119/223),8,0,89% (16/18),17% (3/18),53% (19/36),[],[],"['2', '0', '3', '3', '7', '5']",[],[],1.24
01.10.2024,Vesely J.,2,6,6,,,,8,4,58%,80% (24/30),50% (11/22),100% (2/2),30% (8/27),75% (12/16),67% (4/6),67% (35/52),47% (20/43),58% (55/95),6,0,100% (8/8),50% (4/8),75% (12/16),"['2', '1', '4', '1', '6', '1']","['5', '3']",[],[],[],1.23
01.10.2024,Blanch D.,0,1,3,,,,4,1,63%,70% (19/27),25% (4/16),33% (2/6),20% (6/30),50% (11/22),0% (0/2),53% (23/43),33% (17/52),42% (40/95),4,1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],3.90
CHALLENGER MEN - SINGLES :  Alicante (Spain) - Qualification,hard,header
30.09.2024,Vesely J.,2,6,6,,,,9,4,64%,85% (29/34),53% (10/19),100% (3/3),36% (10/28),39% (11/28),60% (3/5),74% (39/53),38% (21/56),55% (60/109),7,0,100% (9/9),30% (3/10),63% (12/19),"['3', '2']","['2', '1', '6', '3']",[],[],[],1.38
30.09.2024,Martin A.,0,4,3,,,,6,3,50%,64% (18/28),61% (17/28),40% (2/5),15% (5/34),47% (9/19),0% (0/3),63% (35/56),26% (14/53),45% (49/109),3,0,70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],2.89
29.09.2024,Vesely J.,2,6,6,,,,10,2,64%,93% (25/27),73% (11/15),0% (0/0),33% (10/30),55% (16/29),38% (3/8),86% (36/42),44% (26/59),61% (62/101),7,0,100% (9/9),33% (3/9),67% (12/18),"['2', '1', '4', '1']","['5', '4']",[],[],[],1.48
29.09.2024,Added D.,0,2,4,,,,5,3,51%,67% (20/30),45% (13/29),63% (5/8),7% (2/27),27% (4/15),0% (0/0),56% (33/59),14% (6/42),39% (39/101),3,2,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],2.53
CHALLENGER MEN - SINGLES :  St. Tropez (France),hard,header
19.09.2024,Vesely J.,0,6^4,0,,,,9,2,73%,77% (27/35),46% (6/13),100% (9/9),27% (7/26),15% (2/13),0% (0/1),69% (33/48),23% (9/39),48% (42/87),4,0,100% (6/6),0% (0/6),50% (6/12),[],[],[],[],[],2.75
19.09.2024,Bonzi B.,1,7^7,0,,,,6,1,67%,73% (19/26),85% (11/13),100% (1/1),23% (8/35),54% (7/13),0% (0/9),77% (30/39),31% (15/48),52% (45/87),6,0,100% (6/6),0% (0/6),50% (6/12),[],[],[],[],[],1.41
19.09.2024,Vesely J.,2,7^11,6,,,,15,4,68%,78% (49/63),41% (12/29),89% (8/9),32% (15/47),38% (8/21),40% (2/5),66% (61/92),34% (23/68),53% (84/160),4,0,91% (10/11),20% (2/10),57% (12/21),"['2', '1']","['4', '2']",[],[],[],3.19
19.09.2024,Gigante M.,0,6^9,3,,,,4,1,69%,68% (32/47),62% (13/21),60% (3/5),22% (14/63),59% (17/29),11% (1/9),66% (45/68),34% (31/92),48% (76/160),6,0,80% (8/10),9% (1/11),43% (9/21),"['4', '4']",[],[],[],[],1.33
CHALLENGER MEN - SINGLES :  St. Tropez (France) - Qualification,hard,header
16.09.2024,Vesely J.,2,6,6^7,7,,,22,6,73%,78% (68/87),36% (12/33),86% (6/7),24% (16/68),48% (23/48),38% (3/8),67% (80/120),34% (39/116),50% (119/236),8,0,94% (16/17),18% (3/17),56% (19/34),"['4', '3']","['5', '4']","['7', '5']",[],[],1.63
16.09.2024,Diez S.,1,4,7^9,5,,,5,3,59%,76% (52/68),52% (25/48),63% (5/8),22% (19/87),64% (21/33),14% (1/7),66% (77/116),33% (40/120),50% (117/236),2,3,82% (14/17),6% (1/17),44% (15/34),[],"['5', '5']",[],[],[],2.21
15.09.2024,Vesely J.,2,4,6,7,,,7,2,73%,77% (51/66),48% (12/25),67% (4/6),19% (9/47),45% (20/44),50% (3/6),69% (63/91),32% (29/91),51% (92/182),9,3,88% (14/16),19% (3/16),53% (17/32),"['4', '5']","['4', '3']","['6', '5']",[],[],2.33
15.09.2024,Gueymard Wayenburg S.,1,6,4,5,,,14,4,52%,81% (38/47),55% (24/44),50% (3/6),23% (15/66),52% (13/25),33% (2/6),68% (62/91),31% (28/91),49% (90/182),1,0,81% (13/16),13% (2/16),47% (15/32),"['4', '2', '6', '4']",[],[],[],[],1.57
CHALLENGER MEN - SINGLES :  Istanbul (Turkey),hard,header
03.09.2024,Vesely J.,0,1,4,,,,2,5,59%,68% (25/37),38% (10/26),70% (7/10),15% (6/41),53% (9/17),0% (0/5),56% (35/63),26% (15/58),41% (50/121),2,0,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],1.88
03.09.2024,Simakin I.,2,6,6,,,,8,1,71%,85% (35/41),47% (8/17),100% (5/5),32% (12/37),62% (16/26),30% (3/10),74% (43/58),44% (28/63),59% (71/121),8,0,100% (9/9),38% (3/8),71% (12/17),"['2', '0', '4', '0']","['5', '4']",[],[],[],1.86
CHALLENGER MEN - SINGLES :  Mallorca (Spain),hard,header
27.08.2024,Vesely J.,0,4,4,,,,17,6,58%,80% (28/35),48% (12/25),50% (2/4),0 km/h,0 km/h,14% (4/28),24% (5/21),0% (0/0),67% (40/60),18% (9/49),45% (49/109),5,1,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],2.86
27.08.2024,Hanfmann Y.,2,6,6,,,,9,1,57%,86% (24/28),76% (16/21),0% (0/0),0 km/h,0 km/h,20% (7/35),52% (13/25),50% (2/4),82% (40/49),33% (20/60),55% (60/109),5,0,100% (10/10),20% (2/10),60% (12/20),"['4', '3']","['1', '0']",[],[],[],1.35
CHALLENGER MEN - SINGLES :  Liberec (Czech Republic),clay,header
30.07.2024,Vesely J.,1,6,3,2,,,6,3,70%,68% (39/57),48% (12/25),63% (5/8),25% (13/53),48% (24/50),10% (1/10),62% (51/82),36% (37/103),48% (88/185),5,0,77% (10/13),7% (1/14),41% (11/27),"['2', '1']",[],[],[],[],1.58
30.07.2024,Krumich M.,2,4,6,6,,,8,7,51%,75% (40/53),52% (26/50),90% (9/10),32% (18/57),52% (13/25),38% (3/8),64% (66/103),38% (31/82),52% (97/185),5,0,93% (13/14),23% (3/13),59% (16/27),[],"['2', '0']","['2', '1', '4', '1']",[],[],2.31
CHALLENGER MEN - SINGLES :  Tampere (Finland),clay,header
23.07.2024,Vesely J.,1,6,3,3,,,4,7,59%,64% (27/42),31% (9/29),36% (4/11),36% (17/47),59% (24/41),50% (6/12),51% (36/71),47% (41/88),48% (77/159),4,0,46% (6/13),46% (6/13),46% (12/26),"['2', '1', '4', '1', '5', '2']","['1', '0', '2', '1']","['3', '5']",[],[],3.37
23.07.2024,Comesana F.,2,2,6,6,,,8,6,53%,64% (30/47),41% (17/41),50% (6/12),36% (15/42),69% (20/29),64% (7/11),53% (47/88),49% (35/71),52% (82/159),6,0,54% (7/13),54% (7/13),54% (14/26),"['2', '4']","['1', '1', '3', '3', '5', '3']","['2', '1', '4', '1', '6', '3']",[],[],1.30
CHALLENGER MEN - SINGLES :  Amersfoort (Netherlands),clay,header
18.07.2024,Vesely J.,0,3,4,,,,4,6,60%,63% (19/30),40% (8/20),56% (5/9),33% (16/49),47% (8/17),50% (2/4),54% (27/50),36% (24/66),44% (51/116),4,0,56% (5/9),20% (2/10),37% (7/19),"['3', '4']","['2', '0']",[],[],[],2.04
18.07.2024,Dellien Velasco M. A.,2,6,6,,,,5,1,74%,67% (33/49),53% (9/17),50% (2/4),37% (11/30),60% (12/20),44% (4/9),64% (42/66),46% (23/50),56% (65/116),6,0,80% (8/10),44% (4/9),63% (12/19),"['2', '0', '5', '3']","['2', '3', '4', '3']",[],[],[],1.72
17.07.2024,Vesely J.,2,6,6,,,,9,2,70%,81% (30/37),56% (9/16),100% (4/4),36% (14/39),59% (10/17),43% (3/7),74% (39/53),43% (24/56),58% (63/109),4,0,100% (9/9),33% (3/9),67% (12/18),"['4', '3']","['2', '1', '4', '1']",[],[],[],3.33
17.07.2024,Dellien H.,0,4,2,,,,5,2,70%,64% (25/39),41% (7/17),57% (4/7),19% (7/37),44% (7/16),0% (0/4),57% (32/56),26% (14/53),42% (46/109),6,0,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],1.31
CHALLENGER MEN - SINGLES :  Iasi (Romania),clay,header
09.07.2024,Vesely J.,0,5,3,,,,3,6,62%,63% (29/46),50% (14/28),57% (4/7),24% (12/49),50% (7/14),0% (0/4),58% (43/74),30% (19/63),45% (62/137),4,2,73% (8/11),0% (0/10),38% (8/21),[],[],[],[],[],3.31
09.07.2024,Ugo Carabelli C.,2,7,6,,,,3,2,78%,76% (37/49),50% (7/14),100% (4/4),37% (17/46),50% (14/28),43% (3/7),70% (44/63),42% (31/74),55% (75/137),6,0,100% (10/10),27% (3/11),62% (13/21),"['6', '5']","['3', '2', '6', '3']",[],[],[],1.31
ATP - SINGLES :  Wimbledon (United Kingdom) - Qualification,grass,header
26.06.2024,Vesely J.,0,6^6,2,,,,7,2,58%,72% (26/36),54% (14/26),33% (1/3),11% (4/37),32% (6/19),0% (0/0),18,5,57% (8/14),65% (40/62),18% (10/56),42% (50/118),6,0,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],2.25
26.06.2024,Pouille L.,2,7^8,6,,,,14,0,66%,89% (33/37),68% (13/19),0% (0/0),28% (10/36),46% (12/26),67% (2/3),40,7,80% (12/15),82% (46/56),35% (22/62),58% (68/118),4,0,100% (10/10),20% (2/10),60% (12/20),[],"['1', '0', '4', '1']",[],[],[],1.65
