Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,415/315,94/78,266/188,31/22,24/27,-
2024,22/20,7/6,14/11,0/1,1/2,-
2023,39/24,13/7,19/12,3/1,4/4,-
2022,36/26,7/7,25/15,3/3,1/1,-
2021,15/17,3/5,10/10,1/1,1/1,-
2020,34/23,2/7,32/16,-,-,-
2019,22/24,4/3,17/17,0/1,1/3,-
2018,27/24,1/4,22/14,1/1,3/5,-
2017,36/27,2/6,24/14,6/3,4/4,-
2016,34/28,10/7,20/17,4/2,0/2,-
2015,32/25,16/8,5/12,2/2,9/3,-
2014,25/26,10/6,15/16,0/2,0/2,-
2013,35/21,12/7,18/12,5/2,-,-
2012,21/13,3/2,15/9,3/2,-,-
2011,30/13,4/2,23/10,3/1,-,-
2010,1/3,0/1,1/2,-,-,-
2009,6/1,-,6/1,-,-,-
