Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,431/414,51/92,256/220,116/95,1/3,7/4
2024,34/27,6/8,27/18,1/1,-,-
2023,20/32,7/11,8/14,5/7,-,-
2022,41/34,0/3,26/23,8/4,-,7/4
2021,42/30,1/4,26/17,14/8,1/1,-
2020,18/11,0/1,13/5,5/5,-,-
2019,14/32,2/7,7/12,5/13,-,-
2018,30/32,6/12,16/14,8/6,-,-
2017,32/32,3/9,16/13,13/10,-,-
2016,26/30,8/9,10/13,8/8,-,-
2015,33/28,2/3,21/16,10/9,-,-
2014,35/26,1/3,17/15,17/6,0/2,-
2013,30/29,4/4,20/22,6/3,-,-
2012,30/30,2/3,21/19,7/8,-,-
2011,30/24,1/5,21/14,8/5,-,-
2010,13/9,8/5,4/2,1/2,-,-
2009,0/2,0/2,-,-,-,-
2008,3/5,0/2,3/3,-,-,-
2007,0/1,0/1,-,-,-,-
