Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,314/288,228/199,58/64,4/4,-,24/21
2024,25/23,14/17,8/5,-,-,3/1
2023,17/22,10/12,5/7,-,-,2/3
2022,37/27,28/22,5/5,-,-,4/0
2021,30/26,19/15,8/8,-,-,3/3
2020,3/0,-,-,-,-,3/0
2019,43/29,34/20,6/7,0/2,-,3/0
2018,20/22,8/14,6/5,4/2,-,2/1
2017,31/27,24/15,7/8,-,-,0/4
2016,30/22,28/20,-,-,-,2/2
2015,15/18,4/5,9/11,-,-,2/2
2014,13/12,13/11,0/1,-,-,-
2013,12/8,11/7,1/1,-,-,-
2012,14/17,14/12,-,-,-,0/5
2011,16/21,13/15,3/6,-,-,-
2010,7/11,7/11,-,-,-,-
2009,1/1,1/1,-,-,-,-
2008,0/2,0/2,-,-,-,-
