Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,442/220,50/31,372/176,12/8,6/4,2/1
2024,41/13,4/1,37/12,-,-,-
2023,46/16,2/1,42/13,2/2,-,-
2022,6/4,-,6/4,-,-,-
2020,0/3,-,0/3,-,-,-
2019,61/24,6/4,50/18,5/1,-,0/1
2018,35/14,12/5,22/8,1/1,-,-
2017,33/26,7/5,25/19,1/2,-,-
2016,17/21,3/7,11/11,1/1,2/2,-
2015,55/28,8/4,45/23,2/1,-,-
2014,33/17,-,33/17,-,-,-
2013,8/4,-,8/4,-,-,-
2012,12/10,-,12/10,-,-,-
2010,21/6,7/2,14/4,-,-,-
2009,11/6,-,11/6,-,-,-
2008,25/15,1/2,22/13,-,-,2/0
2007,20/6,-,20/6,-,-,-
2006,18/7,-,14/5,-,4/2,-
